id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
c9ff424b-9974-44bf-8fe3-ef879bfe34d5,Sunset,16,3,17,8,Bronze,2.0,251.474,3,4,0,6,13,1,1,3
36eeca63-a129-4430-acef-0d9222f6308a,Lotus,8,12,22,4,Bronze,2.0,144.308,2,2,1,14,12,0,1,3
e2d37204-dec6-48f9-b9f2-2424cde32cf4,Haven,10,2,19,7,Bronze,2.0,114.083,0,3,0,11,13,0,2,2
9b5fc711-9b9a-40eb-913b-d5b3f967aa9a,Sunset,7,3,15,5,Bronze,2.0,89.75,1,4,1,13,11,0,1,3
1f4e5d4a-b28e-42a6-8096-fb80d34676b2,Abyss,14,5,18,8,Bronze,2.0,160.462,1,4,1,13,13,0,1,3
33139f5a-231b-4709-82e6-605fa9532a81,Haven,11,9,20,4,Bronze,2.0,186.818,3,5,0,9,13,1,2,2
8bd24b00-f999-4578-b0a3-ea1bd714e21d,Ascent,16,5,17,10,Bronze,2.0,196.958,4,5,1,13,11,1,2,2
89e257a8-2670-4156-a8b4-904318a06edc,Haven,9,4,22,6,Bronze,2.0,102.458,1,2,0,11,13,0,2,2
5e33a34f-1f73-4d80-9ef0-f0fe479edf31,Ascent,12,5,25,5,Bronze,2.0,141.571,3,10,0,13,15,1,2,2
b0ad034a-3941-404f-a3c7-286d6421751d,Ascent,2,0,5,1,Bronze,1.0,46.077,0,1,0,0,5,1,1,3
4fc9000b-e73f-4b94-b527-c9888e51271d,Sunset,18,3,22,16,Bronze,1.0,220.652,2,3,0,10,13,1,2,2
7a389cc6-5bb7-4194-b925-6ef08b2bdd1e,Summit,6,6,13,2,Bronze,1.0,122.421,1,0,1,13,6,0,2,2
214280b1-aa81-424c-9d48-623459368572,Summit,1,0,2,2,Bronze,1.0,20.667,0,0,0,2,10,0,2,2
6a3ad70e-4e38-49d4-90b4-850e09956db5,Sunset,3,1,4,0,Bronze,1.0,59.412,0,0,1,13,4,1,2,2
