id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
c9ff424b-9974-44bf-8fe3-ef879bfe34d5,Sunset,12,5,17,8,Silver,1,223.684,2,2,0,6,13,0,0,4
36eeca63-a129-4430-acef-0d9222f6308a,Lotus,29,3,16,16,Silver,1,306.885,5,3,1,14,12,1,0,4
e2d37204-dec6-48f9-b9f2-2424cde32cf4,Haven,25,7,18,12,Silver,2,297.792,3,1,0,11,13,0,1,3
2b76f826-b3d4-40bc-9d5c-810b2cc242d4,Split,8,5,13,4,Silver,2,171.533,0,3,0,2,12,1,0,4
33139f5a-231b-4709-82e6-605fa9532a81,Haven,25,3,16,10,Silver,1,315.273,4,2,0,9,13,1,2,2
8bd24b00-f999-4578-b0a3-ea1bd714e21d,Ascent,28,2,14,15,Silver,1,320.125,5,2,1,13,11,1,2,2
89e257a8-2670-4156-a8b4-904318a06edc,Haven,20,5,17,12,Silver,1,261.25,5,3,0,11,13,1,2,2
5e33a34f-1f73-4d80-9ef0-f0fe479edf31,Ascent,31,4,17,18,Silver,1,301.036,0,4,0,13,15,1,2,2
b0ad034a-3941-404f-a3c7-286d6421751d,Ascent,1,0,5,0,Silver,1,23.538,0,2,0,0,5,0,1,3
4fc9000b-e73f-4b94-b527-c9888e51271d,Sunset,25,12,18,16,Silver,1,347.087,6,0,0,10,13,0,2,2
7a389cc6-5bb7-4194-b925-6ef08b2bdd1e,Summit,26,2,8,17,Silver,1,344.579,2,0,1,13,6,1,2,2
214280b1-aa81-424c-9d48-623459368572,Summit,9,1,11,4,Silver,1,195.467,2,2,0,2,10,0,2,2
6a3ad70e-4e38-49d4-90b4-850e09956db5,Sunset,23,4,8,16,Silver,1,372.706,4,1,1,13,4,1,2,2
a46ee9a8-2747-44f4-b4b7-aa0771ac23f5,Ascent,14,5,14,13,Silver,1,172.167,2,3,1,13,11,0,0,4
37122402-d17a-40df-9451-9188da9d62ad,Haven,6,2,13,3,Silver,1,107.062,0,2,0,3,13,1,1,3
