id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
2a92a35d-7254-4cbd-b4b9-975d4ddd9249,Ascent,15,6,17,10,Gold,1.0,180.625,3,3,0,11,13,1,3,1
bb50cfa2-2b5d-4365-b1cc-af505b558339,Summit,22,6,7,23,Gold,1.0,330.222,1,1,1,13,5,0,3,1
980adc96-9b32-401e-a6b6-a35984da7077,Summit,11,4,16,17,Gold,1.0,204.778,2,2,0,5,13,0,3,1
5438dcf4-e906-45c0-8a0e-381c3bc7eb06,Split,13,4,14,14,Gold,1.0,251.625,1,2,0,3,13,1,3,1
417567c8-fae6-4cba-9b09-922f74a4cf0c,Sunset,21,6,15,17,Gold,1.0,227.333,1,0,0,11,13,1,0,4
a15a90c9-2ec7-459c-9ea0-545a8dbf98de,Abyss,9,2,13,7,Gold,1.0,137.143,0,0,1,13,8,1,1,3
a7a02dfe-92c0-4cd8-8138-70167346109c,Haven,11,3,17,7,Gold,1.0,141.364,1,1,0,9,13,1,1,3
e219e334-b5df-4189-a3a3-5981303a0954,Sunset,7,2,18,5,Unrated,,110.5,1,2,1,13,9,1,1,3
e0ab965d-ba65-48f3-84b6-285f1178d5e8,Abyss,18,6,9,15,Gold,1.0,252.526,1,1,1,13,6,1,0,4
472b780f-a72c-40bc-9adc-6ed2887671dc,Ascent,21,5,18,20,Gold,1.0,319.095,4,1,0,8,13,1,1,3
12bba38b-1df4-477c-96c8-6aceb417f07e,Ascent,10,2,15,7,Gold,1.0,161.0,2,2,0,6,13,1,1,3
