id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
6887a0ef-25d5-4a5e-b98a-e1aa5be29e21,Lotus,13,5,18,4,Diamond,2.0,140.0,1,1,0,13,15,0,2,2
08e9a8bf-e669-4cc6-a99a-991b6abe792e,Breeze,3,2,2,3,Diamond,2.0,61.308,1,0,1,4,0,0,1,3
069e7c91-a60e-4bf8-9551-425765422de0,Lotus,10,7,14,8,Diamond,2.0,146.105,0,2,0,6,13,1,2,2
9a324d64-46a2-4ef9-897a-259957898a60,Haven,13,2,14,8,Diamond,2.0,181.65,2,4,0,7,13,0,3,1
5241ef39-25f1-49cf-b3c2-acd78b956505,Pearl,13,9,15,11,Diamond,2.0,221.278,1,2,0,5,13,1,2,2
26282bba-dbdf-471f-ae49-74f6c1718374,Breeze,16,2,15,10,Diamond,2.0,216.4,2,2,0,7,13,0,1,3
f330ccc4-f64f-4cf9-992f-97b85c1438b4,Fracture,13,7,13,8,Diamond,1.0,185.05,1,1,1,13,7,1,1,3
1cc6d180-fc6a-4e8b-989e-2b9cc6442d8b,Lotus,28,9,17,15,Diamond,2.0,320.846,2,0,0,12,14,0,3,1
547bf733-24a2-40fd-b9f3-3b9cbcdc3d25,Ascent,13,8,17,8,Diamond,2.0,173.696,1,2,1,13,10,0,3,1
54b235de-3ad0-44c1-970c-325c6c0cd59c,Pearl,22,6,9,11,Diamond,2.0,284.0,2,0,1,13,7,1,2,2
8c3eee17-e73c-4a9c-acc8-1f5411ff97c4,Lotus,8,4,18,7,Diamond,2.0,115.095,1,1,0,8,13,1,1,3
59214d17-7a5a-483d-b6d9-028cff5580b6,Pearl,3,13,17,3,Diamond,2.0,91.263,0,2,0,6,13,0,1,3
56db44d8-b584-44c3-8aac-b706f2b8972f,Haven,10,8,18,5,Diamond,1.0,146.238,0,1,0,8,13,0,1,3
0dbecad3-f4ec-4235-9489-5e3326be6a5a,Split,22,10,16,15,Diamond,1.0,280.478,1,0,1,13,10,1,1,3
