id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
138f4118-a314-4096-a3b4-373b76c74fb6,Pearl,12,10,23,11,Platinum,3.0,158.077,5,5,1,14,12,1,2,2
1cc6c1b3-e676-41c1-ae95-13fe9e011f4d,Breeze,24,2,15,12,Platinum,3.0,355.789,3,2,0,6,13,1,0,4
4b3edb88-a8ed-4e7d-a2bc-f4bf6744f750,Ascent,12,9,18,12,Platinum,3.0,219.263,0,2,0,6,13,0,0,4
7dae8cdf-2c75-4daa-b27a-ff40640d9542,Pearl,14,3,8,6,Platinum,3.0,231.706,2,0,1,13,4,0,0,4
da162e80-a02b-401c-baf5-099899a0b566,Fracture,24,10,12,21,Platinum,3.0,351.0,1,0,1,13,7,0,2,2
e02544c5-3fac-454b-9746-0f9433a88482,Ascent,11,5,15,9,Platinum,3.0,187.875,1,1,0,3,13,0,2,2
35af2a73-ea00-4751-8dc7-3cb52e07f606,Split,13,10,16,11,Platinum,3.0,180.429,1,1,1,13,8,0,2,2
7b00a0e0-8e83-4a3c-8558-33f11cf4d4d3,Fracture,39,6,22,32,Platinum,3.0,437.192,14,2,0,12,14,0,2,2
f03ad71c-7897-4530-8c12-2d848e9b9169,Haven,25,2,18,20,Platinum,3.0,293.5,5,6,1,13,11,0,1,3
36e1aa53-def0-4741-9abc-3e114487002b,Fracture,2,3,8,2,Platinum,3.0,64.6,0,1,0,2,6,0,2,2
80249c36-b57e-465e-a2f9-960a71845958,Ascent,15,3,21,12,Platinum,3.0,154.875,3,1,0,11,13,0,1,3
639c0e15-b0d8-424d-a5f7-5791d8d4050a,Haven,29,4,18,21,Platinum,3.0,368.19,5,1,1,13,8,0,1,3
dd77cedf-6c7f-4ff2-8628-0daaef4938b2,Breeze,18,4,19,14,Platinum,3.0,216.708,5,2,0,11,13,0,0,4
028627f9-cd82-472d-86f7-927c0b1ad9f0,Breeze,14,2,16,14,Platinum,3.0,178.048,1,0,0,8,13,0,2,2
b7d713aa-05db-4abe-a46d-fe131928394f,Pearl,15,10,18,14,Platinum,3.0,202.65,1,0,1,13,7,0,2,2
27d24c05-e803-43af-8059-39a7fe3e304f,Lotus,18,3,18,30,Platinum,3.0,248.19,7,5,0,8,13,1,2,2
9974047c-f682-47bd-affd-215733e92bb1,Fracture,16,6,19,12,Platinum,3.0,222.5,8,3,1,13,9,1,2,2
629f1293-1a86-4d91-9a72-d6225b8da783,Haven,16,4,11,14,Platinum,3.0,317.0,4,3,2,13,2,1,2,2
0fad51a7-f330-4fc9-a7f4-88d9a2daff6d,Split,16,5,13,12,Platinum,3.0,187.545,3,1,1,13,9,0,1,3
fd93f971-1833-4eae-8a7c-ab70f417eea7,Ascent,14,13,20,11,Platinum,3.0,193.292,0,1,0,11,13,0,2,2
9ad46b8c-3035-4e06-a0f1-e45bacb75f72,Breeze,15,3,17,14,Platinum,3.0,226.25,0,3,0,7,13,0,1,3
e8a75bf6-b2fb-4bb1-b2e8-8b91b615b0b2,Pearl,25,7,28,25,Platinum,3.0,263.633,6,9,0,15,15,0,1,3
2679d83f-4fcf-4665-b132-97c88a0396b1,Fracture,12,3,18,12,Platinum,3.0,180.05,4,6,1,13,7,1,2,2
830582cd-5fec-497c-ac68-bacbdb268c4f,Haven,18,1,12,7,Platinum,3.0,253.947,3,0,2,13,6,0,2,2
a385a934-6df9-4a4a-bec0-c4d988253e47,Pearl,26,8,15,22,Platinum,3.0,285.75,3,1,3,13,11,0,1,3
4bd80eee-0b47-416e-a2c9-559fe05cfe8a,Haven,35,5,19,34,Platinum,3.0,403.346,9,5,4,14,12,1,1,3
ee0003fa-24e2-449a-aba8-376509d32b92,Fracture,14,7,16,16,Platinum,3.0,201.857,6,5,5,13,8,1,3,1
40b11812-9986-41bd-9368-2186b7881401,Split,23,3,15,15,Platinum,3.0,258.417,2,0,1,13,11,0,0,4
97d89923-f501-4d01-95dd-53b9fcc85e38,Lotus,14,4,17,12,Platinum,3.0,231.5,6,1,0,7,13,0,0,4
47735504-1500-4c2b-ad6d-59a8ac0c25aa,Split,13,4,16,4,Platinum,3.0,193.4,2,4,0,7,13,0,2,2
82f1ba8a-e4da-44c1-bc52-47cb31e63cb5,Fracture,10,3,8,8,Platinum,3.0,194.462,2,0,1,13,0,1,0,4
9563313e-8fbf-4652-97d5-3f8602a9ba81,Fracture,16,15,10,14,Platinum,3.0,235.474,0,0,1,13,6,0,2,2
f8a76852-5648-4dee-b603-e251c72eb8b4,Ascent,24,6,21,20,Platinum,3.0,263.846,2,4,0,12,14,0,1,3
997a8907-a33a-42a3-b3e8-9b50aab9b763,Pearl,17,6,19,14,Platinum,3.0,237.0,6,6,0,7,13,0,1,3
24bde2f0-e315-4355-964a-ffe57814fe22,Ascent,17,7,17,7,Platinum,3.0,225.318,3,3,0,9,13,0,1,3
e649aa0b-c94f-4a80-9469-aa1f6d89e963,Breeze,8,6,17,3,Platinum,3.0,131.2,1,3,0,7,13,0,1,3
d74bbd8a-53b9-4c60-b616-1a4614f20622,Pearl,19,5,20,13,Platinum,3.0,221.375,3,4,1,13,11,1,1,3
26900cc0-ae58-4084-bbe1-6a624f4fc633,Ascent,15,3,17,6,Platinum,3.0,214.75,2,3,0,7,13,1,0,4
