id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
ddaf3062-228d-4ddf-99c5-2a39aa72f3bc,Fracture,14,5,15,14,Ascendant,3.0,181.762,1,0,0,8,13,0,2,2
07a0abb0-ec09-4e5a-b4de-ce90cfd1c831,Pearl,19,11,26,16,Ascendant,3.0,224.577,2,4,0,12,14,1,3,1
635a6fdd-e06d-4561-8b29-8eb2b8eee7a2,Pearl,15,9,15,14,Ascendant,2.0,219.579,1,1,1,13,6,1,2,2
09050e08-edc1-4453-b21f-037b88de3f2b,Split,21,6,14,11,Ascendant,2.0,217.308,1,2,2,14,12,0,2,2
2827b4ee-b772-4c20-9c7a-9b5ea0c55485,Breeze,13,6,10,8,Ascendant,2.0,212.722,3,2,1,13,5,0,2,2
14cddb62-bcac-467a-a7d6-f83cb476316a,Split,16,4,13,9,Ascendant,2.0,229.25,1,1,2,13,7,0,2,2
f08a81d3-e6b2-4cae-a0f6-bf5ce6f8e909,Fracture,9,1,13,3,Ascendant,3.0,177.0,2,1,0,1,13,0,2,2
c78539c5-831a-4c6c-8ae9-7e2160ee8327,Breeze,17,8,17,17,Ascendant,3.0,210.455,1,1,1,13,9,1,1,3
f1c6bf32-90a9-4e99-a25c-ecb8bf17c340,Ascent,10,1,16,9,Ascendant,3.0,138.85,0,3,0,7,13,0,1,3
1784552e-ca05-41a0-b2a0-558a25098d3f,Breeze,14,1,10,11,Ascendant,2.0,249.188,3,0,1,13,3,0,1,3
c773fdce-47f6-4a01-8050-bd88561acf18,Fracture,20,6,16,12,Ascendant,2.0,244.522,2,3,2,13,10,0,1,3
dc1d2a79-74ef-4a50-b028-5ab76fda9d0b,Pearl,7,4,8,5,Ascendant,2.0,110.0,3,1,3,13,5,1,1,3
c8b0a30e-e058-449d-acc3-1eba40991b90,Pearl,13,7,6,10,Ascendant,3.0,250.533,3,1,1,13,2,0,1,3
0321a62d-9ca8-47d6-b381-86e5bd128d95,Ascent,16,2,14,16,Ascendant,3.0,216.455,1,1,2,13,9,0,1,3
847f89f9-f976-4223-9dc7-2d5b47e2a9de,Lotus,27,4,15,20,Ascendant,3.0,299.708,4,2,3,13,11,1,1,3
28db2cc7-bb05-49b4-9dd4-831af4e1b1df,Pearl,17,6,23,14,Ascendant,3.0,223.042,2,1,4,13,11,0,1,3
4dc4d310-6c4b-4110-8c58-85764e0e2d7b,Lotus,10,6,17,7,Ascendant,3.0,164.4,3,3,0,7,13,0,0,4
fa1beeb9-2818-4815-b660-fbb12600a566,Fracture,16,1,20,13,Ascendant,3.0,171.667,0,1,0,11,13,0,1,3
99b75780-b275-4efd-9fcd-507f15f38e1a,Breeze,20,12,17,16,Ascendant,3.0,187.367,1,3,1,16,14,0,1,3
f229df4d-1b1c-4792-9280-42f54e1b7b99,Ascent,9,5,18,4,Ascendant,3.0,107.542,1,2,2,13,11,0,1,3
4c65d040-4891-4d81-b1e9-3855590122f6,Split,17,6,15,8,Ascendant,3.0,262.286,3,1,3,13,8,1,1,3
2fb8c24a-50b7-4882-a419-011f2c71d1b0,Haven,12,3,16,11,Ascendant,3.0,183.55,1,2,0,7,13,0,1,3
01045f7e-d955-4765-94cd-51f799f0bf12,Split,16,8,23,17,Ascendant,3.0,159.967,4,3,0,15,15,0,1,3
b6bf6132-712a-47ef-9dd7-e062b3372a1b,Split,14,3,20,20,Ascendant,3.0,180.577,2,5,1,14,12,1,1,3
9e7b7c3a-947a-4da0-95d1-b02a899a34e8,Lotus,14,5,15,7,Ascendant,3.0,167.045,2,2,2,13,9,0,1,3
c104a6ec-9718-48f4-ad50-9d638caa112d,Pearl,20,3,19,14,Ascendant,3.0,203.893,1,3,3,15,13,0,1,3
f3fbc83c-85df-4caa-ab3d-0511041bca73,Fracture,21,3,15,8,Ascendant,3.0,216.783,2,4,0,10,13,0,1,3
27f6c2d0-85d9-4f1c-8ef3-7514c26e8e6e,Fracture,8,4,16,8,Ascendant,3.0,147.947,1,4,0,6,13,0,1,3
ecd36e2a-3a8f-41c3-bfed-3b378702678f,Pearl,9,1,12,4,Ascendant,3.0,94.909,0,1,1,13,9,0,1,3
7d4fd150-75f1-4143-ba11-c445358d56ae,Haven,10,12,20,10,Ascendant,3.0,147.333,0,1,0,11,13,0,1,3
37a9159b-6c58-4fc1-803b-6d94aae2e714,Fracture,13,12,9,7,Ascendant,3.0,178.75,1,3,1,13,7,0,1,3
09a0415e-a5c3-4798-b95d-160c0331716f,Haven,14,2,18,13,Ascendant,3.0,180.5,2,1,0,9,13,0,0,4
701f0f68-d02e-4acd-b78e-86c32b9ab1ff,Haven,12,2,19,9,Ascendant,3.0,159.762,1,4,0,8,13,1,0,4
6c9902f3-b4b8-4943-8583-5fabb4c84747,Ascent,18,15,21,12,Ascendant,3.0,195.464,2,3,1,15,13,0,0,4
93941ce9-758e-405d-a6f7-4dac8f773643,Ascent,13,5,13,13,Ascendant,3.0,174.318,2,3,2,13,9,0,0,4
b90f326e-66a1-4250-9364-c0528da2ec1e,Split,17,8,17,11,Ascendant,3.0,201.571,1,1,0,8,13,0,0,4
be91ce5b-d112-413d-aa2f-1ac4268d2685,Lotus,9,3,15,8,Diamond,3.0,128.7,1,4,1,13,7,0,0,4
4d8c3052-43b8-4fac-8e37-69c2cc8eb420,Ascent,10,1,14,8,Diamond,2.0,146.316,3,4,2,13,6,1,0,4
284f2214-defe-4727-a68c-4696c1c58adc,Ascent,19,12,19,16,Diamond,2.0,255.955,2,2,3,13,9,0,0,4
c962b2d5-3342-402e-9e0f-adb48b745a70,Breeze,14,1,8,6,Diamond,3.0,209.188,3,3,1,13,3,1,0,4
6f61af02-316a-42ca-a932-6cbf8bf569ef,Sunset,9,7,23,14,Diamond,3.0,138.364,3,7,0,9,13,0,0,4
