id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
15753874-5a8e-479b-bab7-0680d5500ff8,Breeze,11,2,15,8,Immortal,1.0,159.05,4,5,0,7,13,0,1,3
5eecc32c-0e54-4325-bd2b-7d455518f080,Breeze,22,6,18,22,Immortal,1.0,262.208,4,4,1,13,11,0,1,3
a9c41f68-4797-4881-bb92-07b6d8db2208,Split,26,5,19,22,Immortal,1.0,321.667,2,4,0,11,13,0,1,3
eafc43e5-fe9d-4648-b381-ece28e93e846,Split,24,9,25,21,Immortal,1.0,320.667,3,1,0,11,13,1,1,3
57210cd7-a7f4-4a0f-bc38-e439b50962b2,Split,26,15,13,15,Immortal,1.0,407.333,1,1,1,13,5,1,1,3
10dd3bd3-d668-4694-8b42-41193bf6a745,Haven,31,4,11,24,Ascendant,3.0,483.941,4,1,1,13,4,1,0,4
3142f147-4504-43dd-9f91-60c27cf54faf,Split,16,3,20,15,Immortal,1.0,213.905,1,1,0,8,13,1,1,3
926cd0c3-078e-4ace-ad37-a69dc2200ac7,Haven,28,9,18,24,Immortal,1.0,378.727,2,1,0,9,13,1,1,3
9257dcfe-61ef-4844-9441-6d95fc294642,Breeze,20,7,21,17,Ascendant,3.0,277.727,5,3,0,9,13,1,1,3
7c628c2c-d1a0-49c0-a678-5d3a47ecae48,Ascent,12,6,17,8,Ascendant,3.0,210.056,2,3,0,5,13,1,1,3
3f2b084d-3b8f-497a-89e2-ae0b45665805,Ascent,19,12,18,11,Ascendant,3.0,247.682,3,1,1,13,9,1,1,3
5a197a03-0958-494b-8121-3022673d8ff3,Lotus,23,4,25,21,Ascendant,3.0,297.652,1,2,0,10,13,1,1,3
1c49c530-c41e-49c2-8f15-9af1a22f7ee2,Haven,20,11,23,18,Ascendant,3.0,232.792,3,1,1,13,11,1,1,3
b41abd9c-3fff-4f24-b94e-5bb007a6fcca,Lotus,17,8,20,12,Ascendant,3.0,235.455,3,0,0,9,13,1,1,3
626b5730-588f-487d-a7ef-62826fc14eb2,Ascent,22,11,22,15,Ascendant,3.0,297.261,2,3,0,10,13,1,1,3
a7f6a580-7cb5-4250-bce1-13d29d8cb689,Pearl,12,9,18,12,Ascendant,3.0,186.105,2,1,0,6,13,1,1,3
1cfd5a6c-9d18-4b13-8dd3-9516f0c6543c,Fracture,24,12,22,21,Ascendant,3.0,337.348,4,1,0,10,13,1,1,3
5c232a47-8ba6-477a-98b4-8522ec08ecdc,Pearl,24,6,15,16,Ascendant,3.0,312.7,2,2,1,13,7,1,1,3
130f85a7-d1a0-4df9-84ea-f94bd86d92f7,Lotus,18,6,17,18,Ascendant,3.0,257.091,2,0,1,13,9,1,1,3
285c6edd-c012-4414-a86b-255baba83dfe,Breeze,6,4,23,2,Ascendant,3.0,100.048,3,1,0,8,13,1,1,3
f089440b-5a3b-42ed-b7bc-447d7bbdac35,Pearl,29,7,20,27,Ascendant,3.0,315.308,5,0,0,12,14,1,1,3
490a0794-e5ae-4367-bd04-d17e523ccf1f,Haven,18,4,19,18,Ascendant,3.0,255.762,4,0,0,8,13,1,1,3
95be3b93-807a-4200-9233-964c3063eb7a,Pearl,28,7,13,25,Ascendant,2.0,394.95,4,4,1,13,7,1,1,3
92508ae8-031c-476f-9fd7-d15e6d16f16f,Fracture,29,9,19,22,Ascendant,2.0,343.167,4,2,0,11,13,0,1,3
d67cf012-0e48-4ea6-ae3b-edccfc176141,Sunset,14,8,21,11,Unrated,,187.667,4,4,0,8,13,1,1,3
b8ae8660-6c3d-4497-bfaf-ab1191b49a83,Split,13,2,15,11,Unrated,,201.278,3,6,0,5,13,0,1,3
9f77630d-52e8-4a32-8e86-1b24f8f0ba42,Breeze,13,3,17,13,Unrated,,181.217,3,4,0,10,13,0,1,3
3686c64e-81c2-4b7e-9f25-0c906c0b9692,Ascent,26,7,22,20,Diamond,3.0,323.043,0,3,0,10,13,1,1,3
5d118e5f-81a1-43dd-b9b2-ccab1f1787fc,Breeze,14,4,18,11,Unrated,,240.9,3,1,0,7,13,0,2,2
d4e4f29a-3a33-4612-aa0f-51f99d495f2f,Lotus,20,7,19,13,Unrated,,271.6,1,2,0,7,13,1,2,2
a7c8ccb5-ec0b-457a-b873-21fc76bd7c26,Sunset,23,3,21,23,Diamond,3.0,296.409,2,2,0,9,13,1,2,2
74c89f1d-6f6f-4b3a-9e26-6b56e7047ffe,Split,23,9,24,15,Diamond,3.0,313.583,4,8,1,13,11,1,1,3
be7d2172-6bcc-4c20-b5e2-28e95970c45d,Summit,22,7,19,19,Diamond,3.0,266.25,4,2,2,13,11,0,2,2
51d87063-9aeb-4d51-b1a4-02ad242f0488,Lotus,21,4,23,15,Unrated,,252.304,2,4,0,10,13,1,1,3
