id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
3ece756e-0406-4a6d-bc00-33c3e1289224,Ascent,24,9,26,22,Ascendant,1.0,244.533,7,3,0,15,15,1,2,2
fa9f4cfc-4915-4aaf-a501-38b002c0b43b,Fracture,22,6,18,18,Ascendant,1.0,261.125,4,1,1,13,11,0,1,3
fd82c016-1639-472e-9c2c-0af9dcd32709,Split,16,5,11,14,Ascendant,1.0,253.789,2,1,2,13,6,1,1,3
e3a03ce7-d0ba-45e4-aefa-1a3e653c7157,Lotus,13,1,16,10,Ascendant,1.0,206.944,3,3,0,5,13,0,1,3
10dbd5a9-5912-4ac5-a46e-b4724beee68c,Pearl,18,6,18,9,Ascendant,1.0,231.217,5,3,1,13,10,0,1,3
313c583c-c564-4fe0-b29c-042ef3d30c59,Pearl,15,8,8,10,Ascendant,1.0,200.895,2,2,1,13,6,0,1,3
06be74d8-9eb4-477d-94c6-a47d8a1a4170,Breeze,12,5,13,12,Ascendant,1.0,183.158,2,1,2,13,6,0,1,3
727374c3-f700-4f7c-ad7a-f0cbdc482fa0,Split,26,6,20,24,Ascendant,1.0,297.538,8,1,1,14,12,1,0,4
ffff62a5-7569-4625-808f-7a785ad61234,Fracture,15,4,16,15,Ascendant,2.0,203.682,1,0,0,9,13,0,1,3
bbde0dd5-6605-4d57-b7ce-ae09cd15be4b,Breeze,22,7,19,23,Ascendant,2.0,274.435,1,2,0,10,13,0,1,3
3aa9f039-3833-4dde-92a6-97e100958c1d,Split,28,2,20,27,Ascendant,1.0,293.0,5,3,1,14,12,1,1,3
c17a5229-543d-46d2-9c52-2735a798fec6,Haven,24,5,18,21,Ascendant,1.0,282.333,6,3,2,13,11,0,1,3
