id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
b2d86ead-1cec-4538-be93-bc77e66acf4c,Summit,9,1,17,7,Radiant,,136.3,4,5,0,7,13,1,0,4
6e3e8ef8-b746-4f13-a500-8d92eebd6282,Lotus,18,4,18,19,Radiant,,249.955,5,4,0,9,13,1,0,4
3be11aa0-d741-4b2f-9f56-455e089ec437,Haven,9,2,14,8,Radiant,,143.588,3,3,1,13,4,1,0,4
1b97d800-d6b9-4513-85a1-99be43186d87,Summit,11,5,11,8,Radiant,,204.438,6,2,2,13,3,1,0,4
b0c1a4f4-b46f-48dd-b388-92b042cc0024,Lotus,23,2,13,14,Radiant,,315.579,5,1,3,13,6,1,0,4
01b5702b-3262-447a-930e-c517a99f0fcb,Ascent,27,10,16,25,Radiant,,323.417,3,1,1,13,11,1,0,4
5bf1781b-7bed-495d-9fa3-66879c33cc80,Split,11,4,10,10,Radiant,,203.0,3,2,2,13,3,1,0,4
12c17436-b58f-4a69-8c2f-a1a7d02e3ee5,Haven,17,3,9,13,Radiant,,353.143,2,1,3,13,1,1,1,3
d7badb4a-395e-4eca-b820-24041685ae65,Sunset,17,5,14,12,Radiant,,241.3,4,2,1,13,7,1,0,4
45c7ad7a-7c0f-4c5c-878f-81de6eff38ef,Abyss,10,4,11,3,Radiant,,195.067,1,3,2,13,2,1,0,4
fbab88af-59fc-4754-91d9-d80ab2762096,Abyss,6,2,17,8,Radiant,,113.294,1,3,0,4,13,1,1,3
a632d6d9-c9f5-4f5e-8332-3ef7a494cf3d,Summit,14,5,20,12,Radiant,,193.545,4,4,0,9,13,1,1,3
adec1615-5eff-4963-84ba-46cb73282adf,Ascent,15,2,14,12,Radiant,,222.5,2,4,1,13,5,1,1,3
12f9806e-f7e5-41af-ba6c-a3b87f3af423,Lotus,14,3,17,15,Radiant,,218.053,3,1,0,6,13,1,1,3
c11ac169-0017-473b-bd04-3f137072b816,Lotus,19,7,19,19,Radiant,,277.762,0,2,0,8,13,1,1,3
088701e2-5886-46c4-af5f-120648af1b23,Split,17,4,20,12,Radiant,,189.042,3,7,1,13,11,1,0,4
ff6f985d-9c52-4e59-9c81-725456f99d16,Haven,28,5,18,19,Radiant,,304.269,4,5,1,14,12,1,1,3
16e9a7bd-33a5-4d9b-8645-52e7e8609d6b,Lotus,23,6,16,22,Radiant,,273.261,2,2,2,13,10,1,0,4
cd4a4cbd-90f6-45e4-a049-a8e0a083faf2,Summit,16,6,16,19,Radiant,,212.409,2,7,3,13,9,1,1,3
d50dea8b-5726-48e7-b865-ce97727196f2,Split,14,10,19,10,Radiant,,194.238,3,2,4,13,8,1,0,4
bb341869-ffa4-4ac0-9689-e8ede0490091,Sunset,10,5,20,8,Radiant,,141.091,2,7,0,9,13,1,0,4
1f35d534-76a0-45f8-ad74-6fbaeb8e2ffc,Lotus,12,3,23,10,Radiant,,141.808,2,3,1,14,12,1,1,3
9abf37db-7c05-4bce-a2eb-bf6c59c2fb29,Abyss,22,3,24,16,Radiant,,204.1,4,7,2,16,14,1,1,3
d70b9691-1a97-4929-9e87-3fe4e7e3ebb2,Split,16,3,20,18,Radiant,,202.524,4,3,0,8,13,1,1,3
4c83509b-223c-4b88-b12e-86c5a6d397b2,Haven,16,1,14,7,Radiant,,224.778,1,1,1,13,5,0,0,4
f6f3df25-0d40-4d3c-a843-cdd032e43312,Lotus,19,0,18,12,Radiant,,239.591,3,2,0,9,13,1,0,4
9be85cdc-01a0-43fb-b48f-6f4d30e238ed,Sunset,12,5,15,15,Radiant,,198.056,4,4,0,5,13,1,1,3
e38371aa-5979-4418-ab1b-5ab65d968aee,Haven,19,6,19,15,Radiant,,222.615,3,5,1,14,12,1,0,4
211b10a8-1009-4cb4-8bba-5f6d3e297f9c,Abyss,16,5,20,11,Radiant,,200.625,7,5,0,11,13,1,0,4
85276936-f588-41eb-8dcc-b91b0a6f3ff6,Split,22,6,16,20,Radiant,,317.421,3,4,1,13,6,1,0,4
a238dafd-265a-43f9-a123-4ec439f1b4ea,Haven,21,5,18,19,Radiant,,266.318,5,2,2,13,9,1,0,4
a76e8b47-c5b9-447d-a623-8968fa59385a,Ascent,18,7,11,13,Radiant,,288.0,3,0,3,13,5,1,0,4
33ae1c58-9654-4a26-b85d-a8edbc9d990c,Abyss,16,7,14,9,Radiant,,230.3,3,3,1,13,7,1,1,3
f654086d-8ef3-4523-82f2-68aeee8797f9,Ascent,12,8,14,12,Radiant,,188.833,5,3,2,13,5,1,1,3
4537263b-a454-4e21-bea9-7017b8380e4f,Sunset,4,2,14,5,Radiant,,107.067,2,5,0,2,13,1,0,4
