id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
6887a0ef-25d5-4a5e-b98a-e1aa5be29e21,Lotus,15,10,19,13,Diamond,3.0,182.321,4,3,1,15,13,0,1,3
ab8fb01d-d149-400e-bcb7-b2e25c8ee7fd,Ascent,18,3,18,11,Diamond,3.0,272.4,5,3,0,7,13,1,2,2
c7ec53aa-c5f3-458c-b7a4-87af16e75356,Pearl,12,6,19,8,Diamond,3.0,181.136,7,6,1,13,9,1,0,4
5f00af97-baf3-421d-87f3-05b669df570d,Fracture,9,2,9,6,Diamond,3.0,181.867,3,0,0,2,7,1,1,3
c5e18656-bbfb-4fba-8a1c-5064983953e6,Pearl,19,6,12,11,Diamond,3.0,271.9,4,1,1,13,7,0,1,3
aab7dd37-d979-435f-ac38-37f3d0a3b010,Lotus,22,5,17,19,Diamond,3.0,278.565,5,1,0,10,13,0,3,1
ac6a614c-0016-484d-9422-9c30663210d2,Ascent,11,1,15,8,Diamond,3.0,197.176,2,4,0,4,13,1,2,2
df187d36-e337-4883-a88d-1a3a9d6aff42,Pearl,13,6,15,7,Diamond,3.0,221.833,1,0,0,5,13,1,1,3
28ee867e-2e05-4733-85af-b868213779a8,Lotus,21,8,17,18,Diamond,3.0,281.0,3,0,1,13,9,0,1,3
18612531-b010-47bd-8db9-69e520857776,Haven,16,5,21,11,Diamond,3.0,195.913,6,2,1,13,10,0,4,0
50e1e1df-7d50-44e3-8a7e-1f4a2fcc44ce,Breeze,16,8,17,13,Diamond,3.0,210.625,5,1,2,13,11,0,4,0
d8b570ac-17a8-40fe-81fc-ab9c4c97863d,Fracture,16,2,11,9,Diamond,3.0,257.294,5,1,2,13,4,1,0,4
f4897cb9-dfd4-461b-8819-e9dfafbba9c6,Split,11,7,15,10,Diamond,3.0,201.526,0,0,0,6,13,0,0,4
4e24a733-08d4-4b47-9ad5-e33822751ba5,Lotus,17,6,20,13,Diamond,3.0,205.269,5,4,0,12,14,1,0,4
5976fe2b-56f4-4957-81b2-9edc8080846e,Lotus,28,12,23,19,Diamond,3.0,295.536,5,2,1,14,14,0,0,4
8389231e-8b49-4874-86de-54b9c71e110d,Fracture,25,4,18,22,Diamond,3.0,292.25,5,2,1,13,11,1,1,3
a2abbcc9-6d54-4e48-a325-9ea6b5cf5b21,Fracture,13,1,19,7,Diamond,3.0,181.875,5,3,2,13,11,0,0,4
62041631-9f06-4173-9c33-96356d204069,Breeze,10,2,17,6,Diamond,3.0,131.85,2,5,0,7,13,0,1,3
c999d7da-4684-45d9-8614-57db6d6c2847,Split,16,4,14,12,Diamond,3.0,232.0,5,4,1,13,8,1,1,3
b2d831a8-9ac6-4a0b-9823-b9ad0ef3e23b,Lotus,9,3,20,5,Diamond,3.0,98.696,0,6,0,10,13,1,1,3
31cf468e-10b4-4b5b-821f-9e5dd6afb47b,Lotus,7,4,15,8,Diamond,3.0,110.824,0,4,0,4,13,0,1,3
0a034114-4073-4bdc-bd44-214a6a552db4,Breeze,18,3,13,12,Diamond,3.0,214.524,2,5,1,13,8,0,1,3
d8a3dcf5-4a77-40a7-9ef5-9b72474a7689,Ascent,23,6,15,16,Diamond,3.0,298.435,6,2,2,13,10,1,0,4
ff91128f-9221-479f-9af2-ef46e7d4ef0d,Breeze,10,2,15,9,Diamond,3.0,186.688,0,2,0,3,13,1,0,4
428ae3b1-f8b7-4635-9ce0-bcdf1acce50f,Haven,19,2,17,13,Diamond,2.0,269.0,3,3,0,7,13,1,0,4
ea3e4ad1-0f05-4604-b4f3-5bf5922f071b,Ascent,8,1,15,6,Diamond,2.0,170.125,3,3,0,3,13,1,1,3
dbeab98f-102e-4f95-9f84-a522c24657b8,Pearl,0,2,6,0,Diamond,3.0,14.733,0,3,0,2,4,1,1,3
d5ec1d56-cc5b-446c-b561-db593a089c67,Split,14,4,15,12,Diamond,3.0,206.05,2,5,0,7,13,0,0,4
18fb8eed-f3e8-4e8e-b39b-31b81b279dc5,Haven,16,0,13,12,Diamond,3.0,199.381,2,1,1,13,8,0,0,4
