id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
e1410d46-41e8-4f9d-b043-357447575199,Summit,16,7,16,13,Immortal,3.0,190.043,1,1,0,10,13,1,0,4
83f4f539-d82d-49eb-9497-2b76f55e71cc,Split,23,7,18,22,Immortal,3.0,269.769,2,1,1,14,12,1,0,4
5059a7a2-c0ba-4657-af82-89f98c02458b,Haven,7,9,15,5,Immortal,3.0,120.143,1,1,0,8,13,0,0,4
a9e36ad9-ba42-49e4-9320-88f72ca053db,Sunset,14,10,16,12,Immortal,3.0,181.708,0,0,1,13,11,1,0,4
774d24c2-93f2-4813-affd-87d2ac6d2472,Abyss,21,2,13,14,Immortal,3.0,243.273,2,0,0,9,13,0,0,4
688fd49e-9d4d-464e-968b-b6976d15a6ee,Ascent,12,5,15,8,Immortal,3.0,142.304,0,3,0,10,13,0,0,4
256edc06-e8b5-4132-9af4-bf7f5babb692,Split,10,12,13,9,Immortal,3.0,167.857,1,1,1,13,8,1,0,4
7b5b8c29-fb31-48c5-9980-e83009fbd129,Sunset,22,8,15,14,Immortal,3.0,259.542,1,2,0,11,13,1,0,4
b4be57c8-1b51-42ee-b8b2-eb6efd9b9675,Lotus,14,9,11,15,Immortal,3.0,178.7,0,1,1,13,7,1,0,4
11ea95a2-f30b-43f0-97a0-206624e59790,Abyss,19,4,20,15,Immortal,3.0,225.75,1,3,0,11,13,0,0,4
93796709-6c3a-4a75-8ae2-9430a59ac40a,Abyss,15,5,7,11,Immortal,2.0,235.412,0,0,1,13,4,1,0,4
0e86a0c1-893c-46d6-8c82-cf6b203c733f,Haven,14,7,19,13,Immortal,3.0,181.458,0,2,0,11,13,1,0,4
331121d1-f8cc-4385-9186-165952c826c7,Abyss,19,7,20,19,Immortal,3.0,209.929,2,1,0,13,15,1,0,4
9dc6a2b8-05de-4efc-8bf3-04ff5fa0f360,Summit,12,13,17,9,Immortal,3.0,168.087,2,2,0,10,13,0,2,2
