id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
af3e73cf-fd7f-4c1f-a175-f21da1e0e66c,Breeze,15,7,15,11,Ascendant,2.0,228.684,1,0,1,13,6,0,2,2
3ece756e-0406-4a6d-bc00-33c3e1289224,Ascent,35,5,23,32,Ascendant,2.0,330.433,3,4,1,15,15,0,1,3
921faaa9-582a-48b7-ab28-936f04c393e6,Ascent,22,3,18,15,Ascendant,2.0,238.75,4,1,2,13,11,1,1,3
f1982d3e-02e7-4a05-b22d-95e464613667,Split,19,11,12,18,Ascendant,2.0,286.19,2,1,3,13,8,0,1,3
5cdde415-c3b4-4207-a8f1-281393fe3b59,Pearl,22,3,16,17,Ascendant,2.0,261.696,2,1,0,10,13,1,1,3
4715296b-8f2e-4ba1-b552-934594078cef,Breeze,21,6,13,16,Ascendant,2.0,298.8,3,0,1,13,7,1,0,4
134f7da1-63a9-4926-998f-c18fbdcfd9d4,Fracture,20,3,15,17,Ascendant,2.0,223.917,1,2,0,11,13,1,0,4
c01ead6c-2259-497b-8b8a-14c599c72b65,Breeze,10,10,19,8,Ascendant,2.0,149.15,0,1,0,7,13,0,0,4
72d0c1cd-6ef2-445a-8c2b-bed897cea6b8,Haven,15,5,18,11,Ascendant,2.0,211.13,2,2,0,10,13,1,0,4
def52268-b264-4ddb-aa8b-e0fc33d204d3,Pearl,16,3,19,15,Ascendant,2.0,214.227,1,3,0,9,13,1,0,4
05122e11-5c1e-4b9c-afb0-40a0451a9104,Haven,14,5,16,10,Ascendant,2.0,174.273,1,2,0,9,13,1,0,4
16f39c5d-be4d-499b-b32a-1e338563280f,Fracture,11,3,16,8,Ascendant,1.0,159.5,1,1,0,7,13,1,1,3
88175118-18cb-42c3-8468-2df3ec8312ef,Pearl,9,0,16,4,Ascendant,2.0,142.8,1,3,0,7,13,1,1,3
fa2aebfc-5984-44e6-a7b6-9d37639ef519,Fracture,12,3,16,11,Ascendant,1.0,186.316,1,1,0,6,13,0,1,3
049be9d6-0572-4bd6-b829-00d35b67d34b,Lotus,18,3,15,19,Ascendant,1.0,240.238,4,1,1,13,8,0,1,3
f71162e5-9c86-4049-91c4-d7ee8efd985e,Ascent,13,5,17,13,Unrated,,223.15,0,5,0,7,13,0,2,2
d1e55b2e-9b01-4f1f-accc-e895c0374f64,Breeze,18,4,11,11,Unrated,,234.111,1,2,1,13,5,1,2,2
a976d7f7-0e93-457b-9d6d-e2f1416891b8,Lotus,23,2,18,23,Unrated,,242.308,2,0,2,14,12,0,2,2
b4c1cfd4-4bb2-46e4-9f26-2488452bf745,Split,24,4,25,16,Unrated,,319.087,3,0,0,10,13,0,2,2
92207ba6-3f55-4856-a24c-1410d5e97ea1,Breeze,23,8,17,23,Unrated,,271.667,0,2,1,13,11,0,1,3
cf8f7080-b49f-4b3b-8684-cc66061fd2b0,Haven,15,7,16,12,Diamond,1.0,231.105,1,1,0,6,13,0,2,2
00344fd9-b628-4cf8-b294-760cbda73602,Split,24,4,19,13,Diamond,1.0,239.308,3,3,1,14,12,1,1,3
1d56f439-c923-4ace-923c-7aa8636cd5a6,Summit,9,3,15,5,Diamond,1.0,180.062,4,1,0,3,13,1,0,4
31513670-75cc-45db-ad87-c7745f559d52,Haven,23,4,15,14,Diamond,1.0,284.318,3,2,0,9,13,1,0,4
ca1769ad-fc69-4685-af79-a15c369d8480,Summit,21,3,17,16,Diamond,1.0,221.375,1,3,0,11,13,1,1,3
ae503b30-2931-46a9-ae47-49eec4854ff8,Summit,14,0,14,12,Diamond,1.0,235.375,1,0,0,3,13,1,1,3
0005998b-e4ff-429b-a6e9-2d3730540583,Lotus,27,4,15,22,Diamond,1.0,349.0,3,0,0,8,13,0,1,3
94a640d6-80d5-4a08-98d2-25526cd26f7f,Breeze,9,3,14,9,Diamond,1.0,141.789,2,2,1,13,6,0,1,3
b28c03fa-9a75-4d3a-aa8b-d1f7956c4bdb,Split,19,4,15,17,Diamond,1.0,266.8,2,2,0,7,13,0,1,3
3eb028ee-cf82-40eb-9895-8adadc2c5b16,Sunset,19,4,7,15,Diamond,1.0,351.765,5,0,1,13,4,1,1,3
737d0ca0-3591-48a2-b1ad-8df014236fd1,Sunset,21,5,9,18,Diamond,1.0,330.588,4,0,2,13,4,1,0,4
6f3f725c-61af-443e-acda-2a546dfd5e74,Ascent,14,9,19,8,Diamond,1.0,189.458,4,1,0,11,13,1,0,4
7d73439b-b67e-4448-929b-7313fc764ea2,Breeze,13,1,18,14,Diamond,1.0,208.647,0,2,0,4,13,0,0,4
bd1a29a3-b732-4906-aea5-c8c707b6ee1b,Summit,17,4,15,17,Diamond,1.0,223.261,4,1,1,13,10,1,0,4
7aac890f-6656-43b1-b487-733a3646ad38,Split,18,7,19,18,Diamond,1.0,219.333,2,3,0,11,13,0,0,4
be8cc0c6-690d-423a-97ff-0946d0d2356a,Haven,10,4,15,12,Diamond,1.0,182.882,2,1,0,4,13,1,1,3
40094cdc-1d7d-46f2-a45b-4ddff0117be7,Lotus,13,4,12,12,Diamond,1.0,230.188,3,2,1,13,3,0,1,3
88a2788f-2a14-4ced-ae8d-f3ffd5c3e4af,Lotus,26,4,21,16,Diamond,1.0,224.433,2,2,0,14,16,1,1,3
0ca5df82-3f78-4e04-847e-c9e0f0441f13,Breeze,15,1,16,12,Diamond,1.0,270.412,3,3,0,4,13,1,1,3
9feb1a4b-e17c-4262-9758-ed06ba6cfe19,Split,25,6,16,16,Diamond,1.0,313.333,8,0,1,13,11,1,1,3
d45ab7a1-ea6e-45e4-8f9f-88218d32f966,Lotus,25,5,12,22,Diamond,1.0,354.632,3,1,2,13,6,1,1,3
8d71f16c-849c-4e5e-8ed9-749de6c14877,Breeze,19,5,11,14,Diamond,1.0,271.9,2,1,1,13,7,1,0,4
0f05c296-b1a9-43ec-8a27-a916a1380dda,Haven,21,1,15,20,Diamond,1.0,273.381,4,1,0,8,13,1,1,3
65932ed7-2a37-4675-bbef-88db4c9ee2ae,Lotus,16,6,19,15,Diamond,1.0,216.292,3,8,0,11,13,1,0,4
709f4e00-7a29-46cb-8b34-625d76a1c93d,Haven,17,2,10,13,Diamond,1.0,281.647,4,1,1,13,4,1,1,3
25959f44-7239-46fa-b797-dcb3ae883f2c,Split,12,4,13,8,Diamond,1.0,155.143,1,1,2,13,8,1,1,3
e4865c56-d230-4398-a232-df500812585e,Breeze,15,4,17,12,Diamond,1.0,193.375,3,3,0,11,13,1,1,3
b1ffd3e0-6487-44c1-a132-8574c7051d76,Split,19,1,9,12,Diamond,1.0,366.143,3,0,1,13,1,0,1,3
8b1ea59d-db25-4fa9-a06a-18ca4a4c191d,Haven,23,12,16,18,Diamond,2.0,303.391,7,1,1,13,10,0,0,4
53843c5a-453f-41ac-9452-5f4c5cf0c70a,Sunset,26,9,13,19,Diamond,2.0,351.2,5,0,2,13,7,0,0,4
1bd9c20d-fc6c-41cd-985f-c08bb7ce5c57,Sunset,21,4,22,18,Diamond,2.0,217.538,1,2,0,12,14,1,0,4
9fb47921-286c-4216-8ee8-bb6b254bb64a,Lotus,13,7,22,10,Diamond,2.0,177.077,3,2,0,12,14,0,0,4
1da4afc6-d8a9-490b-8f1f-65b45627e26a,Summit,17,4,17,11,Diamond,2.0,212.0,2,2,0,11,13,0,0,4
2eb39502-2016-4a69-9487-7587ba31313b,Breeze,23,6,18,19,Diamond,2.0,260.591,0,0,1,13,9,1,1,3
f6fa7e64-aef2-4ff0-b05d-1a72bdb38c6c,Lotus,15,7,24,12,Diamond,2.0,186.462,2,2,0,12,14,0,1,3
caeb9846-9676-4d76-88bd-4426249c469f,Ascent,17,9,17,14,Diamond,2.0,270.5,2,1,1,13,7,1,0,4
b69d4051-3530-4ac6-86b9-51a047a65628,Ascent,9,8,13,10,Diamond,2.0,134.0,2,1,1,13,6,1,0,4
e1ae3d0f-1bc9-48dc-baba-2a5f1646eca0,Summit,14,11,18,14,Diamond,2.0,216.227,3,3,0,9,13,0,1,3
b5ae1cf9-586f-4ec4-8f8f-38fd4d778b7e,Summit,11,4,19,11,Diamond,2.0,133.625,1,3,0,11,13,0,1,3
082377c2-9d3b-4ea9-9b6e-f3072b897994,Breeze,11,3,17,6,Diamond,2.0,127.333,2,2,1,13,11,0,1,3
ec890b50-435d-4db3-81ab-00c3292388e2,Ascent,23,5,15,20,Diamond,2.0,284.136,1,1,0,9,13,0,0,4
5edf3232-a8f5-4035-b351-c13fdb6e85ad,Lotus,9,1,15,8,Diamond,2.0,190.643,1,1,0,1,13,1,0,4
70283ba8-f7fd-4c83-8758-b381eedb2c44,Breeze,21,7,20,19,Diamond,2.0,285.13,1,2,1,13,10,1,0,4
9e9ddd0f-1e1d-4a8d-b8ff-8fa0fb8c6f07,Lotus,24,8,17,17,Diamond,2.0,318.739,3,2,0,10,13,0,1,3
c5788334-04cc-4659-86ff-01855406c07f,Sunset,19,3,20,16,Diamond,2.0,212.5,2,3,0,12,14,0,1,3
c96510aa-2e53-418c-b4a6-8e4f1b6c60c8,Ascent,11,9,13,8,Diamond,2.0,167.368,1,2,0,6,13,0,1,3
