id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
891b97df-7d96-44ad-b4b5-771ca23a9ab3,Ascent,14,6,9,11,Silver,3,199.056,1,0,1,13,5,1,0,4
3e3b7c5b-da15-42a5-bd5d-32cd22a46126,Split,10,2,11,5,Silver,3,177.176,3,0,2,13,4,0,4,0
45952039-6502-4737-8648-0dc20cc80f51,Abyss,4,3,6,4,Silver,3,55.333,0,0,3,13,5,1,1,3
16336b48-6d95-4fa8-86b5-2c54a408cab4,Lotus,17,6,20,12,Silver,3,181.0,1,2,0,12,14,0,0,4
67dc0c0e-0a7b-41bb-b979-d9186d799f75,Haven,13,8,19,10,Silver,3,167.652,2,5,0,10,13,0,0,4
66f95b33-5c6d-428c-acb6-385e536dbf3b,Abyss,12,5,16,6,Silver,2,173.158,2,4,1,13,6,0,0,4
39c89921-759a-477b-b3ca-00b532a1c087,Abyss,15,3,15,16,Silver,3,261.941,2,2,0,4,13,0,1,3
e415ccce-a73f-45ff-818a-ddae7f3009b4,Split,11,3,16,9,Silver,3,185.737,2,1,0,6,13,1,0,4
d9bea33d-f2ba-4bb2-b6cb-1166fcccb4fe,Lotus,17,5,6,12,Silver,3,299.4,3,0,1,13,2,0,0,4
32a5109a-7f66-47b2-bb3a-5e32c72fa217,Abyss,16,6,16,10,Silver,3,221.042,1,3,0,11,13,1,0,4
27076d84-a287-4b37-91f8-4f3aaa789cf7,Summit,23,12,13,20,Silver,3,360.667,0,1,1,13,5,1,0,4
73930f6f-7668-49f6-b2a5-25e941cb5dbf,Lotus,19,4,11,14,Silver,3,232.227,1,0,1,13,9,0,0,4
7958df0a-5e9c-40fd-87c9-0f4a55e4dc89,Sunset,14,3,13,10,Silver,3,218.211,4,4,2,13,6,0,0,4
f9dbc80a-0a0d-408c-94b9-099dd33cef70,Haven,4,2,14,3,Silver,3,83.714,0,2,0,1,13,0,0,4
af7b9ef4-585e-4e47-bde0-9da1796e2642,Haven,11,3,10,9,Silver,3,203.375,0,1,1,13,3,0,0,4
39cca016-a053-4364-9162-9a91f847b5f3,Abyss,9,4,15,6,Silver,3,147.55,0,1,0,7,13,0,2,2
fa6b8c66-0b44-466a-84eb-60c32556ec33,Ascent,24,7,19,17,Silver,3,237.429,3,3,1,15,13,1,0,4
89c63762-9ddd-4a50-9e7f-2edb2cf1c432,Ascent,13,2,16,12,Silver,3,243.812,4,3,0,3,13,0,0,4
