id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
6823d39e-1d1f-4319-9994-4ac3b6a0c6ec,Haven,13,8,19,7,Ascendant,1.0,144.115,1,2,1,14,12,1,0,4
2d45ec50-6577-4ced-9441-628b268457a7,Ascent,15,6,19,15,Ascendant,1.0,237.947,0,2,0,6,13,0,0,4
aa7391d1-3b02-40af-b02d-041363e386f6,Haven,9,1,13,8,Ascendant,1.0,159.5,1,3,0,3,10,1,0,4
2b15f781-dd16-4b3f-be14-79835848a275,Ascent,21,1,7,19,Diamond,3.0,334.25,2,1,1,13,3,1,0,4
a8a1c65c-1ab7-4258-836a-3e4f9ddc9f24,Abyss,13,6,18,10,Diamond,3.0,158.885,2,1,2,14,12,0,0,4
f7d1adcc-c39c-4d52-87fe-e95d026e76d9,Sunset,26,1,8,19,Ascendant,1.0,331.842,2,3,1,13,6,1,0,4
1b3f1cc7-eafd-4c92-aeb0-b197beebb6f4,Ascent,9,5,20,9,Ascendant,1.0,119.917,0,3,0,11,13,0,0,4
5f7f26ad-91c4-47c0-8ec7-877224f4c2e0,Summit,19,7,14,15,Ascendant,1.0,250.682,0,2,1,13,9,0,0,4
1e5fc887-c5a3-4d15-8f62-9e77984435b8,Abyss,14,2,17,6,Ascendant,1.0,174.043,3,4,2,13,10,1,0,4
8f447a53-9d82-4a7d-b2ec-a8563c51bfd1,Ascent,10,6,14,10,Ascendant,1.0,151.7,0,2,1,13,7,1,1,3
8d0608e1-0061-491e-93ad-e7817915f298,Split,18,9,17,17,Ascendant,1.0,218.208,0,1,0,11,13,1,1,3
330bb5f3-4e0d-4e29-9012-4d28d30a1300,Haven,10,3,18,9,Ascendant,1.0,139.524,1,2,0,8,13,0,0,4
3a43c450-382b-40c9-aefc-66e857364aa3,Abyss,7,2,15,6,Ascendant,1.0,90.5,1,5,1,13,9,0,0,4
c8aa5f5e-5ee3-41da-b3de-467f47cbea89,Abyss,20,10,23,15,Ascendant,1.0,242.227,3,1,0,9,13,0,0,4
421778a6-fb27-4322-a466-da506b32f76c,Split,17,7,18,10,Ascendant,1.0,250.261,3,1,1,13,10,0,0,4
f9b1e70b-0351-4c9b-9e43-7b5ff7ab33f6,Lotus,11,2,18,9,Ascendant,1.0,165.8,3,4,0,7,13,0,0,4
dc4c0336-90fd-4389-b6b0-4f563262cd01,Split,16,1,19,10,Ascendant,1.0,199.667,0,3,0,8,13,1,1,3
9e3cbac3-0850-4598-a018-bf92323d949a,Ascent,14,5,9,8,Ascendant,1.0,191.65,2,1,1,13,7,0,1,3
