id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
83d4ea01-be40-4b11-99e4-b5f5c11038c4,Lotus,12,2,14,7,Platinum,1,150.81,0,0,1,13,8,1,1,3
0dfffe0f-bee0-4c54-8782-cbe80fc3b612,Split,17,4,13,10,Platinum,1,224.818,1,2,2,13,9,1,1,3
954a5c64-969e-4a27-a576-830c9c6d80d3,Sunset,8,2,14,3,Platinum,1,164.6,3,2,0,2,13,0,1,3
72d1812c-721f-4202-897c-c76154fab59c,Lotus,14,5,15,6,Platinum,1,192.381,1,2,0,8,13,1,1,3
ee91fcb1-218a-4880-be8b-0dba39424cc5,Haven,10,3,13,8,Platinum,1,251.357,1,2,0,1,13,1,1,3
22ad5f7e-9b87-4972-a618-8e93c33fcaf3,Split,21,9,23,19,Platinum,1,240.115,0,3,1,14,12,0,0,4
a7099fc0-b977-4f58-a84c-2b834c3afe60,Ascent,16,5,17,11,Platinum,1,176.0,1,0,2,13,11,1,0,4
e3f656ce-1679-4a13-bbb3-6ab710500697,Abyss,6,7,16,5,Platinum,1,116.882,1,1,0,4,13,0,1,3
33e52ecc-2e35-4da5-8b12-84efa5c9d3a5,Haven,12,4,7,9,Platinum,1,206.25,1,0,1,13,3,1,0,4
8bef259c-f5a3-4bb5-8eee-425f27771e62,Haven,5,7,9,8,Platinum,1,119.938,0,2,1,13,3,1,1,3
13920ee1-27e3-44d9-b4d9-04dae1aa4243,Split,23,10,18,23,Platinum,1,293.042,4,2,2,13,11,1,2,2
