id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
2c55e1ab-f6bc-4977-b922-8ea328c17b4b,Fracture,12,6,15,9,Platinum,3.0,170.591,1,0,0,9,13,0,2,2
09004179-5baf-474e-95b3-f2e91d438ead,Breeze,12,6,12,9,Platinum,3.0,184.611,2,0,1,13,5,0,1,3
4d8036cc-3edc-4d83-8e4b-7afd8dba6f1b,Fracture,3,3,13,1,Platinum,3.0,86.385,0,4,0,0,13,0,1,3
138f4118-a314-4096-a3b4-373b76c74fb6,Pearl,13,11,23,10,Platinum,3.0,178.538,1,5,1,14,12,1,2,2
6c7a27ac-99f6-4e79-baa6-a7f29d69c6cb,Pearl,12,2,7,13,Platinum,3.0,204.2,2,1,2,13,2,0,1,3
d6eba345-8b95-4249-8ef3-210bab1f7b6f,Lotus,24,8,13,14,Platinum,3.0,264.13,0,0,1,13,10,1,1,3
0eaaf809-4f36-4de2-8cf2-12ce30d89d9f,Split,15,6,16,11,Platinum,3.0,224.25,3,0,0,7,13,1,1,3
d2d697c8-d081-4735-8f48-3bd8e73ca91f,Haven,26,8,18,12,Platinum,3.0,334.542,5,4,0,11,13,0,2,2
5df0dd2f-0673-4647-90e2-26ef1af2eb26,Pearl,14,4,4,10,Platinum,3.0,225.312,1,0,1,13,3,0,2,2
1e996545-90a9-4724-9d33-4da81fb38daa,Pearl,15,4,16,10,Platinum,3.0,189.524,0,3,0,8,13,1,0,4
655a7edc-00fb-4898-97ac-444a8d91a4b0,Ascent,14,5,13,11,Platinum,3.0,200.6,1,3,0,7,13,1,0,4
da719d21-9b60-476e-a83e-f8d8566496c9,Ascent,17,6,14,15,Platinum,3.0,215.783,2,3,1,13,10,1,0,4
6dff9105-1176-4df2-9950-e849c4e99f36,Ascent,15,5,15,8,Platinum,3.0,183.304,1,4,0,10,13,0,3,1
ddd8713c-8075-4cb5-b5df-6c089c98e418,Split,18,6,21,13,Platinum,3.0,202.167,4,6,0,14,16,0,3,1
b68ff50f-5533-4e42-be02-a6782fa22252,Pearl,24,15,13,23,Platinum,3.0,340.591,6,0,1,13,9,0,3,1
f804a62a-b318-415c-bf2e-8b97f716c5d7,Ascent,22,3,17,12,Platinum,3.0,224.542,2,2,0,11,13,0,1,3
4035d6c8-f585-4646-a1b5-e75f5432c12c,Lotus,15,7,20,15,Platinum,3.0,162.192,1,0,1,14,12,1,1,3
12060635-b6a8-4c36-a09c-4381fc4caa13,Haven,14,5,18,7,Platinum,3.0,150.308,2,3,0,12,14,0,1,3
62b265c1-b62e-4c3b-ab83-7abef4c21289,Split,9,10,2,7,Platinum,3.0,166.462,0,0,1,13,0,0,1,3
620dc231-61c5-42fa-a9be-f471ffe87cb2,Pearl,10,9,10,6,Platinum,2.0,164.053,2,1,2,13,6,1,1,3
9ef96f6c-be10-4048-9f87-7a6cebdbeec7,Split,21,8,19,8,Platinum,3.0,184.767,0,2,0,14,16,0,1,3
ed800906-2e92-492d-993e-5e61830eed64,Breeze,22,6,21,12,Platinum,3.0,232.214,1,4,0,14,14,1,1,3
96729978-d878-490b-a840-7ba14f1366b1,Fracture,1,2,5,1,Platinum,3.0,40.846,0,1,0,0,5,0,1,3
f81841a7-01d8-45eb-81fc-edc5c2607a22,Pearl,17,5,11,14,Platinum,3.0,246.0,2,0,1,13,6,0,1,3
ee91e2de-32b2-4862-a3ba-551df2806247,Split,21,8,14,10,Platinum,2.0,254.083,0,2,1,13,11,0,1,3
bc49d6a0-bc6a-4d4c-8145-bde0ad4671d4,Fracture,12,7,15,7,Platinum,3.0,203.5,4,1,0,5,13,0,1,3
223f8291-401f-4792-a0c2-769b5c8cbaa9,Ascent,17,2,19,14,Platinum,3.0,172.536,1,1,1,15,13,0,1,3
596ada9f-c8b1-408d-ac28-90af5f210bdd,Haven,22,4,21,17,Platinum,3.0,236.0,3,1,0,12,14,0,1,3
15284535-4403-466e-8973-2b373d1c35e1,Breeze,21,4,13,17,Platinum,3.0,274.762,2,0,1,13,8,1,1,3
417fd860-c7d3-48a2-8bc5-1489debc9aa6,Haven,16,7,12,10,Platinum,3.0,191.636,0,0,2,13,9,0,1,3
188c13b7-ed9e-485e-99fa-2ea7a67ab9cf,Fracture,15,9,14,16,Platinum,3.0,186.167,1,0,1,13,11,0,1,3
7bdecbfa-0ea6-48f3-a5eb-fd86ab7c9d75,Split,15,7,10,12,Platinum,3.0,201.095,1,1,2,13,8,0,1,3
e42984d4-6f0b-430a-ba66-bc78ddd07739,Fracture,12,5,11,7,Platinum,3.0,172.316,0,0,3,13,6,0,1,3
4597707c-6038-4926-9f16-87e95b5ff447,Lotus,23,8,19,16,Platinum,3.0,207.733,1,4,0,15,15,1,1,3
7b5c610a-5d2c-4950-a513-fd6f6a0f365b,Lotus,10,5,12,5,Platinum,3.0,157.778,0,2,1,13,5,1,1,3
755ebbab-8e79-4f48-807f-9faa983c5e7e,Haven,15,6,19,9,Platinum,3.0,156.357,2,2,1,15,13,1,1,3
6111bbc3-62dd-46d9-93da-7f12ed4a62de,Breeze,9,5,17,7,Platinum,3.0,140.957,1,2,0,10,13,0,1,3
53ba45ed-3601-4ee0-ac51-bda1d84910a3,Ascent,18,2,12,10,Platinum,3.0,214.45,1,0,1,13,7,0,1,3
2a9e3a5b-0bbc-40fd-99f4-156022767559,Fracture,20,9,18,13,Platinum,3.0,265.545,1,1,0,9,13,0,1,3
49945f93-4c31-4165-bedb-bdf600e47930,Haven,12,13,20,10,Diamond,1.0,170.083,2,3,0,11,13,1,1,3
b46dde6d-5c44-4d28-8758-a396ed732538,Pearl,22,3,12,6,Diamond,1.0,324.222,5,2,1,13,5,0,1,3
b18c189c-f7d3-4f3f-8e37-e070857fa154,Lotus,13,9,11,11,Diamond,1.0,182.524,2,1,2,13,8,1,1,3
89cc53ba-5479-4664-8f98-683e1e897c81,Breeze,18,10,11,15,Diamond,1.0,209.957,0,1,3,13,10,0,1,3
e4817069-70c8-47db-a960-6deaffb4c2f7,Haven,7,6,10,7,Platinum,3.0,113.167,0,0,4,13,5,1,1,3
b4a95442-91ed-4281-b17c-65504ac2d8dc,Breeze,6,1,7,4,Unrated,,106.333,0,0,0,2,6,0,1,3
7d6f66fe-451a-4003-a6f0-1827046362e3,Summit,13,2,11,10,Unrated,,176.15,1,0,0,7,13,0,1,3
528e0434-01f8-4129-bbbe-6f00f55c7822,Lotus,7,3,10,5,Unrated,,137.0,0,0,0,3,9,0,1,3
b5fb67de-b1a3-4e12-bdb1-97a9b4943cef,Ascent,18,11,12,13,Unrated,,226.045,1,2,1,13,9,1,1,3
362f0dd9-81e4-4720-8200-bd73d9174caf,Split,11,4,18,10,Gold,3.0,160.286,1,2,0,8,13,1,1,3
6fabe9eb-4632-4d78-bfe9-c4757321a25a,Lotus,17,8,16,12,Unrated,,168.357,1,2,1,15,13,1,1,3
