rango,mapa_Abyss,mapa_Ascent,mapa_Bind,mapa_Breeze,mapa_Corrode,mapa_Fracture,mapa_Haven,mapa_Icebox,mapa_Lotus,mapa_Pearl,mapa_Split,mapa_Sunset,mapa_Summit,id_partida,kills,asistencias,muertes,headshots,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ab8fb01d-d149-400e-bcb7-b2e25c8ee7fd,16.0,8.0,13.0,8.0,3.0,253.95,2.0,0.0,1.0,13.0,7.0,0.0,0.0,4.0
6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3ece756e-0406-4a6d-bc00-33c3e1289224,18.0,19.0,25.0,12.0,3.0,203.767,2.0,2.0,1.0,15.0,15.0,1.0,0.0,4.0
6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9b9dbede-46d2-42ae-8067-0db1eeb719b6,16.0,8.0,18.0,13.0,3.0,184.308,2.0,1.0,0.0,12.0,14.0,1.0,0.0,4.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,ac04103b-cf07-4d83-93f7-e0bae38e60d6,13.0,5.0,18.0,5.0,3.0,172.409,2.0,0.0,0.0,9.0,13.0,0.0,0.0,4.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,90203048-f38a-400f-807d-cd01d67ce38b,10.0,2.0,14.0,5.0,3.0,201.533,2.0,0.0,0.0,2.0,13.0,1.0,0.0,4.0
6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,aa6b32a2-d34f-4db2-bf81-e8b52d790155,9.0,6.0,11.0,5.0,3.0,133.211,0.0,0.0,1.0,13.0,6.0,1.0,0.0,4.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4db2fb03-0734-457d-8952-70cbc6bb3628,14.0,4.0,14.0,8.0,3.0,227.667,1.0,2.0,0.0,5.0,13.0,0.0,0.0,4.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,efe5d470-c22f-4961-86d5-8cca570c47d1,16.0,7.0,18.0,10.0,3.0,193.417,4.0,2.0,0.0,11.0,13.0,0.0,0.0,4.0
6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a1e5c228-1d29-4d9f-9315-6d67230da22c,18.0,5.0,15.0,11.0,3.0,247.727,2.0,0.0,0.0,9.0,13.0,0.0,0.0,4.0
6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a32b83a1-3c8a-43a0-a8e3-88f88cf660a6,22.0,7.0,18.0,19.0,3.0,313.391,3.0,0.0,1.0,13.0,10.0,0.0,3.0,1.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,135ea325-f88e-44a2-bfd5-52d90cff3dac,21.0,10.0,17.0,14.0,3.0,297.739,2.0,5.0,2.0,13.0,10.0,1.0,3.0,1.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,853d1892-e78a-45ff-809a-f7c2a5073bcc,17.0,8.0,20.0,13.0,3.0,224.792,6.0,5.0,0.0,11.0,13.0,0.0,2.0,2.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,e1c8d1ea-9056-4f37-8642-c48005f89d6a,18.0,2.0,18.0,17.0,3.0,258.65,3.0,1.0,0.0,7.0,13.0,0.0,2.0,2.0
6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6daec91e-e4b1-488c-b15b-ec542f274dc4,21.0,7.0,17.0,15.0,3.0,273.417,3.0,2.0,1.0,13.0,11.0,0.0,0.0,4.0
6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a43296e5-dc21-4dcf-b9dd-a887326b81dd,17.0,3.0,15.0,12.0,3.0,230.15,4.0,1.0,1.0,13.0,7.0,0.0,0.0,4.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,c629ac51-7a73-4d8f-a5b5-373b41cfa7f8,19.0,4.0,15.0,9.0,3.0,334.611,1.0,1.0,0.0,5.0,13.0,1.0,0.0,4.0
6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c2b4f463-6470-496d-afaf-e250e344fbde,7.0,4.0,7.0,4.0,3.0,135.714,1.0,1.0,1.0,13.0,1.0,1.0,0.0,4.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,da99c5ce-7030-40e6-b1ec-967b4198f850,19.0,8.0,14.0,13.0,0.0,244.87,1.0,1.0,1.0,13.0,10.0,1.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6d30b567-4e68-4ccd-b593-7631a5fc1a90,7.0,3.0,14.0,10.0,0.0,189.333,1.0,2.0,0.0,2.0,13.0,1.0,0.0,4.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346c4b5d-327d-405d-bcf2-eef6a8e5424b,22.0,7.0,12.0,11.0,0.0,297.368,1.0,0.0,1.0,13.0,6.0,1.0,0.0,4.0
