id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
95bdacc1-47e8-405a-9bd1-1d1d62f16035,Haven,23,7,17,20,Bronze,1,280.5,3,2,0,11,13,1,3,1
72974e1c-a383-4dac-a63f-5e7d4b1d4b02,Split,19,2,14,8,Bronze,1,260.895,2,5,0,6,13,1,1,3
26dfbf07-2e88-4060-b8f7-d6dc6bdf2a80,Ascent,24,4,13,18,Bronze,1,377.471,8,1,1,13,4,1,1,3
08b6c4d0-7531-4ec0-a0a0-a4cd2148cd9e,Summit,8,5,16,10,Bronze,1,143.105,1,5,0,6,13,1,1,3
f48e0023-b884-46ab-a642-a31a413a921f,Summit,18,5,17,12,Bronze,1,245.81,4,5,0,8,13,1,1,3
c61ac094-c478-491f-a64b-3c8de20930a1,Haven,17,4,18,18,Bronze,1,206.333,3,2,1,13,11,1,1,3
c4920c11-90d9-4adb-86f8-a1c2133584e2,Ascent,17,6,14,12,Bronze,1,241.905,2,1,1,13,8,1,0,4
a4533ea2-51d0-4f59-989c-cccc427195dd,Summit,18,6,21,14,Bronze,2,220.667,0,3,0,11,13,1,0,4
905143cb-2e9e-4120-a0a8-366fb86135ab,Breeze,16,3,15,12,Bronze,2,227.238,1,1,1,13,8,0,0,4
8f013c5a-e8fb-4bf3-8e16-7ae8a437cedf,Breeze,10,6,18,10,Bronze,2,184.091,0,2,0,9,13,0,0,4
ded15123-6385-4c41-a2d9-9e5c643b2801,Sunset,11,2,20,7,Bronze,2,141.458,3,3,0,11,13,1,1,3
02117eb9-5ccb-4a3a-aa0b-7bde9bb6a8c3,Lotus,14,2,17,12,Bronze,2,238.368,2,4,0,6,13,0,1,3
797cd19e-b3f4-46da-8170-6af5dad9fa70,Sunset,20,4,16,17,Bronze,1,268.8,5,2,1,13,7,1,1,3
5efcffc3-9e30-4e00-b0a9-3e02d4df0f5c,Split,25,4,15,20,Bronze,1,383.222,7,3,2,13,5,1,1,3
7e3052b6-b6dd-424d-807c-026e3cf17c5c,Haven,18,1,15,8,Bronze,1,240.609,6,4,0,10,13,1,1,3
9cd49189-5d14-4756-bdf7-ce7d78c4c692,Ascent,23,7,18,18,Bronze,1,332.333,7,2,0,8,13,1,1,3
