id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
fba63aff-a487-483d-b964-c8811eda0bff,Ascent,14,4,18,9,Immortal,3,177.087,4,3,0,10,13,0,0,4
ea89260d-e9b6-4ecb-8d23-7ad3c1ad233a,Ascent,24,2,17,18,Immortal,3,320.905,3,5,0,8,13,0,0,4
033d6336-3860-4a8d-8462-ae17821f5e6d,Abyss,12,9,20,6,Immortal,3,158.5,1,2,0,9,13,0,0,4
d4f1dfe2-9b52-4690-a71c-536d7c6b086c,Haven,23,4,16,10,Immortal,3,296.591,7,4,1,13,9,1,0,4
b017fff5-0a87-4f73-be03-a2c1fd8c6c83,Lotus,24,8,22,17,Immortal,3,280.346,8,3,2,14,12,1,0,4
356954d1-3e2a-4788-bcaa-b89c4e2740dd,Summit,26,4,20,15,Immortal,3,287.833,8,3,1,13,11,1,0,4
e66d48cc-7bec-4a03-84d4-f244f9edd35b,Haven,11,2,15,11,Immortal,3,159.105,1,2,0,6,13,0,0,4
360bc49f-0ddf-48c9-87c6-2688940089be,Lotus,17,6,16,13,Immortal,3,212.773,4,2,1,13,9,1,4,0
f1682c62-1ae6-473b-bb7d-43930fbd001c,Abyss,17,4,13,7,Immortal,3,236.75,5,6,2,13,7,0,4,0
8840ae95-cc13-41cb-a377-6c7906783e0f,Haven,20,3,15,22,Immortal,3,278.9,4,2,3,13,7,1,4,0
d5780862-b1f0-4379-b385-1ba452075f85,Sunset,18,6,13,10,Immortal,3,265.2,3,3,4,13,7,1,4,0
e4e94d04-798e-4d43-b8fd-f420380f6f1b,Lotus,16,2,9,12,Immortal,3,264.0,2,1,5,13,2,0,4,0
88bd96de-3283-4f0c-9da4-25869d416e17,Ascent,16,6,19,12,Immortal,3,194.667,4,3,1,13,11,0,2,2
a5875841-40f7-4537-a7b4-ab1140ea1f34,Summit,18,4,17,11,Immortal,3,240.429,2,6,1,13,8,1,4,0
d91b5e21-554a-4347-8752-c59a140ccfe8,Haven,22,2,19,19,Immortal,3,248.625,6,3,0,11,13,1,3,1
827b498c-062a-412f-8ff7-c5dee0b62e9a,Split,17,2,14,16,Immortal,3,244.632,3,5,1,13,6,1,3,1
544139e8-3086-4851-b123-6945b10f3319,Abyss,21,4,17,18,Immortal,3,274.682,4,4,1,13,9,0,4,0
103ca427-0517-4421-9a9a-5d6e4a2d91ac,Haven,12,3,14,7,Immortal,3,153.7,2,3,2,13,7,1,4,0
e9be0b5f-bf33-4a14-ae7f-11ab20967e3a,Split,17,2,14,15,Immortal,3,243.0,6,2,3,13,5,1,4,0
6503a163-1a7b-4281-8b16-1c2c1e44ef58,Summit,17,8,16,19,Immortal,3,221.478,5,3,4,13,10,1,4,0
