id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
2c55e1ab-f6bc-4977-b922-8ea328c17b4b,Fracture,17,6,20,15,Diamond,1.0,229.909,2,3,0,9,13,0,2,2
09004179-5baf-474e-95b3-f2e91d438ead,Breeze,13,4,11,9,Diamond,1.0,185.056,1,1,1,13,5,1,1,3
4d8036cc-3edc-4d83-8e4b-7afd8dba6f1b,Fracture,6,1,13,3,Diamond,1.0,143.923,0,3,0,0,13,1,1,3
138f4118-a314-4096-a3b4-373b76c74fb6,Pearl,20,9,15,12,Diamond,1.0,203.5,1,1,1,14,12,0,2,2
6c7a27ac-99f6-4e79-baa6-a7f29d69c6cb,Pearl,14,3,7,10,Diamond,1.0,249.067,0,2,2,13,2,0,1,3
d6eba345-8b95-4249-8ef3-210bab1f7b6f,Lotus,21,3,19,11,Diamond,1.0,276.087,7,3,1,13,10,1,1,3
0eaaf809-4f36-4de2-8cf2-12ce30d89d9f,Split,8,7,17,4,Diamond,1.0,124.5,1,1,0,7,13,0,1,3
bf7b133f-eaac-4d1c-ae2b-b674a6b73eed,Haven,16,8,15,13,Diamond,1.0,208.304,1,0,1,13,10,0,0,4
eac0293a-353a-436c-81fa-644a433a696e,Ascent,14,4,15,10,Diamond,1.0,211.421,2,1,0,6,13,0,0,4
46c039f3-a038-4c88-a690-6325884eadcd,Haven,16,4,5,10,Diamond,1.0,259.688,2,0,1,13,3,0,0,4
6dff9105-1176-4df2-9950-e849c4e99f36,Ascent,24,7,19,17,Diamond,1.0,322.348,7,2,0,10,13,0,1,3
ddd8713c-8075-4cb5-b5df-6c089c98e418,Split,23,8,21,10,Diamond,1.0,230.6,2,5,0,14,16,1,1,3
b68ff50f-5533-4e42-be02-a6782fa22252,Pearl,18,13,19,14,Diamond,1.0,261.955,4,3,1,13,9,0,1,3
f804a62a-b318-415c-bf2e-8b97f716c5d7,Ascent,13,7,20,5,Diamond,1.0,179.917,1,3,0,11,13,0,1,3
4035d6c8-f585-4646-a1b5-e75f5432c12c,Lotus,24,3,22,19,Diamond,1.0,271.885,9,5,1,14,12,0,1,3
a61c7006-f3b5-4111-9d79-bd002bb6ee52,Breeze,8,6,16,8,Diamond,1.0,166.588,0,3,0,4,13,0,0,4
c6d84604-f6a1-4a7c-a998-0a812abcc361,Fracture,16,5,19,14,Diamond,1.0,284.421,1,3,0,6,13,0,0,4
12060635-b6a8-4c36-a09c-4381fc4caa13,Haven,13,6,23,9,Diamond,1.0,170.231,1,1,0,12,14,1,1,3
62b265c1-b62e-4c3b-ab83-7abef4c21289,Split,12,3,7,6,Diamond,1.0,231.692,2,2,1,13,0,1,1,3
620dc231-61c5-42fa-a9be-f471ffe87cb2,Pearl,12,6,11,8,Diamond,1.0,185.579,2,3,2,13,6,0,1,3
edc5e060-9c29-4fdd-9ed6-a33b236edcfb,Breeze,11,10,17,9,Diamond,1.0,199.474,1,2,0,6,13,1,0,4
9ef96f6c-be10-4048-9f87-7a6cebdbeec7,Split,21,8,26,13,Diamond,1.0,224.067,5,3,0,14,16,0,1,3
ed800906-2e92-492d-993e-5e61830eed64,Breeze,21,11,23,16,Diamond,1.0,228.536,2,3,0,14,14,1,1,3
96729978-d878-490b-a840-7ba14f1366b1,Fracture,5,1,5,4,Diamond,1.0,120.308,0,0,0,0,5,0,1,3
