id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
95bdacc1-47e8-405a-9bd1-1d1d62f16035,Haven,15,1,16,8,Bronze,1.0,162.792,2,0,0,11,13,1,3,1
de68b107-bae7-4836-985f-03854412eba2,Ascent,12,6,20,9,Bronze,1.0,168.318,0,3,0,9,13,1,0,4
c9aa777a-9602-49f9-9ed8-caa3afc7d0b8,Sunset,16,1,3,6,Bronze,1.0,248.8,2,1,1,7,2,0,0,4
209da64a-81a8-4458-aef1-3f17974761a0,Lotus,11,5,19,4,Bronze,1.0,146.125,1,0,0,11,13,1,0,4
bb0d6a86-2ee7-43a3-96ce-a43f75528b57,Breeze,5,12,12,1,Bronze,1.0,115.312,2,2,1,13,3,0,0,4
55a8fed5-1b2f-4812-ac49-d4700957eac5,Ascent,8,5,17,5,Bronze,1.0,124.263,2,1,0,6,13,1,0,4
d7ffa148-3363-4f30-ba04-43e0e149ebaa,Haven,7,2,20,8,Bronze,1.0,124.81,1,5,0,8,13,0,0,4
c93ab136-150d-4d4b-a107-dedfe1a77c33,Ascent,26,6,17,12,Bronze,1.0,286.423,2,1,0,12,14,0,0,4
ff270635-ac70-4334-bd96-fb4a87d65bd6,Split,16,6,15,7,Iron,3.0,302.438,2,3,0,3,13,0,0,4
a6f9c7d7-6ef7-4d03-b130-f31ffc843bf3,Haven,20,9,18,12,Iron,3.0,232.042,0,3,1,13,11,1,0,4
231424ad-086a-4696-afb7-9ec43f2131b8,Split,20,3,17,13,Iron,3.0,238.042,3,1,1,13,11,1,0,4
bd978731-e1ce-43fa-805b-e622a6e42c38,Haven,19,2,19,11,Iron,3.0,221.304,2,4,0,10,13,1,0,4
05b3cb93-9dd1-480f-9401-aed50c740917,Ascent,8,1,16,3,Iron,3.0,142.118,1,3,0,4,13,0,0,4
96f52d97-2a1b-46ee-bbe2-1d09a9229fdc,Sunset,0,1,5,0,Iron,3.0,4.105,0,0,0,6,13,1,0,4
76eb6c9f-cd59-4640-823b-b571eeb11ba7,Ascent,1,0,5,1,Iron,3.0,17.929,0,0,0,1,5,1,0,4
381d82b0-85f8-41b0-a55d-11c2d077e28f,Breeze,15,4,13,8,Iron,2.0,224.053,1,2,0,6,13,1,0,4
675ecf7f-d7d0-4a41-9458-25800ec045a8,Split,27,6,12,15,Iron,3.0,343.571,1,2,0,8,13,0,0,4
f5ecb919-d459-4650-8b1b-e8ded232838e,Ascent,15,7,9,8,Iron,3.0,222.8,2,2,1,13,7,0,0,4
0af30682-649e-402f-9db7-db8e38ce3aab,Haven,18,3,11,10,Iron,2.0,256.579,0,0,2,13,6,0,0,4
38dbdc5f-64e0-43cb-b1e2-f767b680b38f,Ascent,22,3,15,12,Iron,3.0,279.857,4,2,1,13,8,1,0,4
634d41f9-628a-41bf-aeb8-8e3f15675f90,Summit,9,16,19,2,Iron,3.0,121.0,0,3,1,14,12,1,0,4
92bbfe37-80c8-4def-8bb8-0ffe7f7d5fbd,Split,8,9,18,8,Iron,3.0,130.571,0,2,0,8,13,1,0,4
23138f45-3d37-47a4-ab71-bcc6f9daddd9,Haven,15,8,19,10,Iron,3.0,196.792,0,3,1,13,11,0,0,4
01f66987-6c52-4cda-a083-0d9025f45e4d,Sunset,11,6,15,9,Iron,3.0,144.238,1,3,2,13,8,0,0,4
ecdcc0a7-31f5-484c-9bd3-691bf3f19f5c,Ascent,20,7,17,20,Iron,3.0,292.318,3,2,1,13,9,0,0,4
af4e3a68-d81f-40d4-88f6-0ec54fe16847,Split,15,3,24,11,Bronze,1.0,159.923,0,5,0,12,14,0,0,4
9706390d-17e8-480b-9894-179adc069afe,Summit,19,6,13,12,Iron,3.0,220.417,2,2,1,13,11,0,0,4
