id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
7abcf05e-9157-42b1-8ae6-1952eabfe148,Lotus,34,3,26,34,Diamond,1,372.786,11,6,0,13,15,0,0,4
adf6b61f-f572-42e5-af77-d52d388eeaf5,Split,23,3,10,18,Diamond,1,439.4,7,1,1,13,2,0,0,4
bbb46f2b-3daf-4369-b291-fcb04cc6063b,Sunset,10,4,15,5,Diamond,1,157.579,0,4,0,6,13,1,0,4
e75fcf30-66c5-4d3d-bebb-870976108867,Haven,32,2,16,22,Diamond,1,402.182,8,1,1,13,9,1,0,4
0341eb87-cd03-4d1e-8e14-27f355a9205b,Summit,20,9,21,18,Diamond,1,243.423,6,4,1,14,12,0,0,4
f43cf1ec-4f89-41ae-9bfd-fa6001169de9,Ascent,17,4,17,24,Diamond,1,270.952,5,7,0,8,13,0,1,3
c83ab104-cb75-456d-9797-096f0e98661b,Haven,18,2,19,11,Diamond,1,242.227,4,2,0,9,13,1,1,3
d7e10daf-9186-4009-afb2-ab1c3ddf0625,Abyss,3,2,5,3,Diamond,1,71.769,1,0,0,0,5,0,1,3
65e4fdc9-46c9-45a9-be3a-37003b6e686b,Summit,11,2,15,10,Diamond,1,216.188,6,2,0,3,13,1,1,3
8f08416a-0f22-4481-bfe4-ce16ed1440aa,Ascent,14,8,14,12,Diamond,1,232.056,2,0,1,13,5,0,1,3
f6d233d3-bad2-46d8-a91a-c62ecaa498a2,Abyss,27,6,15,22,Diamond,1,310.348,0,1,1,13,10,1,2,2
