id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
2a92a35d-7254-4cbd-b4b9-975d4ddd9249,Adams,Ascent,Competitive,Deadlock,Centinela,15,6,17,10,"['Baby M', 'Uiste', 'Kingsthroat00', 'ONI 7EJRI']",Gold,1.0,"['Omen', 'Reyna', 'Chamber', 'Jett', 'Deadlock']",180.625,3,3,0,11,13,1786926196,"Monday, August 17, 2026 12:23 AM"
bb50cfa2-2b5d-4365-b1cc-af505b558339,Adams,Summit,Competitive,Miks,Controlador,22,6,7,23,"['Uiste', 'Kingsthroat00', 'ONI 7EJRI', 'Baby M']",Gold,1.0,"['Miks', 'Reyna', 'Iso', 'Chamber', 'Cypher']",330.222,1,1,1,13,5,1786924223,"Sunday, August 16, 2026 11:50 PM"
980adc96-9b32-401e-a6b6-a35984da7077,Adams,Summit,Competitive,Killjoy,Centinela,11,4,16,17,"['Uiste', 'Kingsthroat00', 'ONI 7EJRI', 'Baby M']",Gold,1.0,"['Killjoy', 'Viper', 'Iso', 'Chamber', 'Jett']",204.778,2,2,0,5,13,1786922036,"Sunday, August 16, 2026 11:13 PM"
5438dcf4-e906-45c0-8a0e-381c3bc7eb06,Adams,Split,Competitive,Deadlock,Centinela,13,4,14,14,"['Kingsthroat00', 'ONI 7EJRI', 'Baby M', 'i miss my her']",Gold,1.0,"['Iso', 'Sage', 'Deadlock', 'Veto', 'Clove']",251.625,1,2,0,3,13,1786840085,"Sunday, August 16, 2026 12:28 AM"
417567c8-fae6-4cba-9b09-922f74a4cf0c,Adams,Sunset,Competitive,Deadlock,Centinela,21,6,15,17,"['i miss my her', 'C0mec0ñ0s33', 'Coj0nIzquierdo', 'FranciS']",Gold,1.0,"['Deadlock', 'Phoenix', 'Breach', 'Omen', 'Chamber']",227.333,1,0,0,11,13,1786837122,"Saturday, August 15, 2026 11:38 PM"
0ca215e2-56b0-4cfb-93c7-675c92d2e2c3,Adams,Drift,Team Deathmatch,Iso,Duelista,22,10,23,17,"['paaula', 'n4k1to', 'joseeetmx', 'Lyth1']",Unrated,,"['Jett', 'Iso', 'Reyna', 'Yoru', 'Gekko']",6855.0,0,0,0,88,100,1787692586,"Tuesday, August 25, 2026 09:16 PM"
0556b376-4d95-4508-b211-3ecc3e0f17a5,Adams,Drift,Team Deathmatch,Reyna,Duelista,22,6,19,21,"['Fabianest1455', 'CuteMonke', 'DarpaGMR', 'jaendel']",Unrated,,"['Jett', 'Killjoy', 'Raze', 'Reyna', 'Harbor']",6551.0,1,0,0,71,100,1787691886,"Tuesday, August 25, 2026 09:04 PM"
a15a90c9-2ec7-459c-9ea0-545a8dbf98de,Adams,Abyss,Competitive,Deadlock,Centinela,9,2,13,7,"['adoredyasso', 'MIBR Flamengo', 'Baby M', 'i miss my her']",Gold,1.0,"['Jett', 'Neon', 'Deadlock', 'Chamber', 'Clove']",137.143,0,0,1,13,8,1787788756,"Wednesday, August 26, 2026 11:59 PM"
a7a02dfe-92c0-4cd8-8138-70167346109c,Adams,Haven,Competitive,Deadlock,Centinela,11,3,17,7,"['HoobsXD', 'MoOo7a', 'Baby M', 'MIBR Flamengo']",Gold,1.0,"['Miks', 'Phoenix', 'Deadlock', 'Chamber', 'Sova']",141.364,1,1,0,9,13,1787786194,"Wednesday, August 26, 2026 11:16 PM"
e219e334-b5df-4189-a3a3-5981303a0954,Adams,Sunset,Competitive,Deadlock,Centinela,7,2,18,5,"['ütvefúró', 'miszterbíszt', 'ZockPapa47', 'Baby M']",Unrated,,"['Deadlock', 'Reyna', 'Sage', 'Brimstone', 'Gekko']",110.5,1,2,1,13,9,1787783170,"Wednesday, August 26, 2026 10:26 PM"
7d5f9ea0-3b22-45ed-96b0-9126edf0bb3d,Adams,District,Team Deathmatch,Raze,Duelista,15,3,14,14,"['Rudeus', 'MaDD', 'Fufu', 'zae']",Unrated,,"['Clove', 'Raze', 'Neon', 'Iso', 'Reyna']",4076.0,0,0,2,100,94,1787782503,"Wednesday, August 26, 2026 10:15 PM"
e0ab965d-ba65-48f3-84b6-285f1178d5e8,Adams,Abyss,Competitive,Deadlock,Centinela,18,6,9,15,"['Supreme', 'Taq6wx', 'idontmissher', 'Pasha096']",Gold,1.0,"['Phoenix', 'Clove', 'Deadlock', 'Jett', 'Sage']",252.526,1,1,1,13,6,1787861821,"Thursday, August 27, 2026 08:17 PM"
64b5c0cc-e487-47ec-a09f-4f8e4e3ef21a,Adams,Piazza,Team Deathmatch,Reyna,Duelista,16,6,22,16,"['Mazksy', '나티Loves휴카', 'unicornioreal123', 'G1pson']",Unrated,,"['Chamber', 'Reyna', 'Clove', 'Jett', 'Phoenix']",4778.0,0,1,0,75,100,1787861194,"Thursday, August 27, 2026 08:06 PM"
