id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
4f6b6c61-4132-4aba-b694-9577267bb740,KIM GAEUL,Sunset,Competitive,Killjoy,Centinela,10,2,18,11,"['papa fetres', 'Izaann2323', 'mintea', 'marckitus28']",Bronze,1.0,"['Cypher', 'Fade', 'Omen', 'Killjoy', 'Reyna']",103.321,2,1,1,15,13,1782836642,"Tuesday, June 30, 2026 04:24 PM"
5bc19988-7379-47ce-93ac-456aae7b49b7,KIM GAEUL,Haven,Competitive,Killjoy,Centinela,11,4,14,9,"['mintea', 'GUDO99', 'I need you', 'cargix']",Bronze,1.0,"['Miks', 'Killjoy', 'KAY/O', 'Jett', 'Phoenix']",149.182,0,1,0,9,13,1782834301,"Tuesday, June 30, 2026 03:45 PM"
63cd3da8-39c6-4b43-b501-d7f89779b042,KIM GAEUL,Split,Competitive,Sage,Centinela,9,7,13,7,"['JaviDMツ', 'SaPoツ', 'EnMaYaOツ', 'marckitus28']",Bronze,1.0,"['Jett', 'Sage', 'Yoru', 'Astra', 'Reyna']",92.25,0,1,1,13,11,1782831434,"Tuesday, June 30, 2026 02:57 PM"
6e97da75-2e80-477a-976d-bb3c4c92598e,KIM GAEUL,Ascent,Competitive,Killjoy,Centinela,10,6,15,10,"['minoret', 'Calmed8', 'mcf2010', 'marckitus28']",Bronze,1.0,"['Skye', 'Killjoy', 'Raze', 'Iso', 'Clove']",177.571,1,1,0,8,13,1782829356,"Tuesday, June 30, 2026 02:22 PM"
ca5f2c7a-3e38-4ca7-83c4-378d90b036f6,KIM GAEUL,Abyss,Swiftplay,Brimstone,Controlador,5,7,5,4,"['Kelo', 'Rudy47T', 'Bl4azeenglish123', 'laliona']",Unrated,,"['Killjoy', 'Brimstone', 'Gekko', 'Phoenix', 'Neon']",219.857,0,0,1,5,2,1782828004,"Tuesday, June 30, 2026 02:00 PM"
9e8a6b09-71fa-4dbe-8aab-0f2055f1cfab,KIM GAEUL,Lotus,Competitive,Brimstone,Controlador,13,17,15,6,"['Monsterbiscot731', 'mintea', 'marckitus28', 'ItsUnai012']",Bronze,2.0,"['Breach', 'Neon', 'Sage', 'Brimstone', 'Reyna']",181.292,0,1,1,13,11,1782926520,"Wednesday, July 01, 2026 05:22 PM"
d884c972-8af7-4d50-ac26-e4af59998ee7,KIM GAEUL,Summit,Competitive,Brimstone,Controlador,15,9,16,3,"['MoonSoacked', 'Kanzelada', 'Perro Katana', 'YelinRez']",Bronze,2.0,"['Jett', 'Brimstone', 'Sage', 'Deadlock', 'Gekko']",183.048,0,1,0,8,13,1782921825,"Wednesday, July 01, 2026 04:03 PM"
056edfa9-fd81-4276-9d98-aad5de7f7757,KIM GAEUL,Breeze,Competitive,Skye,Iniciador,11,9,11,6,"['Salva04', 'Kanzelada', 'MoonSoacked', 'Perro Katana']",Bronze,1.0,"['Clove', 'Miks', 'Neon', 'Skye', 'Veto']",168.842,1,2,1,13,6,1782919307,"Wednesday, July 01, 2026 03:21 PM"
dd8a86d9-cf4f-4b91-b7f7-1a5db5ec0673,KIM GAEUL,Sunset,Competitive,Brimstone,Controlador,12,13,16,6,"['MoonSoacked', 'Salva04', 'Perro Katana', 'Kanzelada']",Bronze,1.0,"['Reyna', 'Gekko', 'Brimstone', 'Jett', 'Sage']",183.7,0,1,0,7,13,1782917054,"Wednesday, July 01, 2026 02:44 PM"
5f0f04f6-c40c-4ddd-92a6-83264726629b,KIM GAEUL,Breeze,Competitive,Skye,Iniciador,10,10,15,6,"['mintea', 'marckitus28', 'Gabra04', 'JulenSubterraneo']",Bronze,2.0,"['Viper', 'Reyna', 'Skye', 'Vyse', 'Phoenix']",173.5,1,2,0,5,13,1782931753,"Wednesday, July 01, 2026 06:49 PM"
22423b37-acea-4f23-9e7a-8e3fba9953b6,KIM GAEUL,Summit,Competitive,Skye,Iniciador,10,14,16,3,"['toniichi123', 'marckitus28', 'mintea', 'vandido bo']",Bronze,2.0,"['Cypher', 'Raze', 'Miks', 'Skye', 'Reyna']",151.087,0,3,0,10,13,1782929210,"Wednesday, July 01, 2026 06:06 PM"
