id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
3ece756e-0406-4a6d-bc00-33c3e1289224,KOLDY x CHIKI,Ascent,Competitive,Jett,Duelista,24,9,26,22,"['chiki baahhh', '西班牙境外的摩尔人', 'Thu malagueño', 'InstalockReyna']",Ascendant,1.0,"['Cypher', 'Jett', 'Clove', 'Sova', 'Reyna']",244.533,7,3,0,15,15,,
fa9f4cfc-4915-4aaf-a501-38b002c0b43b,KOLDY x CHIKI,Fracture,Competitive,Cypher,Centinela,22,6,18,18,"['chiki baahhh', 'ミトマは1つだけ', 'Adeimii', 'Air fryer']",Ascendant,1.0,"['Cypher', 'Brimstone', 'Jett', 'Tejo', 'Chamber']",261.125,4,1,1,13,11,,
fd82c016-1639-472e-9c2c-0af9dcd32709,KOLDY x CHIKI,Split,Competitive,Jett,Duelista,16,5,11,14,"['CoraZone', 'tuago vazo', 'chiki baahhh', 'brunoenbig']",Ascendant,1.0,"['Cypher', 'Clove', 'Jett', 'Skye', 'Gekko']",253.789,2,1,2,13,6,,
e3a03ce7-d0ba-45e4-aefa-1a3e653c7157,KOLDY x CHIKI,Lotus,Competitive,Raze,Duelista,13,1,16,10,"['chiki baahhh', 'Stretweed', 'Alo3XA', 'happycarlitus']",Ascendant,1.0,"['Tejo', 'Chamber', 'Cypher', 'Raze', 'Omen']",206.944,3,3,0,5,13,,
10dbd5a9-5912-4ac5-a46e-b4724beee68c,KOLDY x CHIKI,Pearl,Competitive,Chamber,Centinela,18,6,18,9,"['Stretweed', 'chiki baahhh', 'Alo3XA', 'happycarlitus']",Ascendant,1.0,"['Jett', 'Fade', 'Chamber', 'Gekko', 'Astra']",231.217,5,3,1,13,10,,
e781483b-d1c4-42bb-9f69-474a99991f12,KOLDY x CHIKI,Bind,Swiftplay,Jett,Duelista,6,1,6,5,"['Xiaoo', '7oungChris', 'pbarbosa', 'chiki baahhh']",Unrated,,"['Sage', 'Jett', 'KAY/O', 'Chamber', 'Omen']",227.857,2,0,0,2,5,1781303429.0,"Friday, June 12, 2026 10:30 PM"
313c583c-c564-4fe0-b29c-042ef3d30c59,KOLDY x CHIKI,Pearl,Competitive,Astra,Controlador,15,8,8,10,"['jesus', 'idfc', 'Patriki', 'chiki baahhh']",Ascendant,1.0,"['Jett', 'Astra', 'Sage', 'Phoenix', 'Fade']",200.895,2,2,1,13,6,1781301521.0,"Friday, June 12, 2026 09:58 PM"
06be74d8-9eb4-477d-94c6-a47d8a1a4170,KOLDY x CHIKI,Breeze,Competitive,Sova,Iniciador,12,5,13,12,"['chiki baahhh', 'AreYouTrolling', 'Webli', 'B0XEDBYNET4NY4HU']",Ascendant,1.0,"['Sova', 'Viper', 'Chamber', 'Reyna', 'Jett']",183.158,2,1,2,13,6,1781299630.0,"Friday, June 12, 2026 09:27 PM"
727374c3-f700-4f7c-ad7a-f0cbdc482fa0,KOLDY x CHIKI,Split,Competitive,Jett,Duelista,26,6,20,24,"['low sens demon', 'airoons', 'Papi Sousa RHLM', 'petruv']",Ascendant,1.0,"['Clove', 'Sage', 'Neon', 'Breach', 'Jett']",297.538,8,1,1,14,12,1781342649.0,"Saturday, June 13, 2026 09:24 AM"
ffff62a5-7569-4625-808f-7a785ad61234,KOLDY x CHIKI,Fracture,Competitive,Sova,Iniciador,15,4,16,15,"['Karallot', 'Finn el humano', 'H3ctxrr', 'chiki baahhh']",Ascendant,2.0,"['Breach', 'Jett', 'Chamber', 'Brimstone', 'Sova']",203.682,1,0,0,9,13,1781348459.0,"Saturday, June 13, 2026 11:00 AM"
bbde0dd5-6605-4d57-b7ce-ae09cd15be4b,KOLDY x CHIKI,Breeze,Competitive,Astra,Controlador,22,7,19,23,"['chiki baahhh', 'QuinKyEdelWeiSs', 'fantastic', 'Belen Esteban']",Ascendant,2.0,"['KAY/O', 'Sova', 'Chamber', 'Astra', 'Phoenix']",274.435,1,2,0,10,13,1781346153.0,"Saturday, June 13, 2026 10:22 AM"
3aa9f039-3833-4dde-92a6-97e100958c1d,KOLDY x CHIKI,Split,Competitive,Waylay,Duelista,28,2,20,27,"['Abzu', 'PRX  tekzyy 本', 'chiki baahhh', '999']",Ascendant,1.0,"['Phoenix', 'Skye', 'Waylay', 'Cypher', 'Clove']",293.0,5,3,1,14,12,1781443742.0,"Sunday, June 14, 2026 01:29 PM"
c17a5229-543d-46d2-9c52-2735a798fec6,KOLDY x CHIKI,Haven,Competitive,Jett,Duelista,24,5,18,21,"['sigmadri aura', 'FreecssY', 'chiki baahhh', 'IneedAlterna']",Ascendant,1.0,"['Clove', 'Chamber', 'Jett', 'Sova', 'Phoenix']",282.333,6,3,2,13,11,1781440916.0,"Sunday, June 14, 2026 12:41 PM"
