id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
6887a0ef-25d5-4a5e-b98a-e1aa5be29e21,Mayonesa,Lotus,Competitive,Jett,Duelista,18,2,21,13,"['Areevaaloツ', 'Pecolsito', 'LogicBios', 'Samukexxz']",Diamond,2.0,"['Vyse', 'Clove', 'Chamber', 'Reyna', 'Jett']",200.179,5,2,0,13,15,,
1916a9a6-66af-478a-b475-aa8423e1c990,Mayonesa,Lotus,Competitive,Gekko,Iniciador,8,4,16,9,"['Dexterrrr', 'drdvicente', 'MisterPepas', 'agent']",Diamond,2.0,"['Gekko', 'Jett', 'Chamber', 'Omen', 'Reyna']",119.091,0,2,1,13,9,,
c1801b72-8cc0-41ba-85cd-b7123360c634,Mayonesa,Pearl,Competitive,Jett,Duelista,8,0,15,9,"['david', 'Lelelouch', 'El Yisuss', 'LaminUnaFoto']",Diamond,2.0,"['Reyna', 'Jett', 'Killjoy', 'Omen', 'Fade']",122.833,1,4,0,5,13,1781275597.0,"Friday, June 12, 2026 02:46 PM"
cdd48ff4-86e7-4c9f-95b9-3cbda5511d04,Mayonesa,Haven,Competitive,Jett,Duelista,16,6,11,12,"['maxee', 'salme17', 'MONO Y ESCOPETA', 'Lelelouch']",Diamond,2.0,"['Jett', 'Clove', 'Chamber', 'Raze', 'Sova']",202.333,0,1,1,13,8,1781273225.0,"Friday, June 12, 2026 02:07 PM"
631f0c82-92d9-45c2-899d-54fd676d4182,Mayonesa,Split,Competitive,Jett,Duelista,14,1,14,10,"['Ash1taka', 'Killua 戻る', 'MrMendra', 'DEMODUMBO']",Diamond,2.0,"['Chamber', 'Gekko', 'Jett', 'Waylay', 'Miks']",198.9,1,1,0,7,13,1781298085.0,"Friday, June 12, 2026 09:01 PM"
ef7c7860-3447-4cec-89a7-36c92d7f9b04,Mayonesa,Ascent,Competitive,Chamber,Centinela,20,1,16,18,"['SONGOMONGO', 'granjero de ira', 'No Aim', 'Tigas']",Diamond,2.0,"['Breach', 'Cypher', 'Chamber', 'KAY/O', 'Jett']",227.217,3,1,0,10,13,1781295407.0,"Friday, June 12, 2026 08:16 PM"
56a89729-ac1e-434d-80c6-f4b71dcfda55,Mayonesa,Breeze,Competitive,Jett,Duelista,15,3,15,12,"['zRubix', 'Muffinmortal', 'BABI BOI', 'オールクレイジーム']",Diamond,1.0,"['Jett', 'KAY/O', 'Clove', 'Neon', 'Killjoy']",191.0,2,4,0,10,13,1781344556.0,"Saturday, June 13, 2026 09:55 AM"
1fdcc818-dbec-426f-81ac-b34ad334cd13,Mayonesa,Ascent,Competitive,Chamber,Centinela,16,1,16,15,"['Monarch', 'Beiron', 'Dave Quagmire', 'capitan yoidan']",Diamond,1.0,"['KAY/O', 'Sova', 'Chamber', 'Clove', 'Jett']",139.929,3,3,1,15,13,1781341492.0,"Saturday, June 13, 2026 09:04 AM"
7d2a26ec-e671-44e4-90bf-86d58f9fabe7,Mayonesa,Haven,Competitive,Jett,Duelista,20,4,20,18,"['TTT', 'Krkw', '一期一会', 'Algunnombre']",Diamond,1.0,"['Chamber', 'Iso', 'Skye', 'Omen', 'Jett']",213.036,2,2,0,14,14,1781352828.0,"Saturday, June 13, 2026 12:13 PM"
a9551510-3e9e-4c00-ab12-d838cb027b1b,Mayonesa,Breeze,Competitive,Jett,Duelista,25,1,16,22,"['HOLLOWED', 'dangonv', 'Tanque', 'Algunnombre']",Diamond,1.0,"['Fade', 'Chamber', 'Miks', 'Sova', 'Jett']",308.261,5,0,0,10,13,1781350518.0,"Saturday, June 13, 2026 11:35 AM"
