id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
891b97df-7d96-44ad-b4b5-771ca23a9ab3,Pandeiro,Ascent,Competitive,Sova,Iniciador,14,6,9,11,"['ASTUR静', 'Suaar3kx', 'Galan09', 'WTioFer']",Silver,3,"['Jett', 'Sova', 'Deadlock', 'Miks', 'Yoru']",199.056,1,0,1,13,5,1787582622,"Monday, August 24, 2026 02:43 PM"
3e3b7c5b-da15-42a5-bd5d-32cd22a46126,Pandeiro,Split,Competitive,Cypher,Centinela,10,2,11,5,"['jamoncitos3123', 'angelutrix', 'Chiste sad002', 'Bmbxrr']",Silver,3,"['Cypher', 'Fade', 'Brimstone', 'Neon', 'Reyna']",177.176,3,0,2,13,4,1787354585,"Friday, August 21, 2026 11:23 PM"
45952039-6502-4737-8648-0dc20cc80f51,Pandeiro,Abyss,Competitive,Sova,Iniciador,4,3,6,4,"['El Ligon', 'Shisui', 'jamoncitos3123', 'lobby admin']",Silver,3,"['Yoru', 'Chamber', 'Sova', 'KAY/O', 'Jett']",55.333,0,0,3,13,5,1787352578,"Friday, August 21, 2026 10:49 PM"
16336b48-6d95-4fa8-86b5-2c54a408cab4,Pandeiro,Lotus,Competitive,Phoenix,Duelista,17,6,20,12,"['RaeK', 'Anomalia', 'SrMOCO', 'Elba Surero']",Silver,3,"['Breach', 'Chamber', 'Phoenix', 'Sage', 'Brimstone']",181.0,1,2,0,12,14,1787601517,"Monday, August 24, 2026 07:58 PM"
67dc0c0e-0a7b-41bb-b979-d9186d799f75,Pandeiro,Haven,Competitive,Cypher,Centinela,13,8,19,10,"['egoista', 'Daddy Yonky', 'Alpajas', 'Baster']",Silver,3,"['Clove', 'Reyna', 'Neon', 'Cypher', 'Sova']",167.652,2,5,0,10,13,1787656360,"Tuesday, August 25, 2026 11:12 AM"
66f95b33-5c6d-428c-acb6-385e536dbf3b,Pandeiro,Abyss,Competitive,Neon,Duelista,12,5,16,6,"['ElBarto', 'Eknil', 'poltutopio', 'GordinhaFofinha']",Silver,2,"['Miks', 'Deadlock', 'Neon', 'Sova', 'Sage']",173.158,2,4,1,13,6,1787696332,"Tuesday, August 25, 2026 10:18 PM"
39c89921-759a-477b-b3ca-00b532a1c087,Pandeiro,Abyss,Competitive,Omen,Controlador,15,3,15,16,"['Fil1pp', 'ElTost3', 'MgaBobo', 'ZINEDINEMAGAN']",Silver,3,"['Jett', 'Chamber', 'Omen', 'Skye', 'Sova']",261.941,2,2,0,4,13,1787694613,"Tuesday, August 25, 2026 09:50 PM"
e415ccce-a73f-45ff-818a-ddae7f3009b4,Pandeiro,Split,Competitive,Cypher,Centinela,11,3,16,9,"['GwenStacy', 'Ωmega', 'ATR7K', 'FILEM0N']",Silver,3,"['Cypher', 'Reyna', 'Omen', 'Fade', 'Chamber']",185.737,2,1,0,6,13,1787692182,"Tuesday, August 25, 2026 09:09 PM"
d9bea33d-f2ba-4bb2-b6cb-1166fcccb4fe,Pandeiro,Lotus,Competitive,Killjoy,Centinela,17,5,6,12,"['COS0', 'guadalajara', 'nai', 'leyrenox']",Silver,3,"['Chamber', 'Skye', 'Killjoy', 'Omen', 'Waylay']",299.4,3,0,1,13,2,1787754809,"Wednesday, August 26, 2026 02:33 PM"
32a5109a-7f66-47b2-bb3a-5e32c72fa217,Pandeiro,Abyss,Competitive,Sova,Iniciador,16,6,16,10,"['LARRY', 'Hec4tex', 'mango', 'STF jgo']",Silver,3,"['Phoenix', 'Cypher', 'Jett', 'Sova', 'Clove']",221.042,1,3,0,11,13,1787752092,"Wednesday, August 26, 2026 01:48 PM"
