id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
6823d39e-1d1f-4319-9994-4ac3b6a0c6ec,PayoPoni69,Haven,Competitive,Jett,Duelista,13,8,19,7,"['CH AbusaMadres', 'Fritzhs', 'pabloxdxd0', 'CH RoniiPerroni']",Ascendant,1.0,"['Reyna', 'Skye', 'Chamber', 'Miks', 'Jett']",144.115,1,2,1,14,12,1787579025,"Monday, August 24, 2026 01:43 PM"
2d45ec50-6577-4ced-9441-628b268457a7,PayoPoni69,Ascent,Competitive,Clove,Controlador,15,6,19,15,"['ElPopa', '安多爾', 'Malboro Red', 'ElTitoAsii']",Ascendant,1.0,"['Cypher', 'Jett', 'Phoenix', 'Sova', 'Clove']",237.947,0,2,0,6,13,1787576964,"Monday, August 24, 2026 01:09 PM"
aa7391d1-3b02-40af-b02d-041363e386f6,PayoPoni69,Haven,Competitive,Jett,Duelista,9,1,13,8,"['Por PAYO', 'Bibianico', 'FreeKayFlock', 'el baifoo']",Ascendant,1.0,"['Phoenix', 'Sage', 'Jett', 'Clove', 'Veto']",159.5,1,3,0,3,10,1787531261,"Monday, August 24, 2026 12:27 AM"
2b15f781-dd16-4b3f-be14-79835848a275,PayoPoni69,Ascent,Competitive,Jett,Duelista,21,1,7,19,"['Xwwz310', 'exrgork', 'Kiver', 'calm aim']",Diamond,3.0,"['Jett', 'Clove', 'Chamber', 'KAY/O', 'Sova']",334.25,2,1,1,13,3,1787528520,"Sunday, August 23, 2026 11:42 PM"
a8a1c65c-1ab7-4258-836a-3e4f9ddc9f24,PayoPoni69,Abyss,Competitive,Sova,Iniciador,13,6,18,10,"['Xwwz310', 'Freaxsiño', '1teteu', 'Daftkong']",Diamond,3.0,"['Clove', 'Sova', 'Astra', 'Cypher', 'Phoenix']",158.885,2,1,2,14,12,1787521843,"Sunday, August 23, 2026 09:50 PM"
f7d1adcc-c39c-4d52-87fe-e95d026e76d9,PayoPoni69,Sunset,Competitive,Jett,Duelista,26,1,8,19,"['FreeKayFlock', 'ELPATRIARCA', 'lookkus', 'Rickson Gracie']",Ascendant,1.0,"['Jett', 'Clove', 'Vyse', 'Fade', 'Phoenix']",331.842,2,3,1,13,6,1787604388,"Monday, August 24, 2026 08:46 PM"
1b3f1cc7-eafd-4c92-aeb0-b197beebb6f4,PayoPoni69,Ascent,Competitive,Sova,Iniciador,9,5,20,9,"['amo a ane', 'i miss her 4ss', 'Kiritoo', 'bbeeli']",Ascendant,1.0,"['Phoenix', 'Chamber', 'Omen', 'Sova', 'Jett']",119.917,0,3,0,11,13,1787658330,"Tuesday, August 25, 2026 11:45 AM"
5f7f26ad-91c4-47c0-8ec7-877224f4c2e0,PayoPoni69,Summit,Competitive,Skye,Iniciador,19,7,14,15,"['Duck Quack Attac', 'Ryuuk 愛', 'MainingBard', 'k1dinho']",Ascendant,1.0,"['Clove', 'Reyna', 'Skye', 'Chamber', 'Viper']",250.682,0,2,1,13,9,1787655305,"Tuesday, August 25, 2026 10:55 AM"
1e5fc887-c5a3-4d15-8f62-9e77984435b8,PayoPoni69,Abyss,Competitive,Jett,Duelista,14,2,17,6,"['Vitol1nho', 'Uniii021', 'Thegoat', 'Eyou Mandem Boy']",Ascendant,1.0,"['Gekko', 'Chamber', 'Omen', 'Jett', 'Iso']",174.043,3,4,2,13,10,1787652815,"Tuesday, August 25, 2026 10:13 AM"
f6627a92-5d48-4c53-8980-745dd3cd404f,PayoPoni69,Kasbah,Team Deathmatch,Jett,Duelista,32,7,19,28,"['Juuzou Suzuya', 'KPI paaul1tta', 'Anakin', 'MagikarpDeTierra']",Unrated,,"['Iso', 'Reyna', 'Jett', 'Waylay', 'Neon']",9315.0,0,1,3,100,86,1787652298,"Tuesday, August 25, 2026 10:04 AM"
