id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
2c55e1ab-f6bc-4977-b922-8ea328c17b4b,Reshiram,Fracture,Competitive,Phoenix,Duelista,17,1,19,8,"['The Messiah', 'JUEGOXQNOFOLLO', 'LQUEUE', 'manolito']",Diamond,1.0,"['Breach', 'Miks', 'Chamber', 'Deadlock', 'Phoenix']",224.636,3,2,0,9,13,,
db56099c-8a7e-4bb8-a5d9-7df7a73b8066,Reshiram,Haven,Competitive,Reyna,Duelista,16,6,12,11,"['mAdn3ss', 'wArm3d', 'JUEGOXQNOFOLLO', 'Malone76']",Diamond,1.0,"['Chamber', 'Jett', 'Miks', 'Reyna', 'Sova']",245.5,2,0,1,13,5,,
1d791d4b-437f-4a8f-afa0-939239309eb4,Reshiram,Haven,Competitive,Reyna,Duelista,14,2,8,13,"['TH Shadow', 'ComePal0mas', 'toxicina', 'Axelar']",Diamond,1.0,"['Chamber', 'Reyna', 'Jett', 'Clove', 'Sova']",201.778,1,3,2,13,5,,
1c63c560-a31d-44df-964b-f9c28789a173,Reshiram,Ascent,Competitive,Phoenix,Duelista,15,5,16,10,"['ComePal0mas', 'NGE Kylez', 'FullReformed', 'MONKEY D LUFFYY']",Diamond,1.0,"['Miks', 'Cypher', 'KAY/O', 'Raze', 'Phoenix']",200.211,1,1,0,6,13,,
3bd847b3-9a88-4b54-8cf5-3ed914488206,Reshiram,Breeze,Competitive,Reyna,Duelista,17,2,14,9,"['你没有心', 'JUEGOXQNOFOLLO', 'trivi', 'ComePal0mas']",Diamond,1.0,"['Neon', 'Reyna', 'Gekko', 'Chamber', 'Miks']",234.15,3,1,0,7,13,,
d4336326-2e31-4b83-9a3d-8f33130846af,Reshiram,Fracture,Competitive,Reyna,Duelista,22,4,15,12,"['JUEGOXQNOFOLLO', 'shankks', 'Im Ivan', 'Only Stinger ツ']",Diamond,1.0,"['Miks', 'Sage', 'Breach', 'Reyna', 'Jett']",277.857,1,1,0,8,13,1781280480.0,"Friday, June 12, 2026 04:08 PM"
bc37f423-250d-4c2d-a5c4-b1a2be423f9a,Reshiram,Breeze,Competitive,Sage,Centinela,9,4,15,5,"['JUEGOXQNOFOLLO', 'Only Stinger ツ', 'BrunoツPT', 'benkaan']",Diamond,1.0,"['Reyna', 'Miks', 'Breach', 'Sage', 'Jett']",142.053,0,2,0,6,13,1781278627.0,"Friday, June 12, 2026 03:37 PM"
c5d776ac-59b9-48ff-8892-daa2a3bc682e,Reshiram,Pearl,Competitive,Phoenix,Duelista,22,13,18,12,"['lasotanita', 'Shalltear', 'Himeno', 'Only Stinger ツ']",Diamond,1.0,"['Chamber', 'Gekko', 'Jett', 'Phoenix', 'Brimstone']",284.962,1,3,0,12,14,1781274238.0,"Friday, June 12, 2026 02:23 PM"
3af4c992-c175-4a58-a601-d05f0eb5c71a,Reshiram,Ascent,Competitive,Phoenix,Duelista,19,1,7,11,"['Only Stinger ツ', 'BrunoツPT', 'Himeno', 'バニー']",Diamond,1.0,"['Phoenix', 'KAY/O', 'Reyna', 'Astra', 'Cypher']",370.143,6,2,1,12,1,1781273014.0,"Friday, June 12, 2026 02:03 PM"
c22dc624-f0f8-4174-ac1a-a3aa8e8c624a,Reshiram,Pearl,Competitive,Reyna,Duelista,14,5,16,9,"['FranKiko12', 'PRM', 'Only Stinger ツ', 'oyeاستمع']",Diamond,1.0,"['Chamber', 'Jett', 'Reyna', 'Brimstone', 'Tejo']",209.0,5,3,2,13,7,1781270838.0,"Friday, June 12, 2026 01:27 PM"
d23b0235-97b1-442b-915d-727acfb357bc,Reshiram,Split,Competitive,Phoenix,Duelista,5,3,13,2,"['N4bur0', 'barradepan', 'Lyzzu', 'GITANO LOCO']",Diamond,1.0,"['Cypher', 'Phoenix', 'Miks', 'KAY/O', 'Jett']",152.615,1,4,0,0,13,1781317349.0,"Saturday, June 13, 2026 02:22 AM"
c9a742e0-f594-4a90-9c42-48c4a5a94c39,Reshiram,Lotus,Competitive,Reyna,Duelista,35,4,16,21,"['barradepan', 'GITANO LOCO', 'N4bur0', 'Lyzzu']",Diamond,1.0,"['Reyna', 'Miks', 'Jett', 'Breach', 'Killjoy']",396.917,5,2,0,11,13,1781314094.0,"Saturday, June 13, 2026 01:28 AM"
1da65b77-4218-4bfc-98ad-c43ffee81c1a,Reshiram,Ascent,Competitive,Phoenix,Duelista,29,2,12,18,"['N4bur0', 'barradepan', 'Lyzzu', 'GITANO LOCO']",Diamond,1.0,"['Cypher', 'Phoenix', 'Miks', 'KAY/O', 'Jett']",380.591,3,3,1,13,9,1781311678.0,"Saturday, June 13, 2026 12:47 AM"
5855d5b8-0caf-48a6-bd53-6d3985d6aff4,Reshiram,Ascent,Competitive,Phoenix,Duelista,16,3,14,11,"['danielagxz', 'OmegaVL', 'Iamsaanty', 'Only Stinger ツ']",Diamond,1.0,"['Clove', 'KAY/O', 'Killjoy', 'Phoenix', 'Jett']",214.524,5,1,1,13,8,1781360292.0,"Saturday, June 13, 2026 02:18 PM"
40f16ac2-bd38-4030-8033-20a358378d06,Reshiram,Sunset,Swiftplay,Jett,Duelista,10,4,3,8,"['tat0owo', 'DeltaTV', 'chanoelmalefico', 'FRYATOU']",Unrated,,"['Veto', 'Vyse', 'Phoenix', 'Jett', 'Fade']",640.0,4,0,2,5,0,1781359697.0,"Saturday, June 13, 2026 02:08 PM"
19e98308-e1af-4f94-9a0b-fc65d1e7484f,Reshiram,Split,Competitive,Phoenix,Duelista,23,5,20,15,"['Akum4', 'Lyzzu', 'Only Stinger ツ', 'danielitoo11']",Diamond,1.0,"['Sage', 'Phoenix', 'Miks', 'Chamber', 'Gekko']",230.929,2,2,0,14,14,1781404101.0,"Sunday, June 14, 2026 02:28 AM"
ffb6de40-2614-4d00-95c1-aab47e3af19d,Reshiram,Split,Swiftplay,Jett,Duelista,4,0,6,3,"['άθικτος 愛', 'SoyS神', 'TOUUKAA', 'Only Stinger ツ']",Unrated,,"['Jett', 'Reyna', 'Phoenix', 'Miks', 'Raze']",155.714,0,0,0,2,5,1781402842.0,"Sunday, June 14, 2026 02:07 AM"
1ffea0af-c3bf-4a02-b801-6ff8bc745078,Reshiram,Pearl,Competitive,Phoenix,Duelista,22,5,17,13,"['Lelouch 愛', 'Only Stinger ツ', 'JUEGOXQNOFOLLO', 'Rifeño']",Diamond,1.0,"['Chamber', 'Miks', 'Phoenix', 'Reyna', 'Sova']",253.692,3,0,1,14,12,1781488914.0,"Monday, June 15, 2026 02:01 AM"
ab0677d5-14e4-47d9-a068-f40c5c761d4a,Reshiram,Breeze,Competitive,Phoenix,Duelista,31,6,12,22,"['ShadyTom76', 'mumubjj', 'ALUCARD', 'Only Stinger ツ']",Diamond,1.0,"['Miks', 'Reyna', 'Sova', 'Phoenix', 'Jett']",363.087,3,1,2,13,10,1781485732.0,"Monday, June 15, 2026 01:08 AM"
3ba01eea-abaf-43d8-badf-7f94d08b8045,Reshiram,Fracture,Competitive,Phoenix,Duelista,21,3,20,14,"['KHAmilo22', 'Only Stinger ツ', 'PRX MeiMei ツ', 'Lucho RK']",Diamond,1.0,"['Chamber', 'Miks', 'Killjoy', 'Phoenix', 'Tejo']",276.364,3,1,0,9,13,1781570688.0,"Tuesday, June 16, 2026 12:44 AM"
