id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
a8edb50e-37b5-4c75-8115-6e0e7334a5b2,SeñorDaddy,Abyss,Unrated,KAY/O,Iniciador,9,8,18,4,"['Maverick', 'baymzz', 'baymax', 'Alome']",Unrated,,"['Phoenix', 'Cypher', 'Chamber', 'Omen', 'KAY/O']",175.333,0,1,0,8,13,1787527038,"Sunday, August 23, 2026 11:17 PM"
7d7b5a89-fc0d-42a7-8bc5-707337d9f395,SeñorDaddy,Split,Unrated,Tejo,Iniciador,14,3,12,7,"['Mizuki67brainrot', 'goatedsuuper', 'Maverick', 'mamipito']",Unrated,,"['Iso', 'Sova', 'Phoenix', 'Tejo', 'Cypher']",175.19,1,3,0,8,13,1787524421,"Sunday, August 23, 2026 10:33 PM"
20801c70-401c-4670-919b-5eecf0fff010,SeñorDaddy,Breeze,Unrated,Skye,Iniciador,3,3,14,2,"['karow', 'iSuishi', 'Maverick', 'Grandfather3']",Unrated,,"['Killjoy', 'Raze', 'Phoenix', 'Skye', 'Omen']",96.667,0,4,0,2,13,1787522334,"Sunday, August 23, 2026 09:58 PM"
f07418ca-757a-49eb-9a54-2b4eb29b4d78,SeñorDaddy,Ascent,Unrated,KAY/O,Iniciador,18,8,20,11,"['Maltiiin', 'Parrox', 'Maverick', 'TITOonTOP']",Unrated,,"['Chamber', 'KAY/O', 'Clove', 'Phoenix', 'Sage']",215.792,1,6,1,13,11,1787266351,"Thursday, August 20, 2026 10:52 PM"
bd7b1339-e479-44c6-ba9b-a9012936e54f,SeñorDaddy,Pearl,Unrated,Miks,Controlador,13,4,20,6,"['Ragn33', 'Maltiiin', 'salamander', 'Maverick']",Unrated,,"['Jett', 'Miks', 'Reyna', 'Gekko', 'Phoenix']",168.0,1,2,0,10,13,1787263725,"Thursday, August 20, 2026 10:08 PM"
89a58367-8960-44b7-ac41-b86f8ce19851,SeñorDaddy,Haven,Competitive,KAY/O,Iniciador,10,8,18,3,"['tweentyythree', 'sardi', 'QueridaConchi', 'PazPadilla']",Bronze,1.0,"['Clove', 'Yoru', 'Vyse', 'Jett', 'KAY/O']",129.25,1,3,1,13,11,1787586963,"Monday, August 24, 2026 03:56 PM"
592a1f23-faa1-4ec8-a9db-ea124a81ebab,SeñorDaddy,Sunset,Competitive,KAY/O,Iniciador,11,9,15,2,"['BOMBON', 'šята Кεвав ッ', 'QueridaConchi', 'PazPadilla']",Bronze,1.0,"['Sage', 'KAY/O', 'Miks', 'Gekko', 'Yoru']",152.143,0,3,2,13,8,1787581543,"Monday, August 24, 2026 02:25 PM"
3484ffc1-f380-40b2-abd8-7f592170efc6,SeñorDaddy,Haven,Swiftplay,KAY/O,Iniciador,4,0,5,2,"['dutra', 'cess123456789101', 'elrobanovias777', 'QueridaConchi']",Unrated,,"['Clove', 'KAY/O', 'Raze', 'Phoenix', 'Vyse']",198.0,1,0,0,1,5,1787580470,"Monday, August 24, 2026 02:07 PM"
d1a927bb-f93c-4431-8299-22c2c1c4a83a,SeñorDaddy,Split,Swiftplay,Raze,Duelista,3,2,7,1,"['FreniIIoCorto', 'ValleyedRain53', 'Sเgyn', 'QueridaConchi']",Unrated,,"['Skye', 'Omen', 'Sage', 'Raze', 'Waylay']",137.286,1,0,0,2,5,1787579538,"Monday, August 24, 2026 01:52 PM"
8d61fd7f-5e3c-43e9-a635-8211e10d3571,SeñorDaddy,Ascent,Competitive,Tejo,Iniciador,9,6,18,2,"['QueridaConchi', 'YogurConNutella', 'PazPadilla', 'عيييسة']",Bronze,1.0,"['Miks', 'Skye', 'Neon', 'Tejo', 'Deadlock']",147.0,1,0,0,9,13,1787589929,"Monday, August 24, 2026 04:45 PM"
980e16a4-e4c7-4fce-8b38-86d9812e2708,SeñorDaddy,Bind,Swiftplay,Tejo,Iniciador,2,3,2,0,"['QueridaConchi', 'cubatamaster', 'Squeexy', 'PazPadilla']",Unrated,,"['Vyse', 'Tejo', 'Raze', 'Gekko', 'Reyna']",125.4,0,0,1,5,0,1787690971,"Tuesday, August 25, 2026 08:49 PM"
dc9fbfe5-9270-465a-8e91-ddd72365517c,SeñorDaddy,Ascent,Unrated,KAY/O,Iniciador,11,7,20,7,"['ManolitoFPS', 'Inviivi', 'Maverick', 'Sewane']",Unrated,,"['Sage', 'Jett', 'Phoenix', 'KAY/O', 'Chamber']",154.522,0,4,0,10,13,1788219804,"Monday, August 31, 2026 11:43 PM"
963878c7-585c-4a44-9ad6-498a081fa649,SeñorDaddy,Lotus,Unrated,Miks,Controlador,9,10,18,4,"['Maverick', 'Inviivi', 'MeCatCheese420', 'Sewane']",Unrated,,"['Phoenix', 'Jett', 'Raze', 'Miks', 'Chamber']",110.542,1,1,1,13,11,1788217482,"Monday, August 31, 2026 11:04 PM"
b1f41122-5000-48d3-b662-e047b4226586,SeñorDaddy,Icebox,Unrated,Killjoy,Centinela,4,4,17,5,"['Maverick', 'Inviivi', 'alexelwason', 'M4ri0AR']",Unrated,,"['Phoenix', 'Killjoy', 'Jett', 'Omen', 'Sova']",103.263,0,2,0,6,13,1788215250,"Monday, August 31, 2026 10:27 PM"
b1cfbd7b-d080-4495-b50f-299958246182,SeñorDaddy,Split,Unrated,Tejo,Iniciador,14,3,12,6,"['lowendgamer', 'Inviivi', 'Maverick', 'Foudzy']",Unrated,,"['Skye', 'Tejo', 'Brimstone', 'Phoenix', 'Reyna']",270.688,1,0,0,3,13,1788213627,"Monday, August 31, 2026 10:00 PM"
