id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
95bdacc1-47e8-405a-9bd1-1d1d62f16035,ZG y4mi,Haven,Competitive,Jett,Duelista,15,4,15,8,"['egoist', 'ELADIO CARRION', 'mrkos', 'Kirtach09']",Bronze,1.0,"['Neon', 'Chamber', 'Omen', 'Skye', 'Jett']",170.333,4,0,0,11,13,1782795198,"Tuesday, June 30, 2026 04:53 AM"
72974e1c-a383-4dac-a63f-5e7d4b1d4b02,ZG y4mi,Split,Competitive,Jett,Duelista,4,1,15,5,"['Teomaquina', 'Ladrones', 'GeorgeOwO', 'egoist']",Bronze,1.0,"['Brimstone', 'Miks', 'Gekko', 'Jett', 'Neon']",75.632,0,2,0,6,13,1782770794,"Monday, June 29, 2026 10:06 PM"
26dfbf07-2e88-4060-b8f7-d6dc6bdf2a80,ZG y4mi,Ascent,Competitive,Jett,Duelista,17,3,10,8,"['POYLA', 'egoist', 'mediapila', 'for him']",Bronze,1.0,"['Deadlock', 'Neon', 'KAY/O', 'Clove', 'Jett']",237.765,2,1,1,13,4,1782768717,"Monday, June 29, 2026 09:31 PM"
0c62a57e-5595-42c6-a755-ba2eca48162a,ZG y4mi,Haven,Competitive,Jett,Duelista,18,4,15,10,"['PanchiTurro', 'Cryboy', 'PERLOO', 'egoist']",Bronze,1.0,"['Cypher', 'Gekko', 'Omen', 'Jett', 'Neon']",206.542,3,1,2,13,11,1782696787,"Monday, June 29, 2026 01:33 AM"
08b6c4d0-7531-4ec0-a0a0-a4cd2148cd9e,ZG y4mi,Summit,Competitive,Clove,Controlador,11,4,15,7,"['egoist', 'NachoL10', 'javi93', 'den3445']",Bronze,1.0,"['Clove', 'Neon', 'Raze', 'Sage', 'Sova']",192.105,2,0,0,6,13,1782846292,"Tuesday, June 30, 2026 07:04 PM"
f48e0023-b884-46ab-a642-a31a413a921f,ZG y4mi,Summit,Competitive,Jett,Duelista,10,4,15,5,"['Yorihane', 'egoist', 'BerenjenitaHot', 'SrRubens']",Bronze,1.0,"['Clove', 'Neon', 'Jett', 'Killjoy', 'Tejo']",127.0,1,1,0,8,13,1782843800,"Tuesday, June 30, 2026 06:23 PM"
c61ac094-c478-491f-a64b-3c8de20930a1,ZG y4mi,Haven,Competitive,Jett,Duelista,21,6,14,10,"['bluestrella3', 'egoist', 'panchumanin', 'Warrior']",Bronze,1.0,"['Skye', 'Jett', 'Neon', 'Chamber', 'Clove']",232.958,2,0,1,13,11,1782871618,"Wednesday, July 01, 2026 02:06 AM"
ded15123-6385-4c41-a2d9-9e5c643b2801,ZG y4mi,Sunset,Competitive,Omen,Controlador,11,6,17,7,"['Bananacanaria', 'egoist', 'Barquillodepapel', 'ANGELOOO']",Bronze,1.0,"['Raze', 'Omen', 'Chamber', 'Skye', 'Reyna']",122.958,2,0,0,11,13,1782957840,"Thursday, July 02, 2026 02:04 AM"
02117eb9-5ccb-4a3a-aa0b-7bde9bb6a8c3,ZG y4mi,Lotus,Competitive,Jett,Duelista,14,1,13,10,"['monocalacin', 'urpi', 'egoist', 'Jowyyy']",Bronze,1.0,"['Chamber', 'Skye', 'Jett', 'Neon', 'Sova']",195.526,1,2,0,6,13,1782954931,"Thursday, July 02, 2026 01:15 AM"
797cd19e-b3f4-46da-8170-6af5dad9fa70,ZG y4mi,Sunset,Competitive,Jett,Duelista,16,4,12,5,"['egoist', 'ISMIXWEL', 'CeraVe', 'Maxlahore121']",Bronze,1.0,"['Neon', 'Cypher', 'Jett', 'Sage', 'Clove']",195.3,3,3,1,13,7,1783031417,"Thursday, July 02, 2026 10:30 PM"
5efcffc3-9e30-4e00-b0a9-3e02d4df0f5c,ZG y4mi,Split,Competitive,Waylay,Duelista,14,4,13,9,"['boopatadita', 'egoist', 'Torradeira', 'Alea']",Bronze,1.0,"['Sage', 'Neon', 'Veto', 'Waylay', 'Astra']",223.944,1,0,2,13,5,1783029136,"Thursday, July 02, 2026 09:52 PM"
7e3052b6-b6dd-424d-807c-026e3cf17c5c,ZG y4mi,Haven,Competitive,Jett,Duelista,16,4,16,12,"['бензин', 'wacamole67', 'PrEpuci0Sa1Tarín', 'egoist']",Bronze,1.0,"['Clove', 'Gekko', 'Viper', 'Jett', 'Neon']",197.957,0,1,0,10,13,1783019269,"Thursday, July 02, 2026 07:07 PM"
9cd49189-5d14-4756-bdf7-ce7d78c4c692,ZG y4mi,Ascent,Competitive,Miks,Controlador,18,14,14,6,"['LIXO', 'unai', 'FOZKITOZ', 'egoist']",Bronze,1.0,"['Jett', 'Chamber', 'Fade', 'Neon', 'Miks']",255.048,0,1,0,8,13,1783016903,"Thursday, July 02, 2026 06:28 PM"
5d03e75a-924b-42f3-b5e2-9ddc09475dc0,ZG y4mi,Ascent,Competitive,Yoru,Duelista,5,0,7,2,"['egoist', 'MrGrumos', 'RubenCastro', 'Degues']",Bronze,1.0,"['Neon', 'Fade', 'Omen', 'Cypher', 'Yoru']",64.267,0,1,1,10,2,1783090816,"Friday, July 03, 2026 03:00 PM"
13244431-c70b-4a87-a1a7-51a0a640847c,ZG y4mi,Ascent,Competitive,Jett,Duelista,16,1,20,9,"['SpuFIx', 'GingerGoddes4', 'egoist', 'Feenix']",Bronze,1.0,"['Skye', 'Sage', 'Jett', 'Neon', 'Omen']",200.652,1,2,0,10,13,1783088312,"Friday, July 03, 2026 02:18 PM"
