id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
95bdacc1-47e8-405a-9bd1-1d1d62f16035,egoist,Haven,Competitive,Neon,Duelista,23,7,17,20,"['ELADIO CARRION', 'mrkos', 'Kirtach09', 'ZG y4mi']",Bronze,1,"['Neon', 'Chamber', 'Omen', 'Skye', 'Jett']",280.5,3,2,0,11,13,1782795198,"Tuesday, June 30, 2026 04:53 AM"
72974e1c-a383-4dac-a63f-5e7d4b1d4b02,egoist,Split,Competitive,Neon,Duelista,19,2,14,8,"['Teomaquina', 'Ladrones', 'GeorgeOwO', 'ZG y4mi']",Bronze,1,"['Brimstone', 'Miks', 'Gekko', 'Jett', 'Neon']",260.895,2,5,0,6,13,1782770794,"Monday, June 29, 2026 10:06 PM"
26dfbf07-2e88-4060-b8f7-d6dc6bdf2a80,egoist,Ascent,Competitive,Neon,Duelista,24,4,13,18,"['POYLA', 'mediapila', 'for him', 'ZG y4mi']",Bronze,1,"['Deadlock', 'Neon', 'KAY/O', 'Clove', 'Jett']",377.471,8,1,1,13,4,1782768717,"Monday, June 29, 2026 09:31 PM"
08b6c4d0-7531-4ec0-a0a0-a4cd2148cd9e,egoist,Summit,Competitive,Neon,Duelista,8,5,16,10,"['ZG y4mi', 'NachoL10', 'javi93', 'den3445']",Bronze,1,"['Clove', 'Neon', 'Raze', 'Sage', 'Sova']",143.105,1,5,0,6,13,1782846292,"Tuesday, June 30, 2026 07:04 PM"
f48e0023-b884-46ab-a642-a31a413a921f,egoist,Summit,Competitive,Neon,Duelista,18,5,17,12,"['Yorihane', 'ZG y4mi', 'BerenjenitaHot', 'SrRubens']",Bronze,1,"['Clove', 'Neon', 'Jett', 'Killjoy', 'Tejo']",245.81,4,5,0,8,13,1782843800,"Tuesday, June 30, 2026 06:23 PM"
c61ac094-c478-491f-a64b-3c8de20930a1,egoist,Haven,Competitive,Neon,Duelista,17,4,18,18,"['bluestrella3', 'ZG y4mi', 'panchumanin', 'Warrior']",Bronze,1,"['Skye', 'Jett', 'Neon', 'Chamber', 'Clove']",206.333,3,2,1,13,11,1782871618,"Wednesday, July 01, 2026 02:06 AM"
c4920c11-90d9-4adb-86f8-a1c2133584e2,egoist,Ascent,Competitive,Neon,Duelista,17,6,14,12,"['kristalmina', 'BryanMax', 'David Martinez', 'Willyam']",Bronze,1,"['Gekko', 'Brimstone', 'Cypher', 'Neon', 'Tejo']",241.905,2,1,1,13,8,1782922671,"Wednesday, July 01, 2026 04:17 PM"
a4533ea2-51d0-4f59-989c-cccc427195dd,egoist,Summit,Competitive,Neon,Duelista,18,6,21,14,"['p1p0c45', 'R0b3rt0', 'Yume', 'AL CAPONE']",Bronze,2,"['Harbor', 'Phoenix', 'Neon', 'Sage', 'KAY/O']",220.667,0,3,0,11,13,1782939995,"Wednesday, July 01, 2026 09:06 PM"
905143cb-2e9e-4120-a0a8-366fb86135ab,egoist,Breeze,Competitive,Jett,Duelista,16,3,15,12,"['Mixterioz0', 'luczinz02', 'DarkFlaiCruz', 'Hiroshi Ichiro']",Bronze,2,"['Clove', 'Neon', 'Killjoy', 'Jett', 'KAY/O']",227.238,1,1,1,13,8,1782937780,"Wednesday, July 01, 2026 08:29 PM"
8f013c5a-e8fb-4bf3-8e16-7ae8a437cedf,egoist,Breeze,Competitive,Sova,Iniciador,10,6,18,10,"['NoDoyBala', 'adrianaculazzo', 'robangrasttnas', 'yuri berrinche']",Bronze,2,"['Clove', 'Phoenix', 'Miks', 'Sova', 'Chamber']",184.091,0,2,0,9,13,1782935577,"Wednesday, July 01, 2026 07:52 PM"
ded15123-6385-4c41-a2d9-9e5c643b2801,egoist,Sunset,Competitive,Chamber,Centinela,11,2,20,7,"['Bananacanaria', 'ZG y4mi', 'Barquillodepapel', 'ANGELOOO']",Bronze,2,"['Raze', 'Omen', 'Chamber', 'Skye', 'Reyna']",141.458,3,3,0,11,13,1782957840,"Thursday, July 02, 2026 02:04 AM"
02117eb9-5ccb-4a3a-aa0b-7bde9bb6a8c3,egoist,Lotus,Competitive,Neon,Duelista,14,2,17,12,"['monocalacin', 'urpi', 'ZG y4mi', 'Jowyyy']",Bronze,2,"['Chamber', 'Skye', 'Jett', 'Neon', 'Sova']",238.368,2,4,0,6,13,1782954931,"Thursday, July 02, 2026 01:15 AM"
