id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
fba63aff-a487-483d-b964-c8811eda0bff,i luv pawsocks,Ascent,Competitive,Yoru,Duelista,14,4,18,9,"['Siera ت', 'Lisbi', 'oynamayıbilmiyom', 'jeng']",Immortal,3,"['Clove', 'Sova', 'Jett', 'Yoru', 'Killjoy']",177.087,4,3,0,10,13,1787536686,"Monday, August 24, 2026 01:58 AM"
ea89260d-e9b6-4ecb-8d23-7ad3c1ad233a,i luv pawsocks,Ascent,Competitive,Jett,Duelista,24,2,17,18,"['Lisbi', 'monk', 'Siera ت', 'oynamayıbilmiyom']",Immortal,3,"['Sova', 'Phoenix', 'Clove', 'Cypher', 'Jett']",320.905,3,5,0,8,13,1787533780,"Monday, August 24, 2026 01:09 AM"
033d6336-3860-4a8d-8462-ae17821f5e6d,i luv pawsocks,Abyss,Competitive,Clove,Controlador,12,9,20,6,"['magik', 'atakan', 'super mario', '1080Ti']",Immortal,3,"['Sova', 'Chamber', 'Jett', 'Clove', 'Reyna']",158.5,1,2,0,9,13,1787526553,"Sunday, August 23, 2026 11:09 PM"
d4f1dfe2-9b52-4690-a71c-536d7c6b086c,i luv pawsocks,Haven,Competitive,Neon,Duelista,23,4,16,10,"['star', 'vS the boneless', 'super mario', 'karam']",Immortal,3,"['Clove', 'Cypher', 'Jett', 'Neon', 'Sova']",296.591,7,4,1,13,9,1787524427,"Sunday, August 23, 2026 10:33 PM"
b017fff5-0a87-4f73-be03-a2c1fd8c6c83,i luv pawsocks,Lotus,Competitive,Neon,Duelista,24,8,22,17,"['Mistic', 'super mario', 'Zarew', 'PCF al0rante']",Immortal,3,"['Vyse', 'Jett', 'Neon', 'Fade', 'Omen']",280.346,8,3,2,14,12,1787521895,"Sunday, August 23, 2026 09:51 PM"
356954d1-3e2a-4788-bcaa-b89c4e2740dd,i luv pawsocks,Summit,Competitive,Neon,Duelista,26,4,20,15,"['Fr9ad', 'чипиздрик', 'sineminehansha', 'Odwab']",Immortal,3,"['Cypher', 'Neon', 'Fade', 'Clove', 'Jett']",287.833,8,3,1,13,11,1787598966,"Monday, August 24, 2026 07:16 PM"
e66d48cc-7bec-4a03-84d4-f244f9edd35b,i luv pawsocks,Haven,Competitive,Cypher,Centinela,11,2,15,11,"['brakence enjoyer', 'Mikasa', 'nr 1', 'Berat Tekin']",Immortal,3,"['Reyna', 'Sova', 'Jett', 'Cypher', 'Clove']",159.105,1,2,0,6,13,1787665287,"Tuesday, August 25, 2026 01:41 PM"
360bc49f-0ddf-48c9-87c6-2688940089be,i luv pawsocks,Lotus,Competitive,Neon,Duelista,17,6,16,13,"['jeng', 'Siera ت', 'Lisbi', 'Hajhr']",Immortal,3,"['Neon', 'Fade', 'Chamber', 'Omen', 'Waylay']",212.773,4,2,1,13,9,1787799517,"Thursday, August 27, 2026 02:58 AM"
f1682c62-1ae6-473b-bb7d-43930fbd001c,i luv pawsocks,Abyss,Competitive,Yoru,Duelista,17,4,13,7,"['jeng', 'Siera ت', 'Lisbi', 'Hajhr']",Immortal,3,"['Omen', 'Chamber', 'Sova', 'Waylay', 'Yoru']",236.75,5,6,2,13,7,1787796441,"Thursday, August 27, 2026 02:07 AM"
8840ae95-cc13-41cb-a377-6c7906783e0f,i luv pawsocks,Haven,Competitive,Neon,Duelista,20,3,15,22,"['Siera ت', 'Lisbi', 'jeng', 'Hajhr']",Immortal,3,"['Clove', 'Sova', 'Neon', 'Cypher', 'Jett']",278.9,4,2,3,13,7,1787793356,"Thursday, August 27, 2026 01:15 AM"
