id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
5cffd4e0-098c-4a9d-826d-346791abdf9a,lil night,Breeze,Competitive,Jett,Duelista,4,2,16,4,"['покойо67', 't1m Jr', 'kudya', 'семён']",Immortal,1,"['Astra', 'Harbor', 'Reyna', 'Chamber', 'Jett']",80.882,1,1,0,4,13,,
37c84a6c-889f-4345-90cf-c02ae94ce980,lil night,Fracture,Competitive,Chamber,Centinela,20,1,16,12,"['jopa229', 'rukerQ', 'Selfish prince', 'freakmindset']",Immortal,1,"['Breach', 'Brimstone', 'Chamber', 'Killjoy', 'Jett']",225.75,5,3,1,13,11,,
62b925a9-c638-416c-a547-53fee473a6bd,lil night,Fracture,Competitive,Chamber,Centinela,13,0,17,13,"['qcrazzy', 'KVaen', 'SoWay', 'бравлер2011']",Immortal,1,"['Clove', 'Jett', 'Cypher', 'Chamber', 'Iso']",198.762,5,2,0,8,13,,
9e035e6d-ad3e-44bb-89fd-89a8c83a5ed3,lil night,Split,Competitive,Jett,Duelista,6,1,17,5,"['JustPLаyer', 'toonie', '减号1个', 'tuhnutoosa']",Immortal,1,"['Chamber', 'Jett', 'Waylay', 'Breach', 'Clove']",102.941,1,6,0,4,13,,
03cbc1f5-9e1f-4d6f-9371-b6e2e9474824,lil night,Pearl,Competitive,Chamber,Centinela,25,1,22,15,"['shinagawa 雨', 'bismillah', 'boggy', 'polzaaaaa']",Immortal,1,"['Jett', 'Phoenix', 'Chamber', 'Miks', 'Fade']",276.692,7,4,0,12,14,,
d7b4eeab-dbe4-406b-b099-b233600f0ea6,lil night,Ascent,Competitive,Cypher,Centinela,7,7,11,8,"['GearaiD', 'Billy Herrington', 'NEOKALMYK', 'hate n0cturnal']",Immortal,1,"['Cypher', 'Jett', 'KAY/O', 'Reyna', 'Clove']",123.833,0,3,0,5,13,1781609780.0,"Tuesday, June 16, 2026 11:36 AM"
dc97b49c-c707-4557-95b3-4cc1e63c7a01,lil night,Breeze,Competitive,Neon,Duelista,12,3,16,8,"['kotenok', 'cl0udy', '无敌者Syonss', 'Ak1hir0']",Immortal,1,"['Astra', 'Vyse', 'Chamber', 'Neon', 'Skye']",175.4,6,6,1,13,7,1781780543.0,"Thursday, June 18, 2026 11:02 AM"
6e4b9c2e-4c44-4c05-a8c8-ae85534506ed,lil night,Pearl,Competitive,Clove,Controlador,25,7,18,23,"['whysoempty', 'kotenok', 'wafuuv', 'WENOK']",Immortal,1,"['Jett', 'Clove', 'Fade', 'Waylay', 'Raze']",277.292,1,2,2,13,11,1781777974.0,"Thursday, June 18, 2026 10:19 AM"
5bb6cffd-63a7-4713-9dbf-555b02422092,lil night,Ascent,Competitive,Waylay,Duelista,17,6,16,16,"['pathetic', 'ant', 'kotenok', 'shion']",Immortal,1,"['Vyse', 'Iso', 'Sova', 'Clove', 'Waylay']",244.81,5,4,0,8,13,1781784925.0,"Thursday, June 18, 2026 12:15 PM"
9ac13629-7433-47c5-9f7b-2f833518851a,lil night,Pearl,Competitive,Clove,Controlador,23,3,21,19,"['kotenok', 'KICKer', 'P0P', 'Jachne']",Immortal,1,"['Clove', 'Fade', 'Chamber', 'Jett', 'Raze']",293.455,3,3,0,9,13,1781782460.0,"Thursday, June 18, 2026 11:34 AM"
c5832794-4521-4e2c-aed7-1da8a625686e,lil night,Haven,Competitive,Phoenix,Duelista,14,5,14,14,"['luscus', 'akaira', 'sabakagadalka', 'av1n']",Ascendant,3,"['Phoenix', 'Sova', 'Miks', 'Jett', 'Killjoy']",236.895,5,4,1,13,6,1781867732.0,"Friday, June 19, 2026 11:15 AM"
33bf985b-191e-445f-a380-0b764fa9cb2d,lil night,Lotus,Competitive,Fade,Iniciador,25,4,14,23,"['input lox', 'akaira', 'Милфамамка', 'NEON4IK']",Immortal,1,"['Iso', 'Fade', 'Omen', 'Sage', 'Phoenix']",339.0,4,1,0,7,13,1781865750.0,"Friday, June 19, 2026 10:42 AM"
20512df4-db2d-4b12-acf9-d9993261e69f,lil night,Fracture,Competitive,Chamber,Centinela,13,3,14,9,"['растяпа', 'akaira', 'luscus', 'vivienne']",Ascendant,3,"['Chamber', 'Waylay', 'Brimstone', 'Skye', 'Reyna']",220.278,7,3,1,13,5,1781869837.0,"Friday, June 19, 2026 11:50 AM"
0b92b072-0cd8-44ff-bd2c-2c962b6409c4,lil night,Summit,Competitive,Reyna,Duelista,33,3,20,29,"['ur phobia', 'Тру Адам', 'KLOYN', 'kotenok']",Ascendant,2,"['Clove', 'Reyna', 'Jett', 'Sage', 'Fade']",324.733,8,2,0,14,16,1782380274.0,"Thursday, June 25, 2026 09:37 AM"
10d0d1aa-8e2d-4bbf-b7b9-94769262bda5,lil night,Breeze,Competitive,Reyna,Duelista,23,2,16,12,"['kotenok', 'v4ice 812', 'Sayja', 'Kaelrin']",Ascendant,2,"['Astra', 'Sova', 'Viper', 'Neon', 'Reyna']",300.818,3,4,0,9,13,1782371655.0,"Thursday, June 25, 2026 07:14 AM"
6e19674b-b1b4-48c4-9fab-2f8a2de64e28,lil night,Split,Competitive,Phoenix,Duelista,12,7,11,8,"['wakata666', 'chocopon', 'Mirtazamin', 'champloo']",Ascendant,2,"['KAY/O', 'Sage', 'Phoenix', 'Jett', 'Clove']",226.688,2,0,1,13,3,1782369990.0,"Thursday, June 25, 2026 06:46 AM"
823829fc-ec01-44d5-b9a2-598653261339,lil night,Haven,Competitive,Phoenix,Duelista,19,1,15,18,"['Mirtazamin', 'zappy', 'NeverMind', 'retvl']",Ascendant,1,"['Jett', 'Sova', 'Omen', 'Cypher', 'Phoenix']",222.091,2,4,2,13,9,1782367649.0,"Thursday, June 25, 2026 06:07 AM"
5bf97bc5-e805-45bd-a79a-3dcdbe5044aa,lil night,Summit,Competitive,Reyna,Duelista,26,6,12,20,"['awmnc', 'alinacool19', 'pepik', 'average azeri']",Ascendant,1,"['Sage', 'Jett', 'Omen', 'Reyna', 'Fade']",381.737,7,1,3,13,6,1782365628.0,"Thursday, June 25, 2026 05:33 AM"
