rango,mapa_Abyss,mapa_Ascent,mapa_Bind,mapa_Breeze,mapa_Corrode,mapa_Fracture,mapa_Haven,mapa_Icebox,mapa_Lotus,mapa_Pearl,mapa_Split,mapa_Sunset,id_partida,kills,asistencias,muertes,headshots,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,87790e52-db3f-4020-b86c-2bdfe2b77d36,19.0,4.0,17.0,9.0,1.0,255.208,2.0,2.0,0.0,11.0,13.0,1.0,2.0,2.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,663b668e-14aa-46a4-b414-64e9e2fdf3a0,9.0,4.0,14.0,8.0,1.0,135.571,1.0,2.0,1.0,13.0,8.0,1.0,0.0,4.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9dff2f76-89da-41ac-8ade-a275499899f6,7.0,4.0,20.0,4.0,1.0,105.739,1.0,3.0,0.0,10.0,13.0,1.0,1.0,3.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,978c4af4-b5e1-4de2-9e2b-a7ea0a2cd39b,8.0,5.0,12.0,4.0,1.0,143.471,0.0,1.0,1.0,13.0,4.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,00fa081a-0796-466b-a9f8-0fb5bc983aee,19.0,0.0,15.0,16.0,1.0,235.174,4.0,1.0,1.0,13.0,10.0,1.0,3.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9d7f62b9-9334-410c-a60c-0df1b047d1bc,14.0,7.0,17.0,8.0,2.0,191.364,2.0,4.0,0.0,9.0,13.0,1.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,793f769a-fc9b-4902-8ccc-a2715ce687ab,25.0,5.0,21.0,16.0,2.0,248.75,4.0,1.0,0.0,14.0,14.0,1.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17806c20-9a29-42b0-a891-d3c7e4a865ab,16.0,2.0,16.0,17.0,2.0,192.261,1.0,4.0,1.0,13.0,10.0,1.0,0.0,4.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cb3d7345-b2c4-48c0-8410-92502c39db42,20.0,2.0,21.0,14.0,2.0,220.423,1.0,7.0,0.0,12.0,14.0,1.0,3.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,066d4d36-5f5f-4331-b0be-5b5cd44ec00d,15.0,9.0,13.0,10.0,2.0,240.4,3.0,3.0,1.0,13.0,7.0,1.0,0.0,4.0
