rango,mapa_Abyss,mapa_Ascent,mapa_Bind,mapa_Breeze,mapa_Corrode,mapa_Fracture,mapa_Haven,mapa_Icebox,mapa_Lotus,mapa_Pearl,mapa_Split,mapa_Sunset,id_partida,kills,asistencias,muertes,headshots,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15753874-5a8e-479b-bab7-0680d5500ff8,11.0,2.0,15.0,8.0,1.0,159.05,4.0,5.0,0.0,7.0,13.0,0.0,0.0,4.0
7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5eecc32c-0e54-4325-bd2b-7d455518f080,22.0,6.0,18.0,22.0,1.0,262.208,4.0,4.0,1.0,13.0,11.0,0.0,0.0,4.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,a9c41f68-4797-4881-bb92-07b6d8db2208,26.0,5.0,19.0,22.0,1.0,321.667,2.0,4.0,0.0,11.0,13.0,0.0,0.0,4.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,eafc43e5-fe9d-4648-b381-ece28e93e846,24.0,9.0,25.0,21.0,1.0,320.667,3.0,1.0,0.0,11.0,13.0,1.0,0.0,4.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,57210cd7-a7f4-4a0f-bc38-e439b50962b2,26.0,15.0,13.0,15.0,1.0,407.333,1.0,1.0,1.0,13.0,5.0,1.0,0.0,4.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10dd3bd3-d668-4694-8b42-41193bf6a745,31.0,4.0,11.0,24.0,3.0,483.941,4.0,1.0,1.0,13.0,4.0,1.0,0.0,4.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3142f147-4504-43dd-9f91-60c27cf54faf,16.0,3.0,20.0,15.0,1.0,213.905,1.0,1.0,0.0,8.0,13.0,1.0,1.0,3.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,926cd0c3-078e-4ace-ad37-a69dc2200ac7,28.0,9.0,18.0,24.0,1.0,378.727,2.0,1.0,0.0,9.0,13.0,1.0,1.0,3.0
6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9257dcfe-61ef-4844-9441-6d95fc294642,20.0,7.0,21.0,17.0,3.0,277.727,5.0,3.0,0.0,9.0,13.0,1.0,0.0,4.0
6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7c628c2c-d1a0-49c0-a678-5d3a47ecae48,12.0,6.0,17.0,8.0,3.0,210.056,2.0,3.0,0.0,5.0,13.0,1.0,1.0,3.0
6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3f2b084d-3b8f-497a-89e2-ae0b45665805,19.0,12.0,18.0,11.0,3.0,247.682,3.0,1.0,1.0,13.0,9.0,1.0,1.0,3.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5a197a03-0958-494b-8121-3022673d8ff3,23.0,4.0,25.0,21.0,3.0,297.652,1.0,2.0,0.0,10.0,13.0,1.0,1.0,3.0
