rango,mapa_Abyss,mapa_Ascent,mapa_Bind,mapa_Breeze,mapa_Corrode,mapa_Fracture,mapa_Haven,mapa_Icebox,mapa_Lotus,mapa_Pearl,mapa_Split,mapa_Sunset,id_partida,kills,asistencias,muertes,headshots,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3ece756e-0406-4a6d-bc00-33c3e1289224,24.0,9.0,26.0,22.0,1.0,244.533,7.0,3.0,0.0,15.0,15.0,1.0,2.0,2.0
6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,fa9f4cfc-4915-4aaf-a501-38b002c0b43b,22.0,6.0,18.0,18.0,1.0,261.125,4.0,1.0,1.0,13.0,11.0,0.0,1.0,3.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,fd82c016-1639-472e-9c2c-0af9dcd32709,16.0,5.0,11.0,14.0,1.0,253.789,2.0,1.0,2.0,13.0,6.0,1.0,1.0,3.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,e3a03ce7-d0ba-45e4-aefa-1a3e653c7157,13.0,1.0,16.0,10.0,1.0,206.944,3.0,3.0,0.0,5.0,13.0,0.0,1.0,3.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10dbd5a9-5912-4ac5-a46e-b4724beee68c,18.0,6.0,18.0,9.0,1.0,231.217,5.0,3.0,1.0,13.0,10.0,0.0,1.0,3.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,313c583c-c564-4fe0-b29c-042ef3d30c59,15.0,8.0,8.0,10.0,1.0,200.895,2.0,2.0,1.0,13.0,6.0,0.0,1.0,3.0
6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06be74d8-9eb4-477d-94c6-a47d8a1a4170,12.0,5.0,13.0,12.0,1.0,183.158,2.0,1.0,2.0,13.0,6.0,0.0,1.0,3.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,727374c3-f700-4f7c-ad7a-f0cbdc482fa0,26.0,6.0,20.0,24.0,1.0,297.538,8.0,1.0,1.0,14.0,12.0,1.0,0.0,4.0
6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,ffff62a5-7569-4625-808f-7a785ad61234,15.0,4.0,16.0,15.0,2.0,203.682,1.0,0.0,0.0,9.0,13.0,0.0,1.0,3.0
6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bbde0dd5-6605-4d57-b7ce-ae09cd15be4b,22.0,7.0,19.0,23.0,2.0,274.435,1.0,2.0,0.0,10.0,13.0,0.0,1.0,3.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3aa9f039-3833-4dde-92a6-97e100958c1d,28.0,2.0,20.0,27.0,1.0,293.0,5.0,3.0,1.0,14.0,12.0,1.0,1.0,3.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,c17a5229-543d-46d2-9c52-2735a798fec6,24.0,5.0,18.0,21.0,1.0,282.333,6.0,3.0,2.0,13.0,11.0,0.0,1.0,3.0
