rango,mapa_Abyss,mapa_Ascent,mapa_Bind,mapa_Breeze,mapa_Corrode,mapa_Fracture,mapa_Haven,mapa_Icebox,mapa_Lotus,mapa_Pearl,mapa_Split,mapa_Sunset,id_partida,kills,asistencias,muertes,headshots,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,af3e73cf-fd7f-4c1f-a175-f21da1e0e66c,15.0,7.0,15.0,11.0,2.0,228.684,1.0,0.0,1.0,13.0,6.0,0.0,1.0,3.0
6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3ece756e-0406-4a6d-bc00-33c3e1289224,35.0,5.0,23.0,32.0,2.0,330.433,3.0,4.0,1.0,15.0,15.0,0.0,1.0,3.0
6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,921faaa9-582a-48b7-ab28-936f04c393e6,22.0,3.0,18.0,15.0,2.0,238.75,4.0,1.0,2.0,13.0,11.0,1.0,1.0,3.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,f1982d3e-02e7-4a05-b22d-95e464613667,19.0,11.0,12.0,18.0,2.0,286.19,2.0,1.0,3.0,13.0,8.0,0.0,1.0,3.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5cdde415-c3b4-4207-a8f1-281393fe3b59,22.0,3.0,16.0,17.0,2.0,261.696,2.0,1.0,0.0,10.0,13.0,1.0,1.0,3.0
6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4715296b-8f2e-4ba1-b552-934594078cef,21.0,6.0,13.0,16.0,2.0,298.8,3.0,0.0,1.0,13.0,7.0,1.0,0.0,4.0
6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,134f7da1-63a9-4926-998f-c18fbdcfd9d4,20.0,3.0,15.0,17.0,2.0,223.917,1.0,2.0,0.0,11.0,13.0,1.0,0.0,4.0
6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c01ead6c-2259-497b-8b8a-14c599c72b65,10.0,10.0,19.0,8.0,2.0,149.15,0.0,1.0,0.0,7.0,13.0,0.0,0.0,4.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,72d0c1cd-6ef2-445a-8c2b-bed897cea6b8,15.0,5.0,18.0,11.0,2.0,211.13,2.0,2.0,0.0,10.0,13.0,1.0,0.0,4.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,def52268-b264-4ddb-aa8b-e0fc33d204d3,16.0,3.0,19.0,15.0,2.0,214.227,1.0,3.0,0.0,9.0,13.0,1.0,0.0,4.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,05122e11-5c1e-4b9c-afb0-40a0451a9104,14.0,5.0,16.0,10.0,2.0,174.273,1.0,2.0,0.0,9.0,13.0,1.0,0.0,4.0
