rango,mapa_Abyss,mapa_Ascent,mapa_Bind,mapa_Breeze,mapa_Corrode,mapa_Fracture,mapa_Haven,mapa_Icebox,mapa_Lotus,mapa_Pearl,mapa_Split,mapa_Sunset,id_partida,kills,asistencias,muertes,headshots,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,07a0abb0-ec09-4e5a-b4de-ce90cfd1c831,16.0,3.0,23.0,15.0,3.0,193.5,1.0,3.0,0.0,12.0,14.0,1.0,1.0,3.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,a9c41f68-4797-4881-bb92-07b6d8db2208,23.0,8.0,22.0,22.0,3.0,282.75,1.0,0.0,1.0,13.0,11.0,0.0,0.0,4.0
6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eae23fc0-2bc1-413d-91b3-cf25091c1070,12.0,6.0,19.0,9.0,3.0,168.05,1.0,2.0,2.0,13.0,7.0,0.0,0.0,4.0
6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2967fc06-c019-4252-9fad-9b6c7b2bd1ae,6.0,3.0,17.0,5.0,3.0,92.2,0.0,5.0,3.0,13.0,7.0,1.0,0.0,4.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0ae5ca3c-2e92-4ca1-931b-c21c5a21034b,8.0,5.0,16.0,7.0,3.0,122.167,0.0,1.0,0.0,5.0,13.0,0.0,0.0,4.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,064900ae-674a-46e0-b59b-757ecdad6a38,15.0,6.0,17.0,13.0,3.0,215.7,4.0,3.0,0.0,7.0,13.0,0.0,1.0,3.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4558edee-9bcf-4b2b-aa35-752f382216bd,11.0,8.0,18.0,8.0,3.0,200.471,1.0,1.0,0.0,4.0,13.0,1.0,1.0,3.0
6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81ebb9b9-0ad4-46e6-a67d-17367df26210,9.0,4.0,14.0,7.0,3.0,143.8,1.0,2.0,1.0,13.0,7.0,0.0,1.0,3.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1c2d896d-d8f3-42a5-8967-6a5b7e18bd49,13.0,5.0,9.0,10.0,2.0,233.533,1.0,1.0,1.0,13.0,2.0,1.0,1.0,3.0
6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,bbd1adc2-4755-430d-a2c7-f6ecf1b0ee08,23.0,4.0,19.0,12.0,2.0,261.208,1.0,2.0,0.0,11.0,13.0,1.0,1.0,3.0
6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bee478f8-bb65-4743-b308-5f4bcc698c51,9.0,7.0,13.0,9.0,2.0,184.529,5.0,4.0,1.0,13.0,4.0,1.0,1.0,3.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2193e418-1d11-420e-9dea-fdbf1d4c8792,12.0,11.0,19.0,9.0,2.0,179.905,2.0,0.0,0.0,8.0,13.0,0.0,1.0,3.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c215b618-20de-4a89-8c1a-6b4dd31b5d3b,19.0,7.0,24.0,15.0,2.0,190.321,1.0,5.0,0.0,14.0,14.0,0.0,1.0,3.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c3ebb47e-d9db-42c6-8b6f-f729eec9627d,11.0,9.0,19.0,8.0,2.0,160.286,0.0,1.0,0.0,8.0,13.0,0.0,1.0,3.0
6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7a6bdd92-c5c6-406d-b12e-98a7abdec958,13.0,5.0,16.0,11.0,2.0,180.85,2.0,3.0,0.0,7.0,13.0,0.0,1.0,3.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,301b6674-c5be-4b34-a3a0-fc3ffde50854,9.0,7.0,19.0,7.0,2.0,146.095,2.0,0.0,1.0,13.0,8.0,1.0,1.0,3.0
6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fe82e5ae-6437-4cef-9ee4-cb9edb096005,12.0,1.0,14.0,14.0,2.0,242.562,2.0,1.0,0.0,3.0,13.0,1.0,1.0,3.0
6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,db761d54-209a-43aa-a9ab-534243ff90fd,10.0,3.0,17.0,9.0,2.0,191.0,1.0,4.0,0.0,4.0,13.0,0.0,0.0,4.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1f5da103-8417-49da-8d43-2170b4c03981,16.0,3.0,15.0,13.0,2.0,238.0,1.0,1.0,0.0,5.0,13.0,0.0,0.0,4.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,156d16bd-6219-41c4-9a10-935a58f56a24,19.0,4.0,14.0,18.0,1.0,281.2,4.0,1.0,1.0,13.0,7.0,1.0,0.0,4.0
6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,c96a530a-ad37-49f8-a93d-735241e42b86,14.0,3.0,19.0,10.0,2.0,184.455,5.0,5.0,0.0,9.0,13.0,1.0,0.0,4.0
