rango,mapa_Abyss,mapa_Ascent,mapa_Bind,mapa_Breeze,mapa_Corrode,mapa_Fracture,mapa_Haven,mapa_Icebox,mapa_Lotus,mapa_Pearl,mapa_Split,mapa_Sunset,id_partida,kills,asistencias,muertes,headshots,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2c55e1ab-f6bc-4977-b922-8ea328c17b4b,12.0,6.0,15.0,9.0,3.0,170.591,1.0,0.0,0.0,9.0,13.0,1.0,1.0,3.0
4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09004179-5baf-474e-95b3-f2e91d438ead,12.0,6.0,12.0,9.0,3.0,184.611,2.0,0.0,1.0,13.0,5.0,0.0,1.0,3.0
4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4d8036cc-3edc-4d83-8e4b-7afd8dba6f1b,3.0,3.0,13.0,1.0,3.0,86.385,0.0,4.0,0.0,0.0,13.0,0.0,1.0,3.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,138f4118-a314-4096-a3b4-373b76c74fb6,13.0,11.0,23.0,10.0,3.0,178.538,1.0,5.0,1.0,14.0,12.0,0.0,2.0,2.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6c7a27ac-99f6-4e79-baa6-a7f29d69c6cb,12.0,2.0,7.0,13.0,3.0,204.2,2.0,1.0,2.0,13.0,2.0,0.0,1.0,3.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,d6eba345-8b95-4249-8ef3-210bab1f7b6f,24.0,8.0,13.0,14.0,3.0,264.13,0.0,0.0,1.0,13.0,10.0,1.0,1.0,3.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0eaaf809-4f36-4de2-8cf2-12ce30d89d9f,15.0,6.0,16.0,11.0,3.0,224.25,3.0,0.0,0.0,7.0,13.0,1.0,1.0,3.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,d2d697c8-d081-4735-8f48-3bd8e73ca91f,26.0,8.0,18.0,12.0,3.0,334.542,5.0,4.0,0.0,11.0,13.0,0.0,0.0,4.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5df0dd2f-0673-4647-90e2-26ef1af2eb26,14.0,4.0,4.0,10.0,3.0,225.312,1.0,0.0,1.0,13.0,3.0,0.0,0.0,4.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1e996545-90a9-4724-9d33-4da81fb38daa,15.0,4.0,16.0,10.0,3.0,189.524,0.0,3.0,0.0,8.0,13.0,1.0,0.0,4.0
4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,655a7edc-00fb-4898-97ac-444a8d91a4b0,14.0,5.0,13.0,11.0,3.0,200.6,1.0,3.0,0.0,7.0,13.0,1.0,0.0,4.0
4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,da719d21-9b60-476e-a83e-f8d8566496c9,17.0,6.0,14.0,15.0,3.0,215.783,2.0,3.0,1.0,13.0,10.0,1.0,0.0,4.0
4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6dff9105-1176-4df2-9950-e849c4e99f36,15.0,5.0,15.0,8.0,3.0,183.304,1.0,4.0,0.0,10.0,13.0,0.0,3.0,1.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,ddd8713c-8075-4cb5-b5df-6c089c98e418,18.0,6.0,21.0,13.0,3.0,202.167,4.0,6.0,0.0,14.0,16.0,0.0,3.0,1.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,b68ff50f-5533-4e42-be02-a6782fa22252,24.0,15.0,13.0,23.0,3.0,340.591,6.0,0.0,1.0,13.0,9.0,0.0,3.0,1.0
4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f804a62a-b318-415c-bf2e-8b97f716c5d7,22.0,3.0,17.0,12.0,3.0,224.542,2.0,2.0,0.0,11.0,13.0,0.0,1.0,3.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4035d6c8-f585-4646-a1b5-e75f5432c12c,15.0,7.0,20.0,15.0,3.0,162.192,1.0,0.0,1.0,14.0,12.0,1.0,1.0,3.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12060635-b6a8-4c36-a09c-4381fc4caa13,14.0,5.0,18.0,7.0,3.0,150.308,2.0,3.0,0.0,12.0,14.0,0.0,1.0,3.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,62b265c1-b62e-4c3b-ab83-7abef4c21289,9.0,10.0,2.0,7.0,3.0,166.462,0.0,0.0,1.0,13.0,0.0,0.0,1.0,3.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,620dc231-61c5-42fa-a9be-f471ffe87cb2,10.0,9.0,10.0,6.0,2.0,164.053,2.0,1.0,2.0,13.0,6.0,1.0,1.0,3.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9ef96f6c-be10-4048-9f87-7a6cebdbeec7,21.0,8.0,19.0,8.0,3.0,184.767,0.0,2.0,0.0,14.0,16.0,1.0,1.0,3.0
