rango,mapa_Abyss,mapa_Ascent,mapa_Bind,mapa_Breeze,mapa_Corrode,mapa_Fracture,mapa_Haven,mapa_Icebox,mapa_Lotus,mapa_Pearl,mapa_Split,mapa_Sunset,id_partida,kills,asistencias,muertes,headshots,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7959ef3e-08b2-4e28-9692-524c41b1c71e,15.0,3.0,16.0,7.0,2.0,183.478,1.0,0.0,1.0,13.0,10.0,1.0,2.0,2.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4eed53d4-7923-438b-9a55-3805af10817f,12.0,7.0,15.0,13.0,2.0,186.696,0.0,1.0,0.0,10.0,13.0,1.0,1.0,3.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,00fa081a-0796-466b-a9f8-0fb5bc983aee,11.0,3.0,19.0,7.0,2.0,160.391,0.0,2.0,1.0,13.0,10.0,1.0,4.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8ff76795-fcd9-403d-9b44-bb4978821d02,17.0,12.0,16.0,9.0,2.0,230.364,3.0,2.0,2.0,13.0,9.0,0.0,2.0,2.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,89c05b9c-3304-4660-8639-ad7798a67e4f,10.0,0.0,17.0,8.0,2.0,164.211,1.0,1.0,0.0,6.0,13.0,1.0,1.0,3.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18542641-aed5-403e-a6fd-986a17a4fb1c,19.0,3.0,9.0,11.0,2.0,249.2,0.0,0.0,1.0,13.0,7.0,1.0,1.0,3.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7e8b2020-613e-41fd-b76b-64a335dc09f2,16.0,6.0,17.0,7.0,2.0,237.955,0.0,1.0,2.0,13.0,9.0,0.0,1.0,3.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,e35bbacc-e9b5-4741-9232-af6af4aca4df,18.0,10.0,13.0,10.0,1.0,278.429,3.0,1.0,1.0,13.0,8.0,0.0,2.0,2.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,f24041d1-1da6-4b87-9b2a-29828a3149e0,7.0,4.0,16.0,8.0,1.0,121.81,1.0,1.0,0.0,8.0,13.0,1.0,1.0,3.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1c9f77b2-5fa9-4653-b349-648b5a7f6987,18.0,4.0,8.0,9.0,1.0,248.722,2.0,0.0,1.0,13.0,5.0,1.0,1.0,3.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,08d68621-3942-437b-a333-a3c8e4324a66,31.0,5.0,16.0,12.0,1.0,431.095,5.0,2.0,0.0,8.0,13.0,1.0,1.0,3.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87b84057-306d-4ebf-9e3b-08d55cdbe741,18.0,11.0,18.0,9.0,1.0,185.857,1.0,0.0,1.0,15.0,13.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9c6783b9-57f0-4db0-8d78-a55fdf2a6c58,16.0,9.0,16.0,8.0,1.0,196.5,1.0,1.0,0.0,12.0,14.0,1.0,1.0,3.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,e8b56652-ec85-40c4-97e8-591e74797545,1.0,4.0,17.0,0.0,1.0,44.7,0.0,2.0,0.0,7.0,13.0,0.0,1.0,3.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,70dbd6b6-9958-42d9-a39c-cfabb8b82c5e,13.0,7.0,16.0,6.0,1.0,185.682,0.0,2.0,0.0,9.0,13.0,0.0,2.0,2.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14bc156a-1e50-472e-ba01-5bd8c94ac171,19.0,4.0,18.0,8.0,1.0,207.808,2.0,1.0,1.0,14.0,12.0,1.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8d028621-7c72-4364-afce-944963765a6a,11.0,11.0,20.0,6.0,1.0,149.292,1.0,5.0,0.0,11.0,13.0,0.0,2.0,2.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,d034107a-37cd-4789-9a6e-69b9496e0e3d,9.0,3.0,16.0,3.0,1.0,160.294,1.0,0.0,0.0,4.0,13.0,1.0,2.0,2.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5a71c513-2ef9-4e7b-a3d0-70bb49e5078b,18.0,1.0,22.0,6.0,1.0,183.75,3.0,6.0,0.0,13.0,15.0,0.0,2.0,2.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49f3cfce-4a42-44cb-a677-197143b78dfd,18.0,4.0,14.0,8.0,1.0,256.55,4.0,2.0,1.0,13.0,7.0,1.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,51fcaba6-c41f-467f-a4b3-a5863baa1cdf,12.0,3.0,14.0,5.0,1.0,223.0,2.0,0.0,0.0,4.0,13.0,1.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11db463a-5548-4a2f-8c12-eb404da88269,6.0,4.0,1.0,2.0,1.0,125.846,0.0,0.0,1.0,5.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55eec708-9f63-4a53-bab3-5bc1ded30187,27.0,4.0,17.0,21.0,1.0,261.0,2.0,3.0,1.0,15.0,13.0,1.0,0.0,4.0
<<<<<<< HEAD
=======
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,60427e82-a1c5-4a20-bd82-17f6603fb21d,19.0,12.0,16.0,14.0,2.0,253.909,2.0,0.0,0.0,9.0,13.0,0.0,2.0,2.0
>>>>>>> 9171f93 (Auto: Actualización de datos recopilados)
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,67b1d1be-cbbb-4b4a-aa2f-33f78d7fdffd,23.0,5.0,10.0,10.0,2.0,335.632,1.0,1.0,1.0,13.0,6.0,1.0,2.0,2.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26b9908b-6bdc-4988-8b54-5ce8003bdd8d,21.0,7.0,15.0,9.0,1.0,267.739,1.0,2.0,2.0,13.0,10.0,1.0,2.0,2.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45de71a4-9ced-4a25-9de6-9f4cbd3e4796,26.0,10.0,16.0,13.0,1.0,368.136,5.0,0.0,3.0,13.0,9.0,0.0,1.0,3.0
