rango,mapa_Abyss,mapa_Ascent,mapa_Bind,mapa_Breeze,mapa_Corrode,mapa_Fracture,mapa_Haven,mapa_Icebox,mapa_Lotus,mapa_Pearl,mapa_Split,mapa_Sunset,id_partida,kills,asistencias,muertes,headshots,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2c55e1ab-f6bc-4977-b922-8ea328c17b4b,13.0,2.0,15.0,12.0,1.0,145.273,3.0,0.0,1.0,13.0,9.0,0.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,db56099c-8a7e-4bb8-a5d9-7df7a73b8066,15.0,3.0,16.0,15.0,1.0,255.611,4.0,4.0,0.0,5.0,13.0,1.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6887a0ef-25d5-4a5e-b98a-e1aa5be29e21,20.0,4.0,19.0,18.0,1.0,207.964,3.0,3.0,1.0,15.0,13.0,1.0,0.0,4.0
5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ab8fb01d-d149-400e-bcb7-b2e25c8ee7fd,16.0,5.0,15.0,9.0,1.0,224.65,1.0,2.0,0.0,7.0,13.0,0.0,0.0,4.0
5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6f5e9dff-d078-4feb-ba02-0c1d1f5b3396,23.0,8.0,18.0,16.0,1.0,277.167,3.0,1.0,1.0,13.0,11.0,0.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,cede5538-42d8-4029-a6d4-159a6ed6450b,10.0,2.0,16.0,8.0,1.0,162.111,2.0,3.0,0.0,5.0,13.0,0.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5601e3c4-8552-4ed6-ba36-72e26926fe63,19.0,6.0,21.0,20.0,1.0,206.192,2.0,8.0,0.0,12.0,14.0,1.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18612531-b010-47bd-8db9-69e520857776,13.0,8.0,13.0,8.0,1.0,179.13,1.0,2.0,1.0,13.0,10.0,0.0,1.0,3.0
5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50e1e1df-7d50-44e3-8a7e-1f4a2fcc44ce,24.0,4.0,14.0,14.0,1.0,258.75,5.0,1.0,2.0,13.0,11.0,1.0,1.0,3.0
5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92d28ed2-1347-432e-86e6-27b4824b1677,9.0,5.0,17.0,6.0,1.0,159.833,1.0,2.0,0.0,5.0,13.0,0.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,041ecf7b-fef7-4438-b774-e30e83ad4291,10.0,4.0,14.0,5.0,1.0,151.706,2.0,4.0,0.0,4.0,13.0,1.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,c7c23bc5-05e6-43bf-ae86-665bea0f3073,8.0,9.0,15.0,7.0,1.0,152.833,1.0,1.0,0.0,5.0,13.0,0.0,0.0,4.0
5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cc6efaa5-6695-4969-b965-21e067b57e47,11.0,3.0,14.0,6.0,1.0,152.947,2.0,5.0,1.0,13.0,6.0,1.0,0.0,4.0
5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0635ee01-6933-4f98-ae78-cf1734ccb11a,15.0,11.0,10.0,14.0,1.0,220.588,2.0,0.0,1.0,13.0,4.0,0.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,a509d809-d9ed-4212-b324-a1ea986cf60f,25.0,0.0,12.0,18.0,1.0,280.619,1.0,3.0,1.0,13.0,8.0,0.0,0.0,4.0
5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98e196e0-ac68-484a-82d7-0d41d2d756c2,20.0,4.0,12.0,15.0,1.0,262.364,1.0,1.0,0.0,9.0,13.0,1.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9694a592-7fff-479f-985a-9666f9f7bd83,12.0,6.0,16.0,3.0,1.0,178.682,2.0,0.0,0.0,9.0,13.0,0.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,87cf9af8-8e6a-46ac-9c24-5c2f273ab19a,8.0,2.0,7.0,3.0,1.0,121.263,3.0,2.0,1.0,13.0,6.0,0.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,ab455c79-4be7-4af0-85e7-f93263edf502,21.0,4.0,12.0,15.0,1.0,252.417,4.0,3.0,1.0,13.0,11.0,0.0,0.0,4.0
