rango,mapa_Abyss,mapa_Ascent,mapa_Bind,mapa_Breeze,mapa_Corrode,mapa_Fracture,mapa_Haven,mapa_Icebox,mapa_Lotus,mapa_Pearl,mapa_Split,mapa_Sunset,id_partida,kills,asistencias,muertes,headshots,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9dff2f76-89da-41ac-8ade-a275499899f6,26.0,5.0,17.0,2.0,2.0,336.478,7.0,4.0,0.0,10.0,13.0,0.0,1.0,3.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7959ef3e-08b2-4e28-9692-524c41b1c71e,44.0,4.0,14.0,20.0,2.0,537.217,8.0,2.0,1.0,13.0,10.0,1.0,1.0,3.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,00fa081a-0796-466b-a9f8-0fb5bc983aee,26.0,8.0,16.0,6.0,2.0,338.043,6.0,1.0,1.0,13.0,10.0,1.0,3.0,1.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,c63abd8e-a796-40e8-afaa-fc2cfb0008e2,11.0,2.0,14.0,3.0,1.0,232.75,0.0,3.0,0.0,3.0,13.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1df91289-61fd-4f9f-8937-92216e075af2,18.0,9.0,16.0,4.0,2.0,250.905,3.0,4.0,0.0,8.0,13.0,0.0,1.0,3.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,cfa78e0c-ea1d-4115-99c3-83e8c9c8c1b8,8.0,1.0,11.0,2.0,1.0,166.133,0.0,3.0,0.0,2.0,10.0,1.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,e8b31f4e-991f-49eb-acc6-79cffea7f46a,13.0,5.0,17.0,4.0,2.0,238.579,2.0,1.0,0.0,6.0,13.0,0.0,1.0,3.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,c8dece2e-b622-4eaf-ad1f-efd3f29726b9,13.0,6.0,20.0,8.0,2.0,162.5,2.0,2.0,0.0,12.0,14.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,d034107a-37cd-4789-9a6e-69b9496e0e3d,11.0,5.0,16.0,4.0,2.0,225.412,3.0,3.0,0.0,4.0,13.0,0.0,2.0,2.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,725acbd5-0fb7-44be-a124-6b406788b772,15.0,6.0,17.0,7.0,2.0,238.0,6.0,3.0,0.0,7.0,13.0,1.0,2.0,2.0
2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,ec54872a-be60-4be8-8d59-48c57a1859a1,21.0,7.0,8.0,6.0,2.0,388.0,4.0,2.0,1.0,13.0,3.0,1.0,1.0,3.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,cf9041a6-b409-4c86-b543-857a4f036673,10.0,1.0,13.0,4.0,2.0,160.35,3.0,3.0,0.0,7.0,13.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5f3154c4-4862-4b92-a687-a833063aeb43,19.0,1.0,17.0,4.0,2.0,283.667,2.0,1.0,0.0,8.0,13.0,0.0,3.0,1.0
2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f0c17529-b63c-4aa2-8687-d9017aec7496,31.0,5.0,16.0,4.0,2.0,398.227,7.0,2.0,1.0,13.0,9.0,0.0,1.0,3.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2c5a6fdb-9082-4bd0-b1cb-15fefdc31724,27.0,8.0,12.0,13.0,2.0,322.217,3.0,2.0,2.0,13.0,10.0,1.0,1.0,3.0
