id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas
1bbe367b-aeb2-4f1d-9160-84163fc7e83d,angelutrix,Haven,Competitive,Sage,Centinela,8,5,19,4,"['jester', 'sp3eed', 'DylanPrime', 'Aaronnn17']",Silver,2,"['Jett', 'Skye', 'Clove', 'Sage', 'Raze']",130.381,1,1,0,8,13
32fd6f23-6d77-45c6-8ef0-7037a0de5cc0,angelutrix,Haven,Competitive,Astra,Controlador,11,16,22,4,"['XRkokoS', 'NotLuca202', 'XRhstoS9 11', 'Aaronnn17']",Silver,2,"['Iso', 'Sage', 'Phoenix', 'Astra', 'Skye']",141.357,1,3,1,15,13
95799edf-4ec3-4865-bd79-d759ad23bb01,angelutrix,Lotus,Competitive,Skye,Iniciador,21,14,21,5,"['sassolover', 'Zentix', 'XFabianツ', 'Aaronnn17']",Silver,2,"['Phoenix', 'Miks', 'Omen', 'Skye', 'Chamber']",207.300,0,3,0,14,16
38d21fd7-0825-4f38-8747-9760fb59856b,angelutrix,Skirmish B,,Phoenix,Duelista,4,1,12,0,['Aaronnn17'],Unrated,,"['Phoenix', 'Sova']",70.867,1,5,0,5,10
a0be3300-259f-404b-ba43-425bb316260c,angelutrix,Pearl,Competitive,Astra,Controlador,18,3,19,8,"['papa pito', 'BaronRed ツ', 'mamipito', 'Axyela2508']",Silver,2,"['Chamber', 'Astra', 'Neon', 'Killjoy', 'Fade']",227.542,5,2,0,11,13
38d21fd7-0825-4f38-8747-9760fb59856b,angelutrix,Skirmish B,,Phoenix,Duelista,4,1,12,0,['Aaronnn17'],Unrated,,"['Phoenix', 'Sova']",70.867,1,5,0,5,10
00fa081a-0796-466b-a9f8-0fb5bc983aee,angelutrix,Lotus,Competitive,Brimstone,Controlador,26,4,16,20,"['Chiste sad002', 'andy', 'papa pito', 'mamipito']",Silver,2,"['Neon', 'Sage', 'Skye', 'Killjoy', 'Brimstone']",316.391,2,3,1,13,10
fbbff0ae-0b9c-4e7b-901f-a71055f49015,angelutrix,Breeze,Competitive,Skye,Iniciador,20,7,20,16,"['Brian Moser', 'Kairo', 'hanamontana彳', 'hop']",Silver,2,"['Deadlock', 'Reyna', 'Clove', 'Omen', 'Skye']",213.357,3,4,1,14,14
05426d75-f4d9-490b-bf8f-ae822cf565f8,angelutrix,Skirmish C,,Waylay,Duelista,12,2,7,0,['ASHINA'],Unrated,,"['Tejo', 'Waylay']",228.846,7,3,2,10,3
d8f9d067-1f45-4b36-b35b-063956f50c35,angelutrix,Skirmish C,,Astra,Controlador,8,0,11,0,['randoonbx'],Unrated,,"['Astra', 'Raze']",142.692,2,5,0,3,10
376c981b-4602-44fc-b6ab-f4c23dc532ac,angelutrix,Bind,Unrated,Chamber,Centinela,14,2,13,9,"['Chiste sad002', 'rondax', 'ImTheNoobMaster', 'エリック']",Unrated,,"['Chamber', 'Neon', 'Miks', 'Clove', 'Omen']",217.471,0,3,1,13,4
00fa081a-0796-466b-a9f8-0fb5bc983aee,angelutrix,Lotus,Competitive,Brimstone,Controlador,26,4,16,20,"['Chiste sad002', 'andy', 'papa pito', 'mamipito']",Silver,2,"['Neon', 'Sage', 'Skye', 'Killjoy', 'Brimstone']",316.391,2,3,1,13,10
fbbff0ae-0b9c-4e7b-901f-a71055f49015,angelutrix,Breeze,Competitive,Skye,Iniciador,20,7,20,16,"['Brian Moser', 'Kairo', 'hanamontana彳', 'hop']",Silver,2,"['Deadlock', 'Reyna', 'Clove', 'Omen', 'Skye']",213.357,3,4,1,14,14
05426d75-f4d9-490b-bf8f-ae822cf565f8,angelutrix,Skirmish C,,Waylay,Duelista,12,2,7,0,['ASHINA'],Unrated,,"['Tejo', 'Waylay']",228.846,7,3,2,10,3
d8f9d067-1f45-4b36-b35b-063956f50c35,angelutrix,Skirmish C,,Astra,Controlador,8,0,11,0,['randoonbx'],Unrated,,"['Astra', 'Raze']",142.692,2,5,0,3,10
376c981b-4602-44fc-b6ab-f4c23dc532ac,angelutrix,Bind,Unrated,Chamber,Centinela,14,2,13,9,"['Chiste sad002', 'rondax', 'ImTheNoobMaster', 'エリック']",Unrated,,"['Chamber', 'Neon', 'Miks', 'Clove', 'Omen']",217.471,0,3,1,13,4
00fa081a-0796-466b-a9f8-0fb5bc983aee,angelutrix,Lotus,Competitive,Brimstone,Controlador,26,4,16,20,"['Chiste sad002', 'andy', 'papa pito', 'mamipito']",Silver,2,"['Neon', 'Sage', 'Skye', 'Killjoy', 'Brimstone']",316.391,2,3,1,13,10
