id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
6887a0ef-25d5-4a5e-b98a-e1aa5be29e21,Areevaaloツ,Lotus,Competitive,Vyse,Centinela,13,5,18,4,"['Pecolsito', 'LogicBios', 'Samukexxz', 'Mayonesa']",Diamond,2.0,"['Vyse', 'Clove', 'Chamber', 'Reyna', 'Jett']",140.0,1,1,0,13,15,,
08e9a8bf-e669-4cc6-a99a-991b6abe792e,Areevaaloツ,Breeze,Competitive,Vyse,Centinela,3,2,2,3,"['ΟCΞΛNツ', 'smuS15', 'AK ZOMBIE', 'Pecolsito']",Diamond,2.0,"['Clove', 'Vyse', 'Yoru', 'Sova', 'Chamber']",61.308,1,0,1,4,0,,
069e7c91-a60e-4bf8-9551-425765422de0,Areevaaloツ,Lotus,Competitive,Fade,Iniciador,10,7,14,8,"['Pecolsito', 'bardoisback', 'SakuraBlade', 'LEV DennisRex']",Diamond,2.0,"['Clove', 'Killjoy', 'Chamber', 'Raze', 'Fade']",146.105,0,2,0,6,13,,
c4ec7dc1-2208-4853-bc62-332716df29ba,Areevaaloツ,Piazza,Team Deathmatch,Chamber,Centinela,18,5,19,13,"['NoobyFox591', 'MrKiller', 'Dexz', 'BasSikKcadi']",Unrated,,"['Clove', 'Phoenix', 'Jett', 'Chamber', 'Reyna']",5148.0,0,0,0,89,100,,
9a324d64-46a2-4ef9-897a-259957898a60,Areevaaloツ,Haven,Competitive,Jett,Duelista,13,2,14,8,"['elbichodeverdad', 'Pecolsito', 'bardoisback', 'Jugador 4']",Diamond,2.0,"['Sage', 'Sova', 'Jett', 'Omen', 'Chamber']",181.65,2,4,0,7,13,,
34a85d7f-0184-43f6-b431-32badeef44b6,Areevaaloツ,Piazza,Team Deathmatch,Chamber,Centinela,17,6,17,10,"['AdRia', 'Sergixr', 'Neu', 'MeikoHD']",Unrated,,"['Jett', 'Phoenix', 'Chamber', 'Clove', 'Reyna']",4695.0,0,0,1,100,86,1781261461.0,"Friday, June 12, 2026 10:51 AM"
5241ef39-25f1-49cf-b3c2-acd78b956505,Areevaaloツ,Pearl,Competitive,Fade,Iniciador,13,9,15,11,"['bardoisback', 'Nagi Seishiro', 'Pecolsito', 'marisco']",Diamond,2.0,"['Omen', 'Fade', 'Jett', 'Phoenix', 'Chamber']",221.278,1,2,0,5,13,1781278412.0,"Friday, June 12, 2026 03:33 PM"
26282bba-dbdf-471f-ae49-74f6c1718374,Areevaaloツ,Breeze,Competitive,Vyse,Centinela,16,2,15,10,"['dcopn', 'Molina Sensei', 'Pecolsito', 'PewPewMastah']",Diamond,2.0,"['Vyse', 'Harbor', 'Chamber', 'Jett', 'Sova']",216.4,2,2,0,7,13,1781275737.0,"Friday, June 12, 2026 02:48 PM"
f330ccc4-f64f-4cf9-992f-97b85c1438b4,Areevaaloツ,Fracture,Competitive,Fade,Iniciador,13,7,13,8,"['PlaymoRoli', 'Pecolsito', 'Shinra', 'rio']",Diamond,1.0,"['Miks', 'Jett', 'Chamber', 'Killjoy', 'Fade']",185.05,1,1,1,13,7,1781460085.0,"Sunday, June 14, 2026 06:01 PM"
1cc6d180-fc6a-4e8b-989e-2b9cc6442d8b,Areevaaloツ,Lotus,Competitive,Omen,Controlador,28,9,17,15,"['Pecolsito', 'euben1212', 'bardoisback', 'elbichodeverdad']",Diamond,2.0,"['Omen', 'Jett', 'Reyna', 'Killjoy', 'Sova']",320.846,2,0,0,12,14,1781633675.0,"Tuesday, June 16, 2026 06:14 PM"
48fee5f1-1b70-4804-87d1-aceff0f3c996,Areevaaloツ,Kasbah,Team Deathmatch,Chamber,Centinela,16,9,18,11,"['bellawo', 'Predator 49', 'AimAsistencias', 'Machuachi']",Unrated,,"['Clove', 'Iso', 'Reyna', 'Chamber', 'Jett']",4722.0,1,0,0,76,100,1781631822.0,"Tuesday, June 16, 2026 05:43 PM"
547bf733-24a2-40fd-b9f3-3b9cbcdc3d25,Areevaaloツ,Ascent,Competitive,Omen,Controlador,13,8,17,8,"['elbichodeverdad', 'RaRauw', 'Pecolsito', 'bardoisback']",Diamond,2.0,"['Omen', 'Jett', 'Raze', 'Chamber', 'Sova']",173.696,1,2,1,13,10,1781637403.0,"Tuesday, June 16, 2026 07:16 PM"
cd2f762f-fc48-4fb8-9610-7744ece396c9,Areevaaloツ,Drift,Team Deathmatch,Chamber,Centinela,22,5,18,15,"['X9   Agueerro', 'spes', 'AMIR the killer', 'Mepa Geo']",Unrated,,"['Breach', 'Jett', 'Reyna', 'Neon', 'Chamber']",6222.0,0,1,0,92,100,1781719459.0,"Wednesday, June 17, 2026 06:04 PM"
54b235de-3ad0-44c1-970c-325c6c0cd59c,Areevaaloツ,Pearl,Competitive,Fade,Iniciador,22,6,9,11,"['elbichodeverdad', 'sigma boy', 'bardoisback', 'faabiianymartina']",Diamond,2.0,"['Fade', 'Cypher', 'Phoenix', 'Miks', 'Jett']",284.0,2,0,1,13,7,1781724304.0,"Wednesday, June 17, 2026 07:25 PM"
8c3eee17-e73c-4a9c-acc8-1f5411ff97c4,Areevaaloツ,Lotus,Competitive,Tejo,Iniciador,8,4,18,7,"['DaViD98', 'Oldjokah', 'Pecolsito', 'ByBlixx']",Diamond,2.0,"['Omen', 'Breach', 'Tejo', 'Chamber', 'Raze']",115.095,1,1,0,8,13,1781905041.0,"Friday, June 19, 2026 09:37 PM"
59214d17-7a5a-483d-b6d9-028cff5580b6,Areevaaloツ,Pearl,Competitive,Fade,Iniciador,3,13,17,3,"['THE ROMANTIC', 'NanditoCruzcampo', 'Pecolsito', 'ConosearNico']",Diamond,2.0,"['Chamber', 'Jett', 'Phoenix', 'Omen', 'Fade']",91.263,0,2,0,6,13,1781988744.0,"Saturday, June 20, 2026 08:52 PM"
