id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas
87790e52-db3f-4020-b86c-2bdfe2b77d36,Chiste sad002,Fracture,Competitive,Neon,Duelista,19,4,17,9,"['Aaronnn17', 'mamipito', 'neytiri97', 'Aaaxyela2508']",Bronze,1,"['Chamber', 'KAY/O', 'Neon', 'Killjoy', 'Miks']",255.208,2,2,0,11,13
cd99fd7d-e487-4e44-8ccd-78d9e6ebf1bc,Chiste sad002,Fracture,Unrated,Gekko,Iniciador,12,2,2,5,"['neytiri97', 'Aaronnn17', 'mamipito', 'Aaaxyela2508']",Unrated,,"['Gekko', 'Killjoy', 'Jett', 'Skye', 'Miks']",186.500,0,0,1,13,1
890d21e1-b76e-423d-afef-403148976456,Chiste sad002,Abyss,Unrated,Deadlock,Centinela,24,2,16,10,"['Aaaxyela2508', 'Morf9', 'Aaronnn17', 'mamipito']",Unrated,,"['Miks', 'Deadlock', 'Yoru', 'Astra', 'KAY/O']",279.955,1,0,0,9,13
56b8b495-0d17-4bc1-a016-9bde3f96d4e5,Chiste sad002,Drift,Knockout,Neon,Duelista,4,0,6,2,"['patolucasmdzrr', 'Aaronnn17', 'Aaaxyela2508', 'dert68']",Unrated,,"['Clove', 'KAY/O', 'Neon', 'Miks', 'Jett']",180.200,0,0,0,1,4
1d011a42-38f1-4fbd-8e7f-724b0258c76c,Chiste sad002,District,Knockout,Neon,Duelista,7,1,7,2,"['Elba  Zurita', 'Aaaxyela2508', 'Nathan', 'Aaronnn17']",Unrated,,"['Phoenix', 'Miks', 'Neon', 'Iso', 'KAY/O']",277.286,0,0,0,3,4
fd775fc7-4425-41d4-b401-2c48d500589f,Chiste sad002,Corrode,Unrated,Neon,Duelista,14,4,19,7,"['Aaronnn17', 'FabriceFeat', 'Axyela2508', 'ewwkris']",Unrated,,"['Neon', 'Chamber', 'Omen', 'Deadlock', 'Skye']",197.391,4,2,1,13,10
28fd8b25-1c67-4914-8611-012d80c62fcf,Chiste sad002,Icebox,Unrated,Gekko,Iniciador,8,4,5,1,"['Axyela2508', 'BOYWOUTNAME', 'SoftAndWet', 'Aaronnn17']",Unrated,,"['Deadlock', 'Sova', 'Miks', 'Gekko', 'Phoenix']",142.133,2,0,2,7,2
2895538d-e3d4-4bac-aef6-6a0c6b227e0a,Chiste sad002,Fracture,Unrated,Gekko,Iniciador,6,5,10,4,"['baIlfondler', 'Aaronnn17', 'Axyela2508', 'Vahumana']",Unrated,,"['Chamber', 'Gekko', 'Iso', 'Miks', 'Viper']",103.500,1,0,0,3,9
663b668e-14aa-46a4-b414-64e9e2fdf3a0,Chiste sad002,Split,Competitive,Neon,Duelista,9,4,14,8,"['PATY', 'Sistemático', 'TRDi', 'magdagermano']",Bronze,1,"['Neon', 'Gekko', 'Miks', 'Chamber', 'Phoenix']",135.571,1,2,1,13,8
9dff2f76-89da-41ac-8ade-a275499899f6,Chiste sad002,Breeze,Competitive,Neon,Duelista,7,4,20,4,"['ElPupas', 'papa pito', 'JAI ELO NIÑO', '5cmOfTrueLove']",Bronze,1,"['Raze', 'Chamber', 'Neon', 'Sova', 'Miks']",105.739,1,3,0,10,13
978c4af4-b5e1-4de2-9e2b-a7ea0a2cd39b,Chiste sad002,Lotus,Competitive,Gekko,Iniciador,8,5,12,4,"['DonQijote Jitano', 'AyOwUwIw', 'Killibitt', 'Barmatic']",Bronze,1,"['Raze', 'Reyna', 'Sage', 'Gekko', 'Omen']",143.471,0,1,1,13,4
fd775fc7-4425-41d4-b401-2c48d500589f,Chiste sad002,Corrode,Unrated,Neon,Duelista,14,4,19,7,"['Aaronnn17', 'FabriceFeat', 'Axyela2508', 'ewwkris']",Unrated,,"['Neon', 'Chamber', 'Omen', 'Deadlock', 'Skye']",197.391,4,2,2,13,10
28fd8b25-1c67-4914-8611-012d80c62fcf,Chiste sad002,Icebox,Unrated,Gekko,Iniciador,8,4,5,1,"['Axyela2508', 'BOYWOUTNAME', 'SoftAndWet', 'Aaronnn17']",Unrated,,"['Deadlock', 'Sova', 'Miks', 'Gekko', 'Phoenix']",142.133,2,0,3,7,2
663b668e-14aa-46a4-b414-64e9e2fdf3a0,Chiste sad002,Split,Competitive,Neon,Duelista,9,4,14,8,"['PATY', 'Sistemático', 'TRDi', 'magdagermano']",Bronze,1,"['Neon', 'Gekko', 'Miks', 'Chamber', 'Phoenix']",135.571,1,2,1,13,8
9dff2f76-89da-41ac-8ade-a275499899f6,Chiste sad002,Breeze,Competitive,Neon,Duelista,7,4,20,4,"['ElPupas', 'papa pito', 'JAI ELO NIÑO', '5cmOfTrueLove']",Bronze,1,"['Raze', 'Chamber', 'Neon', 'Sova', 'Miks']",105.739,1,3,0,10,13
978c4af4-b5e1-4de2-9e2b-a7ea0a2cd39b,Chiste sad002,Lotus,Competitive,Gekko,Iniciador,8,5,12,4,"['DonQijote Jitano', 'AyOwUwIw', 'Killibitt', 'Barmatic']",Bronze,1,"['Raze', 'Reyna', 'Sage', 'Gekko', 'Omen']",143.471,0,1,1,13,4
fd775fc7-4425-41d4-b401-2c48d500589f,Chiste sad002,Corrode,Unrated,Neon,Duelista,14,4,19,7,"['Aaronnn17', 'FabriceFeat', 'Axyela2508', 'ewwkris']",Unrated,,"['Neon', 'Chamber', 'Omen', 'Deadlock', 'Skye']",197.391,4,2,2,13,10
28fd8b25-1c67-4914-8611-012d80c62fcf,Chiste sad002,Icebox,Unrated,Gekko,Iniciador,8,4,5,1,"['Axyela2508', 'BOYWOUTNAME', 'SoftAndWet', 'Aaronnn17']",Unrated,,"['Deadlock', 'Sova', 'Miks', 'Gekko', 'Phoenix']",142.133,2,0,3,7,2
00fa081a-0796-466b-a9f8-0fb5bc983aee,Chiste sad002,Lotus,Competitive,Neon,Duelista,19,0,15,16,"['andy', 'papa pito', 'mamipito', 'angelutrix']",Bronze,1,"['Neon', 'Sage', 'Skye', 'Killjoy', 'Brimstone']",235.174,4,1,1,13,10
376c981b-4602-44fc-b6ab-f4c23dc532ac,Chiste sad002,Bind,Unrated,Neon,Duelista,16,2,13,12,"['angelutrix', 'rondax', 'ImTheNoobMaster', 'エリック']",Unrated,,"['Chamber', 'Neon', 'Miks', 'Clove', 'Omen']",264.412,2,3,2,13,4
3c906c3d-54e7-4c21-bc0c-b34449262103,Chiste sad002,Abyss,Unrated,Gekko,Iniciador,6,0,12,5,"['Luckiest', 'angelutrix', 'rondax', 'Borja11pro']",Unrated,,"['Gekko', 'Deadlock', 'Miks', 'Reyna', 'Chamber']",107.938,1,1,0,3,9
00fa081a-0796-466b-a9f8-0fb5bc983aee,Chiste sad002,Lotus,Competitive,Neon,Duelista,19,0,15,16,"['andy', 'papa pito', 'mamipito', 'angelutrix']",Bronze,1,"['Neon', 'Sage', 'Skye', 'Killjoy', 'Brimstone']",235.174,4,1,1,13,10
376c981b-4602-44fc-b6ab-f4c23dc532ac,Chiste sad002,Bind,Unrated,Neon,Duelista,16,2,13,12,"['angelutrix', 'rondax', 'ImTheNoobMaster', 'エリック']",Unrated,,"['Chamber', 'Neon', 'Miks', 'Clove', 'Omen']",264.412,2,3,2,13,4
3c906c3d-54e7-4c21-bc0c-b34449262103,Chiste sad002,Abyss,Unrated,Gekko,Iniciador,6,0,12,5,"['Luckiest', 'angelutrix', 'rondax', 'Borja11pro']",Unrated,,"['Gekko', 'Deadlock', 'Miks', 'Reyna', 'Chamber']",107.938,1,1,0,3,9
9d7f62b9-9334-410c-a60c-0df1b047d1bc,Chiste sad002,Split,Competitive,Neon,Duelista,14,7,17,8,"['Clarament', 'Nano', 'nmarvip9', 'kiike']",Bronze,2,"['Skye', 'Yoru', 'Brimstone', 'Neon', 'Sage']",191.364,2,4,0,9,13
793f769a-fc9b-4902-8ccc-a2715ce687ab,Chiste sad002,Split,Competitive,Neon,Duelista,25,5,21,16,"['AGUSMARCPRO0611', 'skiinnyglaasss', 'PATROCLOT', 'Akise san']",Bronze,2,"['Omen', 'Chamber', 'Neon', 'Sage', 'Sova']",248.750,4,1,0,14,14
17806c20-9a29-42b0-a891-d3c7e4a865ab,Chiste sad002,Pearl,Competitive,Neon,Duelista,16,2,16,17,"['Løu', 'Sacapuntas', 'EFN334', '3 L3tra 乂']",Bronze,2,"['Neon', 'Skye', 'Deadlock', 'Clove', 'Jett']",192.261,1,4,1,13,10
cb3d7345-b2c4-48c0-8410-92502c39db42,Chiste sad002,Bind,Competitive,Neon,Duelista,20,2,21,14,"['Aaronnn17', 'Axyela2508', 'mamipito', 'rondax']",Bronze,2,"['Brimstone', 'Sage', 'Neon', 'Killjoy', 'Skye']",220.423,1,7,0,12,14
8b53de4d-35d5-4e6b-ad50-eb8dd9f8f63f,Chiste sad002,Fracture,Unrated,Neon,Duelista,8,0,3,4,"['Aaronnn17', 'mamipito', 'Axyela2508', 'rondax']",Unrated,,"['Neon', 'Omen', 'Deadlock', 'Skye', 'Reyna']",143.357,1,0,1,5,1
