id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
2af48c3a-4a66-4f1d-8bec-3432138ad0be,PabloHache,Pearl,Competitive,Sage,Centinela,3,1,14,2,"['absanabri', 'CarlosMosca', 'AkkoKMJ', 'Kora Ackerman']",Bronze,1,"['Brimstone', 'Raze', 'Tejo', 'Sage', 'Chamber']",66.533,0,1,0,2,13,1780871024,"Sunday, June 07, 2026 10:23 PM"
de1c84d7-5585-4e2b-82eb-258dfcc0f3b5,PabloHache,Haven,Competitive,Sage,Centinela,19,6,7,9,"['ADAM', 'SAMEGMA', 'moslimwXD', 'CarlosMosca']",Bronze,1,"['Gekko', 'Sage', 'Clove', 'Jett', 'Raze']",303.667,1,0,1,13,2,1780868664,"Sunday, June 07, 2026 09:44 PM"
7ca7f12f-4630-45f2-8797-6e82858f3556,PabloHache,Pearl,Competitive,Raze,Duelista,7,4,18,5,"['Kora Ackerman', 'canicax1', 'KzGame', 'CarlosMosca']",Bronze,1,"['Miks', 'Jett', 'Chamber', 'Skye', 'Raze']",115.909,1,1,0,9,13,1780767694,"Saturday, June 06, 2026 05:41 PM"
8c9f0764-bcfa-466f-83ed-8639b9a85eff,PabloHache,Split,Competitive,Sage,Centinela,10,11,13,5,"['THEDADDY01', 'CarlosMosca', 'Kora Ackerman', '1TNTTT1']",Bronze,1,"['Chamber', 'Skye', 'Miks', 'Sage', 'Raze']",135.762,1,1,1,13,8,1780765058,"Saturday, June 06, 2026 04:57 PM"
909e4d26-de29-4429-93f4-fe5c2c011b51,PabloHache,Lotus,Competitive,Sage,Centinela,6,6,11,3,"['Kora Ackerman', 'CarlosMosca', 'Danjer  pudim', 'dmarsac']",Bronze,1,"['Chamber', 'Sage', 'Raze', 'Gekko', 'Clove']",87.895,0,1,1,13,6,1781302586,"Friday, June 12, 2026 10:16 PM"
917929aa-27d0-4106-93ed-f79753da05cf,PabloHache,Haven,Competitive,Sage,Centinela,5,10,14,2,"['Xlion1324', 'Kora Ackerman', 'C0SM1C', 'SteveneKevin']",Bronze,1,"['Skye', 'Chamber', 'Sage', 'Phoenix', 'Jett']",97.4,1,1,0,7,13,1781388849,"Saturday, June 13, 2026 10:14 PM"
b5181a65-a9fb-4253-9ce7-cbbc03b158d3,PabloHache,Ascent,Competitive,Raze,Duelista,16,12,16,11,"['Kora Ackerman', 'Hypnosis', 'Ferlonso14', 'teto potato']",Bronze,1,"['Raze', 'Chamber', 'Clove', 'KAY/O', 'Reyna']",214.667,0,4,1,13,11,1781386013,"Saturday, June 13, 2026 09:26 PM"
6eb5a27d-840d-49b0-92c4-1c60bed996c3,PabloHache,Ascent,Competitive,Killjoy,Centinela,3,2,12,0,"['FerranTorresGOAT', 'Kora Ackerman', 'CarlosMosca', 'catii']",Bronze,1,"['Chamber', 'Sova', 'Killjoy', 'Raze', 'Clove']",72.812,0,1,0,3,10,1781478347,"Sunday, June 14, 2026 11:05 PM"
93518b30-3dea-4b11-a002-e655fbe7a87b,PabloHache,Lotus,Competitive,Raze,Duelista,11,3,16,8,"['Perxitaa', 'misodaxi', 'Kora Ackerman', 'CarlosMosca']",Bronze,1,"['Raze', 'Omen', 'Sova', 'Chamber', 'Sage']",160.4,0,1,0,7,13,1781476286,"Sunday, June 14, 2026 10:31 PM"
4978cbc6-61d7-4a88-b88f-b1ec930b2099,PabloHache,Split,Competitive,Sage,Centinela,12,4,15,4,"['Raulsolj', 'LucaS20', 'CarlosMosca', 'Kora Ackerman']",Bronze,1,"['Neon', 'Phoenix', 'Cypher', 'Raze', 'Sage']",181.053,3,2,0,6,13,1781485903,"Monday, June 15, 2026 01:11 AM"
aaedb8bf-ba5d-438a-95df-f511ca839655,PabloHache,Pearl,Competitive,Raze,Duelista,8,6,15,3,"['CopodeNieveツ', 'SoyKitkat', 'Kora Ackerman', 'CarlosMosca']",Bronze,1,"['Breach', 'Sage', 'Chamber', 'Miks', 'Raze']",129.455,1,0,1,13,9,1781481880,"Monday, June 15, 2026 12:04 AM"
