id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
e200e252-5a6c-409f-aa7f-f7bd1c81acbf,VASQUEZ,Split,Competitive,Clove,Controlador,24,3,15,18,"['Czajnik', 'tcoy', 'wansay', 'cocosomi']",Radiant,,"['Skye', 'Clove', 'Raze', 'Reyna', 'Vyse']",319.238,6,4,1,13,8,,
c66aa5d1-eedb-4351-85d8-fac0a4e06bf6,VASQUEZ,Piazza,Team Deathmatch,Jett,Duelista,24,3,12,21,"['R3V', 'F3mm3f4t4le', 'Rensz', 'RAF Dylo']",Unrated,,"['Neon', 'Fade', 'Reyna', 'Iso', 'Jett']",6584.0,0,0,1,100,50,1781225280.0,"Friday, June 12, 2026 12:48 AM"
bd9b828a-14ea-4ce9-af50-4ddd1211597f,VASQUEZ,Haven,Competitive,Cypher,Centinela,21,2,14,19,"['I Love Cats 猫', 'fosse', 'innersavage', 'Asteriaa']",Radiant,,"['Cypher', 'Sova', 'Clove', 'Jett', 'Phoenix']",288.762,4,0,1,13,8,1781279862.0,"Friday, June 12, 2026 03:57 PM"
8be79d79-f52f-42e6-a60e-7c4b19d96acd,VASQUEZ,Kasbah,Team Deathmatch,Clove,Controlador,33,2,10,29,"['larabbit', 'aki', 'nyx', 'Casanova']",Unrated,,"['Clove', 'Jett', 'KAY/O', 'Astra', 'Iso']",8758.0,0,0,1,100,68,1781798360.0,"Thursday, June 18, 2026 03:59 PM"
bbdc3caf-7959-41d9-943b-64f637c51e19,VASQUEZ,District,Team Deathmatch,Clove,Controlador,48,5,2,54,"['nyx', 'Casanova', 'larabbit', 'aki']",Unrated,,"['Clove', 'Miks', 'Iso', 'Jett', 'Reyna']",13183.0,0,0,2,100,25,1781797918.0,"Thursday, June 18, 2026 03:51 PM"
fe3fee23-bd88-473f-ac27-58b8ae6f9ded,VASQUEZ,Glitch,Team Deathmatch,Clove,Controlador,48,6,9,42,"['aki', 'larabbit', 'nyx', 'Casanova']",Unrated,,"['Clove', 'Waylay', 'Jett', 'Iso', 'Reyna']",12596.0,0,0,3,100,84,1781797416.0,"Thursday, June 18, 2026 03:43 PM"
a6b348b9-1ffa-4a2b-b5bb-b8dafd1d5ba1,VASQUEZ,Glitch,Team Deathmatch,Sage,Centinela,30,2,23,32,"['aki', 'Leon S Kennedy', 'nyx', 'larabbit']",Unrated,,"['Waylay', 'Reyna', 'Sage', 'Clove', 'Jett']",7834.0,0,0,0,89,100,1781796421.0,"Thursday, June 18, 2026 03:27 PM"
0feb0cf7-b0ac-4a7d-906e-e5ea76ec972d,VASQUEZ,Glitch,Team Deathmatch,Clove,Controlador,35,5,16,27,"['Seikatsu', 'Int', 'Rensz', 'Casanova']",Unrated,,"['KAY/O', 'Jett', 'Clove', 'Iso', 'Reyna']",8760.0,0,0,1,100,75,1781830932.0,"Friday, June 19, 2026 01:02 AM"
d38ede36-d7ef-4378-a44b-481851bb2cc9,VASQUEZ,Drift,Team Deathmatch,Clove,Controlador,28,4,16,17,"['Rensz', 'Casanova', 'Int', 'nehri']",Unrated,,"['Clove', 'Iso', 'Jett', 'Waylay', 'Reyna']",7858.0,1,0,2,100,84,1781829620.0,"Friday, June 19, 2026 12:40 AM"
ca7d3277-8d9d-40d6-9234-5b173483782b,VASQUEZ,Glitch,Team Deathmatch,Clove,Controlador,18,3,23,16,"['Y3N', 'Rensz', 'Casanova', 'Icarus']",Unrated,,"['Jett', 'Clove', 'Reyna', 'Iso', 'Raze']",4827.0,0,0,0,80,100,1781828669.0,"Friday, June 19, 2026 12:24 AM"
