id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas
7959ef3e-08b2-4e28-9692-524c41b1c71e,mamipito,Split,Competitive,Killjoy,Centinela,15,3,16,7,"['olliepintado', 'Pelocho14', 'papa pito', 'Pitu']",Bronze,2,"['Viper', 'Jett', 'Skye', 'Clove', 'Killjoy']",183.478,1,0,1,13,10
4eed53d4-7923-438b-9a55-3805af10817f,mamipito,Bind,Competitive,Killjoy,Centinela,12,7,15,13,"['SMOLEX', '3nriyets', 'Asukisws', 'Pitu']",Bronze,2,"['Phoenix', 'Skye', 'Killjoy', 'Neon', 'Clove']",186.696,0,1,0,10,13
931084bd-d03a-4579-9f1b-03a8d1c349ad,mamipito,Haven,Unrated,Raze,Duelista,6,2,5,2,"['somer2', 'Aaronnn17', 'papa pito', 'Axyela2508']",Unrated,,"['Fade', 'Phoenix', 'Astra', 'Sage', 'Raze']",104.071,0,0,1,11,1
86934edd-4993-4623-aa09-a0e683900e85,mamipito,Breeze,Unrated,Phoenix,Duelista,8,5,18,4,"['NINIBLACK', 'papa pito', 'Axyela2508', 'Aaronnn17']",Unrated,,"['Phoenix', 'Brimstone', 'Killjoy', 'Raze', 'Yoru']",133.650,0,4,0,7,13
22b7f2fd-971b-43c5-9dd3-f648219b2e77,mamipito,Lotus,Unrated,Killjoy,Centinela,1,1,6,1,"['Aaronnn17', 'papa pito', 'MGTORR', 'Axyela2508']",Unrated,,"['Iso', 'Skye', 'Tejo', 'Miks', 'Killjoy']",26.846,0,0,0,0,6
00fa081a-0796-466b-a9f8-0fb5bc983aee,mamipito,Lotus,Competitive,Killjoy,Centinela,11,3,19,7,"['Chiste sad002', 'andy', 'papa pito', 'angelutrix']",Bronze,2,"['Neon', 'Sage', 'Skye', 'Killjoy', 'Brimstone']",160.391,0,2,1,13,10
8ff76795-fcd9-403d-9b44-bb4978821d02,mamipito,Bind,Competitive,KAY/O,Iniciador,17,12,16,9,"['snipervalolo', 'HotManiac', 'andy', 'Pitu']",Bronze,2,"['KAY/O', 'Reyna', 'Sage', 'Killjoy', 'Clove']",230.364,3,2,2,13,9
89c05b9c-3304-4660-8639-ad7798a67e4f,mamipito,Pearl,Competitive,Killjoy,Centinela,10,0,17,8,"['Sorekso', 'lamorthhh', 'paumai', 'Pitu']",Bronze,2,"['Skye', 'Killjoy', 'Neon', 'Gekko', 'Clove']",164.211,1,1,0,6,13
18542641-aed5-403e-a6fd-986a17a4fb1c,mamipito,Lotus,Competitive,Killjoy,Centinela,19,3,9,11,"['rzin', 'Starly Shadow', 'Pitu', 'adam7']",Bronze,2,"['Phoenix', 'Raze', 'Fade', 'Killjoy', 'Chamber']",249.200,0,0,1,13,7
7e8b2020-613e-41fd-b76b-64a335dc09f2,mamipito,Split,Competitive,Raze,Duelista,16,6,17,7,"['Pitu', 'GeekFanan', 'ZERO', 'ラディット']",Bronze,2,"['Clove', 'Raze', 'Gekko', 'Miks', 'Vyse']",237.955,0,1,2,13,9
