id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas
9dff2f76-89da-41ac-8ade-a275499899f6,papa pito,Breeze,Competitive,Chamber,Centinela,26,5,17,2,"['ElPupas', 'Chiste sad002', 'JAI ELO NIÑO', '5cmOfTrueLove']",Silver,2,"['Raze', 'Chamber', 'Neon', 'Sova', 'Miks']",336.478,7,4,0,10,13
7959ef3e-08b2-4e28-9692-524c41b1c71e,papa pito,Split,Competitive,Skye,Iniciador,44,4,14,20,"['olliepintado', 'Pelocho14', 'Pitu', 'mamipito']",Silver,2,"['Viper', 'Jett', 'Skye', 'Clove', 'Killjoy']",537.217,8,2,1,13,10
931084bd-d03a-4579-9f1b-03a8d1c349ad,papa pito,Haven,Unrated,Astra,Controlador,13,3,5,5,"['somer2', 'Aaronnn17', 'Axyela2508', 'mamipito']",Unrated,,"['Fade', 'Phoenix', 'Astra', 'Sage', 'Raze']",275.000,3,0,2,11,1
86934edd-4993-4623-aa09-a0e683900e85,papa pito,Breeze,Unrated,Killjoy,Centinela,22,2,16,10,"['mamipito', 'NINIBLACK', 'Axyela2508', 'Aaronnn17']",Unrated,,"['Phoenix', 'Brimstone', 'Killjoy', 'Raze', 'Yoru']",338.500,4,1,0,7,13
22b7f2fd-971b-43c5-9dd3-f648219b2e77,papa pito,Lotus,Unrated,Skye,Iniciador,2,1,6,1,"['Aaronnn17', 'MGTORR', 'Axyela2508', 'mamipito']",Unrated,,"['Iso', 'Skye', 'Tejo', 'Miks', 'Killjoy']",41.846,1,0,0,0,6
00fa081a-0796-466b-a9f8-0fb5bc983aee,papa pito,Lotus,Competitive,Skye,Iniciador,26,8,16,6,"['Chiste sad002', 'andy', 'mamipito', 'angelutrix']",Silver,2,"['Neon', 'Sage', 'Skye', 'Killjoy', 'Brimstone']",338.043,6,1,1,13,10
9dff2f76-89da-41ac-8ade-a275499899f6,papa pito,Breeze,Competitive,Chamber,Centinela,26,5,17,2,"['ElPupas', 'Chiste sad002', 'JAI ELO NIÑO', '5cmOfTrueLove']",Silver,2,"['Raze', 'Chamber', 'Neon', 'Sova', 'Miks']",336.478,7,4,0,10,13
7959ef3e-08b2-4e28-9692-524c41b1c71e,papa pito,Split,Competitive,Skye,Iniciador,44,4,14,20,"['olliepintado', 'Pelocho14', 'Pitu', 'mamipito']",Silver,2,"['Viper', 'Jett', 'Skye', 'Clove', 'Killjoy']",537.217,8,2,1,13,10
00fa081a-0796-466b-a9f8-0fb5bc983aee,papa pito,Lotus,Competitive,Skye,Iniciador,26,8,16,6,"['Chiste sad002', 'andy', 'mamipito', 'angelutrix']",Silver,2,"['Neon', 'Sage', 'Skye', 'Killjoy', 'Brimstone']",338.043,6,1,1,13,10
9dff2f76-89da-41ac-8ade-a275499899f6,papa pito,Breeze,Competitive,Chamber,Centinela,26,5,17,2,"['ElPupas', 'Chiste sad002', 'JAI ELO NIÑO', '5cmOfTrueLove']",Silver,2,"['Raze', 'Chamber', 'Neon', 'Sova', 'Miks']",336.478,7,4,0,10,13
